;|V|;D(%);ƒ;c;t(sec);α
random-1_adjacent_1_0.25;100;45.78;0.5;1;0.000225067138671875;0.25
random-1_adjacent_2_0.25;100;45.78;0.5;1;0.0001628398895263672;0.25
random-1_adjacent_3_0.25;100;45.78;1.6264222503160557;42;26.978839874267578;0.25
random-1_adjacent_4_0.25;100;45.78;8.6;1;0.00016307830810546875;0.25
random-1_adjacent_5_0.25;100;45.78;0.5;1;0.0002009868621826172;0.25
random-1_adjacent_6_0.25;100;45.78;1.926923076923077;34;29.161126136779785;0.25
random-1_adjacent_7_0.25;100;45.78;0.75;3;0.0004298686981201172;0.25
random-1_adjacent_8_0.25;100;45.78;1.5555555555555556;1;0.0001800060272216797;0.25
random-1_adjacent_9_0.25;100;45.78;2.541095890410959;7;0.07288694381713867;0.25
random-1_adjacent_10_0.25;100;45.78;0.5;1;0.0001628398895263672;0.25
random-1_adjacent_11_0.25;100;45.78;0.8148148148148148;1;0.0001442432403564453;0.25
random-1_adjacent_12_0.25;100;45.78;1.1914893617021276;4;0.03747701644897461;0.25
random-1_adjacent_13_0.25;100;45.78;0.5;1;0.0001671314239501953;0.25
random-1_adjacent_14_0.25;100;45.78;0.5;1;0.00014901161193847656;0.25
random-1_adjacent_15_0.25;100;45.78;0.5;1;0.00013899803161621094;0.25
random-1_adjacent_16_0.25;100;45.78;0.39285714285714285;1;0.0001289844512939453;0.25
random-1_adjacent_17_0.25;100;45.78;1.9036375239310785;50;47.874804973602295;0.25
random-1_adjacent_18_0.25;100;45.78;0.5;1;0.00018787384033203125;0.25
random-1_adjacent_19_0.25;100;45.78;0.5;1;0.00015997886657714844;0.25
random-1_adjacent_20_0.25;100;45.78;2.0;1;0.00014090538024902344;0.25
random-1_adjacent_21_0.25;100;45.78;2.297271872060207;38;27.986522912979126;0.25
random-1_adjacent_22_0.25;100;45.78;0.3048780487804878;1;0.00023508071899414062;0.25
random-1_adjacent_23_0.25;100;45.78;1.4126984126984128;8;0.04944157600402832;0.25
random-1_adjacent_24_0.25;100;45.78;0.5;1;0.0001652240753173828;0.25
random-1_adjacent_25_0.25;100;45.78;1.765315739868049;29;19.098831176757812;0.25
random-1_adjacent_26_0.25;100;45.78;1.3333333333333333;10;0.193587064743042;0.25
random-1_adjacent_27_0.25;100;45.78;0.2571428571428571;1;0.00016999244689941406;0.25
random-1_adjacent_28_0.25;100;45.78;1.399390243902439;7;0.15790891647338867;0.25
random-1_adjacent_29_0.25;100;45.78;2.071307300509338;36;31.90564465522766;0.25
random-1_adjacent_30_0.25;100;45.78;0.75;3;0.0007300376892089844;0.25
random-1_adjacent_31_0.25;100;45.78;0.5;1;0.0002300739288330078;0.25
random-1_adjacent_32_0.25;100;45.78;1.6997808619430241;37;28.81527805328369;0.25
random-1_adjacent_33_0.25;100;45.78;0.7142857142857143;5;0.0008881092071533203;0.25
random-1_adjacent_34_0.25;100;45.78;0.5;1;0.00026869773864746094;0.25
random-1_adjacent_35_0.25;100;45.78;0.5;1;0.00016307830810546875;0.25
random-1_adjacent_36_0.25;100;45.78;0.5;1;0.00014281272888183594;0.25
random-1_adjacent_37_0.25;100;45.78;0.5;1;0.00013518333435058594;0.25
random-1_adjacent_38_0.25;100;45.78;1.92173017507724;29;20.131899118423462;0.25
random-1_adjacent_39_0.25;100;45.78;0.5;1;0.0002357959747314453;0.25
random-1_adjacent_40_0.25;100;45.78;0.5;1;0.00034117698669433594;0.25
random-1_adjacent_41_0.25;100;45.78;0.5;1;0.0004220008850097656;0.25
random-1_adjacent_42_0.25;100;45.78;0.5;1;0.0004980564117431641;0.25
random-1_adjacent_43_0.25;100;45.78;0.5;1;0.0005791187286376953;0.25
random-1_adjacent_44_0.25;100;45.78;0.6666666666666666;2;0.0006530284881591797;0.25
random-1_adjacent_45_0.25;100;45.78;3.4301075268817205;9;0.2018570899963379;0.25
random-1_adjacent_46_0.25;100;45.78;0.5;1;0.0009326934814453125;0.25
random-1_adjacent_47_0.25;100;45.78;0.5;1;0.000347137451171875;0.25
random-1_adjacent_48_0.25;100;45.78;0.5;1;0.0002181529998779297;0.25
random-1_adjacent_49_0.25;100;45.78;1.6450953678474114;39;33.33854794502258;0.25
random-1_adjacent_50_0.25;100;45.78;0.5;1;0.00017595291137695312;0.25
random-1_adjacent_51_0.25;100;45.78;1.768;28;17.75171422958374;0.25
random-1_adjacent_52_0.25;100;45.78;1.8884321785085143;50;50.33522987365723;0.25
random-1_adjacent_53_0.25;100;45.78;0.5;1;0.00020599365234375;0.25
random-1_adjacent_54_0.25;100;45.78;0.5;1;0.0001709461212158203;0.25
random-1_adjacent_55_0.25;100;45.78;0.5;1;0.00015497207641601562;0.25
random-1_adjacent_56_0.25;100;45.78;0.5;1;0.00014710426330566406;0.25
random-1_adjacent_57_0.25;100;45.78;0.5;1;0.00014901161193847656;0.25
random-1_adjacent_58_0.25;100;45.78;0.5;1;0.00019884109497070312;0.25
random-1_adjacent_59_0.25;100;45.78;0.5;1;0.00014328956604003906;0.25
random-1_adjacent_60_0.25;100;45.78;0.5;1;0.00012493133544921875;0.25
random-1_adjacent_61_0.25;100;45.78;0.5;1;0.00013208389282226562;0.25
random-1_adjacent_62_0.25;100;45.78;1.2328767123287672;10;0.042382240295410156;0.25
random-1_adjacent_63_0.25;100;45.78;1.7655719139297847;23;12.57275104522705;0.25
random-1_adjacent_64_0.25;100;45.78;3.7142857142857144;1;0.00016689300537109375;0.25
random-1_adjacent_65_0.25;100;45.78;0.5;1;0.00022411346435546875;0.25
random-1_adjacent_66_0.25;100;45.78;2.0006596306068603;44;37.63768005371094;0.25
random-1_adjacent_67_0.25;100;45.78;2.141280353200883;46;49.28731894493103;0.25
random-1_adjacent_68_0.25;100;45.78;2.0;1;0.0001480579376220703;0.25
random-1_adjacent_69_0.25;100;45.78;1.5555555555555556;1;0.0001239776611328125;0.25
random-1_adjacent_70_0.25;100;45.78;0.5;1;0.00019288063049316406;0.25
random-1_adjacent_71_0.25;100;45.78;1.3131313131313131;11;0.18661785125732422;0.25
random-1_adjacent_72_0.25;100;45.78;0.5;1;0.00014019012451171875;0.25
random-1_adjacent_73_0.25;100;45.78;0.5;1;0.0002129077911376953;0.25
random-1_adjacent_74_0.25;100;45.78;0.5;1;0.00013184547424316406;0.25
random-1_adjacent_75_0.25;100;45.78;2.5506958250497016;41;40.832730293273926;0.25
random-1_adjacent_76_0.25;100;45.78;1.033175355450237;8;0.1466381549835205;0.25
random-1_adjacent_77_0.25;100;45.78;0.5;1;0.0005409717559814453;0.25
random-1_adjacent_78_0.25;100;45.78;1.9868095630667766;37;43.93053221702576;0.25
random-1_adjacent_79_0.25;100;45.78;0.5;1;0.0002911090850830078;0.25
random-1_adjacent_80_0.25;100;45.78;0.5;1;0.0001590251922607422;0.25
random-1_adjacent_81_0.25;100;45.78;0.3582089552238806;1;0.0001430511474609375;0.25
random-1_adjacent_82_0.25;100;45.78;0.07954545454545454;5;0.01169586181640625;0.25
random-1_adjacent_83_0.25;100;45.78;1.4934497816593886;6;0.1676478385925293;0.25
random-1_adjacent_84_0.25;100;45.78;1.7776560788608982;25;14.311278104782104;0.25
random-1_adjacent_85_0.25;100;45.78;0.5;1;0.000347137451171875;0.25
random-1_adjacent_86_0.25;100;45.78;1.757396449704142;25;11.311879873275757;0.25
random-1_adjacent_87_0.25;100;45.78;1.7508880994671403;63;70.51691007614136;0.25
random-1_adjacent_88_0.25;100;45.78;1.6849884526558891;57;53.33368706703186;0.25
random-1_adjacent_89_0.25;100;45.78;0.5;1;0.0002589225769042969;0.25
random-1_adjacent_90_0.25;100;45.78;0.5;1;0.0003650188446044922;0.25
random-1_adjacent_91_0.25;100;45.78;0.5;1;0.0002741813659667969;0.25
random-1_adjacent_92_0.25;100;45.78;0.5;1;0.0001621246337890625;0.25
random-1_adjacent_93_0.25;100;45.78;0.9321608040201005;9;0.19552302360534668;0.25
random-1_adjacent_94_0.25;100;45.78;0.5;1;0.00020313262939453125;0.25
random-1_adjacent_95_0.25;100;45.78;0.5;1;0.0002696514129638672;0.25
random-1_adjacent_96_0.25;100;45.78;0.5;1;0.00046372413635253906;0.25
random-1_adjacent_97_0.25;100;45.78;0.7619047619047619;1;0.00017499923706054688;0.25
random-1_adjacent_98_0.25;100;45.78;2.0107066381156318;42;43.233582973480225;0.25
random-1_adjacent_99_0.25;100;45.78;0.5;1;0.000186920166015625;0.25
random-1_adjacent_100_0.25;100;45.78;0.5;1;0.00017523765563964844;0.25
random-1_adjacent_1_0.5;100;45.78;1.6924019607843137;45;34.309329986572266;0.5
random-1_adjacent_2_0.5;100;45.78;1.6733167082294265;11;0.2794530391693115;0.5
random-1_adjacent_3_0.5;100;45.78;2.096642929806714;32;21.066916704177856;0.5
random-1_adjacent_4_0.5;100;45.78;0.5;1;0.000186920166015625;0.5
random-1_adjacent_5_0.5;100;45.78;0.5;1;0.00015497207641601562;0.5
random-1_adjacent_6_0.5;100;45.78;0.5;1;0.00014829635620117188;0.5
random-1_adjacent_7_0.5;100;45.78;2.3623762376237623;34;29.730523109436035;0.5
random-1_adjacent_8_0.5;100;45.78;1.4827586206896552;28;10.603209972381592;0.5
random-1_adjacent_9_0.5;100;45.78;2.264432029795158;38;25.966824769973755;0.5
random-1_adjacent_10_0.5;100;45.78;0.5;1;0.00024080276489257812;0.5
random-1_adjacent_11_0.5;100;45.78;1.91123701605288;31;12.548133850097656;0.5
random-1_adjacent_12_0.5;100;45.78;0.5;1;0.0002791881561279297;0.5
random-1_adjacent_13_0.5;100;45.78;2.475151515151515;31;19.878051042556763;0.5
random-1_adjacent_14_0.5;100;45.78;0.5;1;0.00023984909057617188;0.5
