;|V|;D(%);ƒ;c;t(sec);α
random-1_adjacent_1_0.25;100;45.78;1.688;14;0.09471797943115234;0.25
random-1_adjacent_2_0.25;100;45.78;1.688;14;0.15204930305480957;0.25
random-1_adjacent_3_0.25;100;45.78;1.688;14;0.17114710807800293;0.25
random-1_adjacent_4_0.25;100;45.78;1.688;14;0.09933114051818848;0.25
random-1_adjacent_5_0.25;100;45.78;1.688;14;0.13235211372375488;0.25
random-1_adjacent_6_0.25;100;45.78;1.688;14;0.15468597412109375;0.25
random-1_adjacent_7_0.25;100;45.78;1.688;14;0.13360881805419922;0.25
random-1_adjacent_8_0.25;100;45.78;1.688;14;0.13795781135559082;0.25
random-1_adjacent_9_0.25;100;45.78;1.688;14;0.1425008773803711;0.25
random-1_adjacent_10_0.25;100;45.78;1.688;14;0.1638469696044922;0.25
random-1_adjacent_11_0.25;100;45.78;1.688;14;0.16988921165466309;0.25
random-1_adjacent_12_0.25;100;45.78;1.688;14;0.1781787872314453;0.25
random-1_adjacent_13_0.25;100;45.78;1.688;14;0.13089489936828613;0.25
random-1_adjacent_14_0.25;100;45.78;1.688;14;0.1549832820892334;0.25
random-1_adjacent_15_0.25;100;45.78;1.688;14;0.10930800437927246;0.25
random-1_adjacent_16_0.25;100;45.78;1.688;14;0.0837249755859375;0.25
random-1_adjacent_17_0.25;100;45.78;1.688;14;0.11661219596862793;0.25
random-1_adjacent_18_0.25;100;45.78;1.688;14;0.10899806022644043;0.25
random-1_adjacent_19_0.25;100;45.78;1.688;14;0.13392090797424316;0.25
random-1_adjacent_20_0.25;100;45.78;1.688;14;0.12048101425170898;0.25
random-1_adjacent_21_0.25;100;45.78;1.688;14;0.13169407844543457;0.25
random-1_adjacent_22_0.25;100;45.78;1.688;14;0.15304994583129883;0.25
random-1_adjacent_23_0.25;100;45.78;2.216417910447761;14;0.1484088897705078;0.25
random-1_adjacent_24_0.25;100;45.78;1.688;14;0.1295301914215088;0.25
random-1_adjacent_25_0.25;100;45.78;2.216417910447761;14;0.15467381477355957;0.25
random-1_adjacent_26_0.25;100;45.78;1.688;14;0.12314605712890625;0.25
random-1_adjacent_27_0.25;100;45.78;1.688;14;0.13625502586364746;0.25
random-1_adjacent_28_0.25;100;45.78;1.688;14;0.08292722702026367;0.25
random-1_adjacent_29_0.25;100;45.78;1.688;14;0.09968209266662598;0.25
random-1_adjacent_30_0.25;100;45.78;1.688;14;0.09049415588378906;0.25
random-1_adjacent_31_0.25;100;45.78;1.688;14;0.09907007217407227;0.25
random-1_adjacent_32_0.25;100;45.78;1.688;14;0.1379239559173584;0.25
random-1_adjacent_33_0.25;100;45.78;1.688;14;0.13300609588623047;0.25
random-1_adjacent_34_0.25;100;45.78;1.688;14;0.0808858871459961;0.25
random-1_adjacent_35_0.25;100;45.78;2.216417910447761;14;0.15645694732666016;0.25
random-1_adjacent_36_0.25;100;45.78;1.688;14;0.10682201385498047;0.25
random-1_adjacent_37_0.25;100;45.78;1.688;14;0.13617730140686035;0.25
random-1_adjacent_38_0.25;100;45.78;1.688;14;0.1404719352722168;0.25
random-1_adjacent_39_0.25;100;45.78;1.688;14;0.14695191383361816;0.25
random-1_adjacent_40_0.25;100;45.78;1.688;14;0.13739514350891113;0.25
random-1_adjacent_41_0.25;100;45.78;1.688;14;0.1296391487121582;0.25
random-1_adjacent_42_0.25;100;45.78;1.688;14;0.17908191680908203;0.25
random-1_adjacent_43_0.25;100;45.78;1.688;14;0.10057425498962402;0.25
random-1_adjacent_44_0.25;100;45.78;1.688;14;0.12570977210998535;0.25
random-1_adjacent_45_0.25;100;45.78;1.688;14;0.13955903053283691;0.25
random-1_adjacent_46_0.25;100;45.78;1.688;14;0.1515190601348877;0.25
random-1_adjacent_47_0.25;100;45.78;1.688;14;0.1273021697998047;0.25
random-1_adjacent_48_0.25;100;45.78;1.688;14;0.14627289772033691;0.25
random-1_adjacent_49_0.25;100;45.78;2.216417910447761;14;0.14242005348205566;0.25
random-1_adjacent_50_0.25;100;45.78;1.688;14;0.12287402153015137;0.25
random-1_adjacent_51_0.25;100;45.78;1.688;14;0.13012194633483887;0.25
random-1_adjacent_52_0.25;100;45.78;1.688;14;0.0872049331665039;0.25
random-1_adjacent_53_0.25;100;45.78;1.688;14;0.15226507186889648;0.25
random-1_adjacent_54_0.25;100;45.78;1.688;14;0.148651123046875;0.25
random-1_adjacent_55_0.25;100;45.78;2.216417910447761;14;0.12750792503356934;0.25
random-1_adjacent_56_0.25;100;45.78;1.688;14;0.10403084754943848;0.25
random-1_adjacent_57_0.25;100;45.78;1.688;14;0.1512012481689453;0.25
random-1_adjacent_58_0.25;100;45.78;2.216417910447761;14;0.1326460838317871;0.25
random-1_adjacent_59_0.25;100;45.78;1.688;14;0.1441810131072998;0.25
random-1_adjacent_60_0.25;100;45.78;1.688;14;0.10497021675109863;0.25
random-1_adjacent_61_0.25;100;45.78;1.688;14;0.12522292137145996;0.25
random-1_adjacent_62_0.25;100;45.78;1.688;14;0.15706586837768555;0.25
random-1_adjacent_63_0.25;100;45.78;1.688;14;0.11302995681762695;0.25
random-1_adjacent_64_0.25;100;45.78;1.688;14;0.09392595291137695;0.25
random-1_adjacent_65_0.25;100;45.78;1.688;14;0.11098980903625488;0.25
random-1_adjacent_66_0.25;100;45.78;1.688;14;0.14925694465637207;0.25
random-1_adjacent_67_0.25;100;45.78;1.688;14;0.12927889823913574;0.25
random-1_adjacent_68_0.25;100;45.78;1.688;14;0.13256382942199707;0.25
random-1_adjacent_69_0.25;100;45.78;1.688;14;0.12518525123596191;0.25
random-1_adjacent_70_0.25;100;45.78;1.688;14;0.08884716033935547;0.25
random-1_adjacent_71_0.25;100;45.78;1.688;14;0.13318991661071777;0.25
random-1_adjacent_72_0.25;100;45.78;1.688;14;0.16422200202941895;0.25
random-1_adjacent_73_0.25;100;45.78;1.688;14;0.1481637954711914;0.25
random-1_adjacent_74_0.25;100;45.78;2.216417910447761;14;0.13385820388793945;0.25
random-1_adjacent_75_0.25;100;45.78;1.688;14;0.14194297790527344;0.25
random-1_adjacent_76_0.25;100;45.78;1.688;14;0.1336650848388672;0.25
random-1_adjacent_77_0.25;100;45.78;1.688;14;0.13865184783935547;0.25
random-1_adjacent_78_0.25;100;45.78;1.688;14;0.1225588321685791;0.25
random-1_adjacent_79_0.25;100;45.78;1.688;14;0.0933377742767334;0.25
random-1_adjacent_80_0.25;100;45.78;1.688;14;0.18957304954528809;0.25
random-1_adjacent_81_0.25;100;45.78;1.688;14;0.1266002655029297;0.25
random-1_adjacent_82_0.25;100;45.78;1.688;14;0.16373205184936523;0.25
random-1_adjacent_83_0.25;100;45.78;1.688;14;0.1505131721496582;0.25
random-1_adjacent_84_0.25;100;45.78;1.688;14;0.1611189842224121;0.25
random-1_adjacent_85_0.25;100;45.78;1.688;14;0.12126898765563965;0.25
random-1_adjacent_86_0.25;100;45.78;1.688;14;0.13905811309814453;0.25
random-1_adjacent_87_0.25;100;45.78;1.688;14;0.12843585014343262;0.25
random-1_adjacent_88_0.25;100;45.78;1.688;14;0.2340071201324463;0.25
random-1_adjacent_89_0.25;100;45.78;1.688;14;0.16162586212158203;0.25
random-1_adjacent_90_0.25;100;45.78;1.688;14;0.13926911354064941;0.25
random-1_adjacent_91_0.25;100;45.78;1.688;14;0.11224699020385742;0.25
random-1_adjacent_92_0.25;100;45.78;1.688;14;0.1441190242767334;0.25
random-1_adjacent_93_0.25;100;45.78;1.688;14;0.17545795440673828;0.25
random-1_adjacent_94_0.25;100;45.78;1.688;14;0.14417695999145508;0.25
random-1_adjacent_95_0.25;100;45.78;1.688;14;0.12922000885009766;0.25
random-1_adjacent_96_0.25;100;45.78;1.688;14;0.11572408676147461;0.25
random-1_adjacent_97_0.25;100;45.78;1.688;14;0.14326095581054688;0.25
