;|V|;D(%);ƒ;c;t(sec);α
random-10_adjacent_1_0.25;500;50.06;1.064516129032258;19;4.0105719566345215;0.25
random-10_adjacent_2_0.25;500;50.06;0.6666666666666666;2;0.9930837154388428;0.25
random-10_adjacent_3_0.25;500;50.06;0.6666666666666666;2;0.995124101638794;0.25
random-10_adjacent_4_0.25;500;50.06;0.6666666666666666;2;0.9919960498809814;0.25
random-10_adjacent_5_0.25;500;50.06;0.6666666666666666;2;0.9931139945983887;0.25
random-10_adjacent_6_0.25;500;50.06;0.6666666666666666;2;0.9864392280578613;0.25
random-10_adjacent_7_0.25;500;50.06;1.0394736842105263;13;1.583003282546997;0.25
random-10_adjacent_8_0.25;500;50.06;0.6666666666666666;2;0.988523006439209;0.25
random-10_adjacent_9_0.25;500;50.06;0.6666666666666666;2;0.9845871925354004;0.25
random-10_adjacent_10_0.25;500;50.06;0.6666666666666666;2;0.991070032119751;0.25
random-10_adjacent_11_0.25;500;50.06;0.9903614457831326;9;27.798985958099365;0.25
random-10_adjacent_12_0.25;500;50.06;0.6666666666666666;2;0.9843099117279053;0.25
random-10_adjacent_13_0.25;500;50.06;0.6666666666666666;2;0.9930620193481445;0.25
random-10_adjacent_14_0.25;500;50.06;0.6666666666666666;2;0.9857578277587891;0.25
random-10_adjacent_15_0.25;500;50.06;0.6666666666666666;2;0.9978082180023193;0.25
random-10_adjacent_16_0.25;500;50.06;0.9473684210526315;3;1.9768187999725342;0.25
random-10_adjacent_17_0.25;500;50.06;0.6666666666666666;2;0.9905731678009033;0.25
random-10_adjacent_18_0.25;500;50.06;0.8865979381443299;7;1.2427589893341064;0.25
random-10_adjacent_19_0.25;500;50.06;1.0754189944134078;6;0.202437162399292;0.25
random-10_adjacent_20_0.25;500;50.06;1.0207156308851224;10;1.1978230476379395;0.25
random-10_adjacent_21_0.25;500;50.06;0.9491869918699187;17;2.747473955154419;0.25
random-10_adjacent_22_0.25;500;50.06;0.8719723183391004;8;1.3139562606811523;0.25
random-10_adjacent_23_0.25;500;50.06;0.6666666666666666;2;1.0003008842468262;0.25
random-10_adjacent_24_0.25;500;50.06;1.0442655935613683;8;1.0430638790130615;0.25
random-10_adjacent_25_0.25;500;50.06;0.9385307346326837;10;1.1756038665771484;0.25
random-10_adjacent_26_0.25;500;50.06;0.6666666666666666;2;0.98406982421875;0.25
random-10_adjacent_27_0.25;500;50.06;0.6666666666666666;2;0.9869949817657471;0.25
random-10_adjacent_28_0.25;500;50.06;0.825;9;0.447678804397583;0.25
random-10_adjacent_29_0.25;500;50.06;0.6666666666666666;2;0.9904007911682129;0.25
random-10_adjacent_30_0.25;500;50.06;0.6666666666666666;2;0.9851667881011963;0.25
random-10_adjacent_31_0.25;500;50.06;1.0187441424554826;17;4.314326763153076;0.25
random-10_adjacent_32_0.25;500;50.06;0.6666666666666666;2;1.0717189311981201;0.25
random-10_adjacent_33_0.25;500;50.06;0.6666666666666666;2;0.9947082996368408;0.25
random-10_adjacent_34_0.25;500;50.06;0.6666666666666666;2;0.9845912456512451;0.25
random-10_adjacent_35_0.25;500;50.06;0.6666666666666666;2;0.9878201484680176;0.25
random-10_adjacent_36_0.25;500;50.06;0.6666666666666666;2;0.9955129623413086;0.25
random-10_adjacent_37_0.25;500;50.06;0.6666666666666666;2;0.9828805923461914;0.25
random-10_adjacent_38_0.25;500;50.06;0.6666666666666666;2;1.0118029117584229;0.25
random-10_adjacent_39_0.25;500;50.06;0.6666666666666666;2;1.0086190700531006;0.25
random-10_adjacent_40_0.25;500;50.06;0.9528301886792453;9;1.293445110321045;0.25
random-10_adjacent_41_0.25;500;50.06;0.8811188811188811;10;0.996286153793335;0.25
random-10_adjacent_42_0.25;500;50.06;1.0411764705882354;9;0.827639102935791;0.25
random-10_adjacent_43_0.25;500;50.06;0.6666666666666666;2;0.9936988353729248;0.25
random-10_adjacent_44_0.25;500;50.06;0.9713322091062394;10;1.222715139389038;0.25
random-10_adjacent_45_0.25;500;50.06;0.6666666666666666;2;0.9857292175292969;0.25
random-10_adjacent_46_0.25;500;50.06;0.6666666666666666;2;0.9974520206451416;0.25
random-10_adjacent_47_0.25;500;50.06;0.6666666666666666;2;0.9970560073852539;0.25
random-10_adjacent_48_0.25;500;50.06;0.6666666666666666;2;0.9845638275146484;0.25
random-10_adjacent_49_0.25;500;50.06;0.9533834586466166;11;1.0111238956451416;0.25
random-10_adjacent_50_0.25;500;50.06;0.6666666666666666;2;0.9825718402862549;0.25
random-10_adjacent_51_0.25;500;50.06;0.6666666666666666;2;0.9875478744506836;0.25
random-10_adjacent_52_0.25;500;50.06;0.9003496503496503;10;1.5403289794921875;0.25
random-10_adjacent_53_0.25;500;50.06;0.6666666666666666;2;1.0048160552978516;0.25
random-10_adjacent_54_0.25;500;50.06;0.9814502529510961;10;1.4132001399993896;0.25
random-10_adjacent_55_0.25;500;50.06;0.9400428265524625;8;1.205855131149292;0.25
random-10_adjacent_56_0.25;500;50.06;0.6666666666666666;2;0.9915030002593994;0.25
random-10_adjacent_57_0.25;500;50.06;0.9600665557404326;9;1.353464126586914;0.25
random-10_adjacent_58_0.25;500;50.06;0.9704347826086956;12;1.4719910621643066;0.25
random-10_adjacent_59_0.25;500;50.06;0.9290220820189274;11;1.7122278213500977;0.25
random-10_adjacent_60_0.25;500;50.06;1.0483558994197293;8;0.6721210479736328;0.25
random-10_adjacent_61_0.25;500;50.06;0.8361204013377926;10;1.20048189163208;0.25
random-10_adjacent_62_0.25;500;50.06;0.9683426443202979;9;0.93904709815979;0.25
random-10_adjacent_63_0.25;500;50.06;0.6666666666666666;2;0.9974923133850098;0.25
random-10_adjacent_64_0.25;500;50.06;0.9465648854961832;12;0.714245080947876;0.25
random-10_adjacent_65_0.25;500;50.06;0.927689594356261;10;1.3064119815826416;0.25
random-10_adjacent_66_0.25;500;50.06;0.6666666666666666;2;0.9935212135314941;0.25
random-10_adjacent_67_0.25;500;50.06;0.6666666666666666;2;0.9885101318359375;0.25
random-10_adjacent_68_0.25;500;50.06;0.7012987012987013;3;1.9826722145080566;0.25
random-10_adjacent_69_0.25;500;50.06;0.916;7;0.8713443279266357;0.25
random-10_adjacent_70_0.25;500;50.06;1.0932754880694142;9;0.5468759536743164;0.25
random-10_adjacent_71_0.25;500;50.06;0.9683426443202979;11;1.0052380561828613;0.25
random-10_adjacent_72_0.25;500;50.06;0.8582834331337326;8;1.0483288764953613;0.25
random-10_adjacent_73_0.25;500;50.06;0.6666666666666666;2;0.9900698661804199;0.25
random-10_adjacent_74_0.25;500;50.06;1.0104821802935011;8;0.8045790195465088;0.25
random-10_adjacent_75_0.25;500;50.06;0.7222222222222222;7;5.993281126022339;0.25
random-10_adjacent_76_0.25;500;50.06;0.8758169934640523;14;1.7860500812530518;0.25
random-10_adjacent_77_0.25;500;50.06;0.9205776173285198;9;0.7732789516448975;0.25
random-10_adjacent_78_0.25;500;50.06;0.9302325581395349;3;1.9886348247528076;0.25
random-10_adjacent_79_0.25;500;50.06;0.6666666666666666;2;0.9936797618865967;0.25
random-10_adjacent_80_0.25;500;50.06;0.8483290488431876;8;1.5850951671600342;0.25
random-10_adjacent_81_0.25;500;50.06;0.6666666666666666;2;0.9840335845947266;0.25
random-10_adjacent_82_0.25;500;50.06;0.6666666666666666;2;0.9814379215240479;0.25
random-10_adjacent_83_0.25;500;50.06;0.9546247818499127;8;1.2378361225128174;0.25
random-10_adjacent_84_0.25;500;50.06;0.5148514851485149;3;1.9768269062042236;0.25
random-10_adjacent_85_0.25;500;50.06;0.7931034482758621;3;1.9747569561004639;0.25
random-10_adjacent_86_0.25;500;50.06;0.8555555555555555;7;0.5699620246887207;0.25
random-10_adjacent_87_0.25;500;50.06;0.9826589595375722;8;1.1992518901824951;0.25
random-10_adjacent_88_0.25;500;50.06;0.9706840390879479;16;1.886056900024414;0.25
random-10_adjacent_89_0.25;500;50.06;0.9531066822977726;14;1.9808549880981445;0.25
random-10_adjacent_90_0.25;500;50.06;0.6666666666666666;2;0.9894061088562012;0.25
random-10_adjacent_91_0.25;500;50.06;0.5396825396825397;3;1.9869678020477295;0.25
random-10_adjacent_92_0.25;500;50.06;0.6666666666666666;2;0.9981093406677246;0.25
random-10_adjacent_93_0.25;500;50.06;0.9320388349514563;3;1.9786770343780518;0.25
random-10_adjacent_94_0.25;500;50.06;0.8687089715536105;7;1.1485178470611572;0.25
random-10_adjacent_95_0.25;500;50.06;0.9117647058823529;3;1.9913320541381836;0.25
random-10_adjacent_96_0.25;500;50.06;0.7931034482758621;3;1.9798309803009033;0.25
random-10_adjacent_97_0.25;500;50.06;1.103448275862069;5;4.002513885498047;0.25
random-10_adjacent_98_0.25;500;50.06;0.6666666666666666;2;0.9857661724090576;0.25
random-10_adjacent_99_0.25;500;50.06;1.0474452554744527;9;0.8983790874481201;0.25
random-10_adjacent_100_0.25;500;50.06;0.6666666666666666;2;0.9851899147033691;0.25
random-10_adjacent_1_0.5;500;50.06;0.9034334763948498;7;0.5602428913116455;0.5
random-10_adjacent_2_0.5;500;50.06;0.6666666666666666;2;0.9898688793182373;0.5
random-10_adjacent_3_0.5;500;50.06;0.8142857142857143;4;2.990424871444702;0.5
random-10_adjacent_4_0.5;500;50.06;0.7714285714285715;3;1.981062889099121;0.5
random-10_adjacent_5_0.5;500;50.06;1.2067039106145252;7;0.5406110286712646;0.5
random-10_adjacent_6_0.5;500;50.06;0.9004739336492891;9;0.5277860164642334;0.5
random-10_adjacent_7_0.5;500;50.06;0.884514435695538;10;0.7653613090515137;0.5
random-10_adjacent_8_0.5;500;50.06;0.6666666666666666;2;0.9928948879241943;0.5
random-10_adjacent_9_0.5;500;50.06;0.6666666666666666;2;0.9929978847503662;0.5
random-10_adjacent_10_0.5;500;50.06;0.9543568464730291;5;0.5625426769256592;0.5
random-10_adjacent_11_0.5;500;50.06;0.6666666666666666;2;0.9892590045928955;0.5
random-10_adjacent_12_0.5;500;50.06;1.0628415300546448;5;0.6356949806213379;0.5
random-10_adjacent_13_0.5;500;50.06;0.7952941176470588;13;1.58003830909729;0.5
random-10_adjacent_14_0.5;500;50.06;0.9590163934426229;8;1.1004631519317627;0.5
random-10_adjacent_15_0.5;500;50.06;1.0352112676056338;5;3.9958150386810303;0.5
random-10_adjacent_16_0.5;500;50.06;0.6666666666666666;2;0.9910860061645508;0.5
random-10_adjacent_17_0.5;500;50.06;0.8691796008869179;9;0.7274250984191895;0.5
