;|V|;D(%);ƒ;c;t(sec);α
random-9_adjacent_1_0.25;400;48.8;0.9670148433205058;28;3.5173749923706055;0.25
random-9_adjacent_2_0.25;400;48.8;0.9670148433205058;28;2.5287628173828125;0.25
random-9_adjacent_3_0.25;400;48.8;0.9670148433205058;28;2.257808208465576;0.25
random-9_adjacent_4_0.25;400;48.8;0.9670148433205058;28;2.259392023086548;0.25
random-9_adjacent_5_0.25;400;48.8;0.9670148433205058;28;3.333421230316162;0.25
random-9_adjacent_6_0.25;400;48.8;0.9670148433205058;28;2.647361993789673;0.25
random-9_adjacent_7_0.25;400;48.8;0.9670148433205058;28;2.756722927093506;0.25
random-9_adjacent_8_0.25;400;48.8;0.9670148433205058;28;2.1574440002441406;0.25
random-9_adjacent_9_0.25;400;48.8;0.9670148433205058;28;2.2158126831054688;0.25
random-9_adjacent_10_0.25;400;48.8;0.9670148433205058;28;3.2673819065093994;0.25
random-9_adjacent_11_0.25;400;48.8;0.9670148433205058;28;3.05609393119812;0.25
random-9_adjacent_12_0.25;400;48.8;0.9670148433205058;28;2.2044689655303955;0.25
random-9_adjacent_13_0.25;400;48.8;0.9670148433205058;28;3.670599937438965;0.25
random-9_adjacent_14_0.25;400;48.8;0.9670148433205058;28;2.3068809509277344;0.25
random-9_adjacent_15_0.25;400;48.8;0.9670148433205058;28;2.033906936645508;0.25
random-9_adjacent_16_0.25;400;48.8;0.9670148433205058;28;3.6068780422210693;0.25
random-9_adjacent_17_0.25;400;48.8;0.9670148433205058;28;2.650912046432495;0.25
random-9_adjacent_18_0.25;400;48.8;0.9670148433205058;28;2.850640058517456;0.25
random-9_adjacent_19_0.25;400;48.8;0.9670148433205058;28;2.327256917953491;0.25
random-9_adjacent_20_0.25;400;48.8;0.9635157545605307;29;2.4257049560546875;0.25
random-9_adjacent_21_0.25;400;48.8;0.9670148433205058;28;2.2597107887268066;0.25
random-9_adjacent_22_0.25;400;48.8;0.9670148433205058;28;2.1362578868865967;0.25
random-9_adjacent_23_0.25;400;48.8;0.9670148433205058;28;2.4925220012664795;0.25
random-9_adjacent_24_0.25;400;48.8;0.9670148433205058;28;2.209664821624756;0.25
random-9_adjacent_25_0.25;400;48.8;0.9670148433205058;28;2.667282819747925;0.25
random-9_adjacent_26_0.25;400;48.8;0.9670148433205058;28;2.83065128326416;0.25
random-9_adjacent_27_0.25;400;48.8;0.9670148433205058;28;3.137000322341919;0.25
random-9_adjacent_28_0.25;400;48.8;0.9670148433205058;28;3.0493381023406982;0.25
random-9_adjacent_29_0.25;400;48.8;0.9670148433205058;28;2.1911942958831787;0.25
random-9_adjacent_30_0.25;400;48.8;0.9670148433205058;28;2.2349047660827637;0.25
random-9_adjacent_31_0.25;400;48.8;0.9670148433205058;28;3.2629971504211426;0.25
random-9_adjacent_32_0.25;400;48.8;0.9670148433205058;28;3.0646283626556396;0.25
random-9_adjacent_33_0.25;400;48.8;0.9670148433205058;28;2.2573342323303223;0.25
random-9_adjacent_34_0.25;400;48.8;0.9670148433205058;28;2.3968117237091064;0.25
random-9_adjacent_35_0.25;400;48.8;0.9670148433205058;28;2.3686881065368652;0.25
random-9_adjacent_36_0.25;400;48.8;0.9670148433205058;28;2.340641975402832;0.25
random-9_adjacent_37_0.25;400;48.8;0.9670148433205058;28;2.3865139484405518;0.25
random-9_adjacent_38_0.25;400;48.8;0.9670148433205058;28;3.0948548316955566;0.25
random-9_adjacent_39_0.25;400;48.8;0.9670148433205058;28;2.751950740814209;0.25
random-9_adjacent_40_0.25;400;48.8;0.9670148433205058;28;2.394108772277832;0.25
random-9_adjacent_41_0.25;400;48.8;0.9670148433205058;28;1.8781707286834717;0.25
random-9_adjacent_42_0.25;400;48.8;0.9670148433205058;28;3.3958740234375;0.25
random-9_adjacent_43_0.25;400;48.8;0.9670148433205058;28;2.5060460567474365;0.25
random-9_adjacent_44_0.25;400;48.8;0.9670148433205058;28;3.421243190765381;0.25
random-9_adjacent_45_0.25;400;48.8;0.9670148433205058;28;2.039836883544922;0.25
random-9_adjacent_46_0.25;400;48.8;0.9670148433205058;28;2.8015408515930176;0.25
random-9_adjacent_47_0.25;400;48.8;0.9670148433205058;28;2.7222461700439453;0.25
random-9_adjacent_48_0.25;400;48.8;0.9670148433205058;28;2.280543088912964;0.25
