;|V|;D(%);ƒ;c;t(sec);α
market-3_adjacent_1_0.25;500;22.21;1.4950815064643057;6;0.05028820037841797;0.25
market-3_adjacent_2_0.25;500;22.21;1.5815811606391925;5;0.03371691703796387;0.25
market-3_adjacent_3_0.25;500;22.21;0.9482439926062846;7;0.05269289016723633;0.25
market-3_adjacent_4_0.25;500;22.21;0.8157101973188733;6;0.027124881744384766;0.25
market-3_adjacent_5_0.25;500;22.21;1.890507011866235;4;0.02483820915222168;0.25
market-3_adjacent_6_0.25;500;22.21;2.656486941870261;5;0.03834414482116699;0.25
market-3_adjacent_7_0.25;500;22.21;1.196319018404908;5;0.06092405319213867;0.25
market-3_adjacent_8_0.25;500;22.21;2.1192493946731235;5;0.04931974411010742;0.25
market-3_adjacent_9_0.25;500;22.21;0.7851939691682196;5;0.043105125427246094;0.25
market-3_adjacent_10_0.25;500;22.21;1.0068340750158933;6;0.023272991180419922;0.25
market-3_adjacent_11_0.25;500;22.21;0.9549056050083147;6;0.036705732345581055;0.25
market-3_adjacent_12_0.25;500;22.21;1.1920684292379473;5;0.03901100158691406;0.25
market-3_adjacent_13_0.25;500;22.21;0.7949659716970942;7;0.040841102600097656;0.25
market-3_adjacent_14_0.25;500;22.21;1.453211009174312;6;0.06106686592102051;0.25
market-3_adjacent_15_0.25;500;22.21;0.8389841433543896;6;0.04185986518859863;0.25
market-3_adjacent_16_0.25;500;22.21;3.4286040667123596;5;0.05379199981689453;0.25
market-3_adjacent_17_0.25;500;22.21;2.4357516488514896;6;0.03338003158569336;0.25
market-3_adjacent_18_0.25;500;22.21;0.7929738869058801;6;0.05568194389343262;0.25
market-3_adjacent_19_0.25;500;22.21;2.065029558890404;5;0.0422670841217041;0.25
market-3_adjacent_20_0.25;500;22.21;0.7933687002652521;5;0.04634404182434082;0.25
market-3_adjacent_21_0.25;500;22.21;1.491696211979847;6;0.060294151306152344;0.25
market-3_adjacent_22_0.25;500;22.21;1.8802958134870893;6;0.04908180236816406;0.25
market-3_adjacent_23_0.25;500;22.21;0.7011437908496733;6;0.05192899703979492;0.25
market-3_adjacent_24_0.25;500;22.21;1.756768953068592;6;0.055853843688964844;0.25
market-3_adjacent_25_0.25;500;22.21;0.985403124643631;6;0.033820152282714844;0.25
market-3_adjacent_26_0.25;500;22.21;0.853315472203617;4;0.028522968292236328;0.25
market-3_adjacent_27_0.25;500;22.21;1.7945230322814651;6;0.04395699501037598;0.25
market-3_adjacent_28_0.25;500;22.21;1.396694214876033;6;0.06805706024169922;0.25
market-3_adjacent_29_0.25;500;22.21;1.119507323568575;6;0.026468276977539062;0.25
market-3_adjacent_30_0.25;500;22.21;1.165341554437774;6;0.05425095558166504;0.25
market-3_adjacent_31_0.25;500;22.21;1.3878480126072488;6;0.03631997108459473;0.25
market-3_adjacent_32_0.25;500;22.21;1.58577648766328;5;0.03910493850708008;0.25
market-3_adjacent_33_0.25;500;22.21;0.9474251819897546;6;0.0472722053527832;0.25
market-3_adjacent_34_0.25;500;22.21;1.765019190099475;5;0.0424041748046875;0.25
market-3_adjacent_35_0.25;500;22.21;0.965079365079365;6;0.03559112548828125;0.25
market-3_adjacent_36_0.25;500;22.21;0.7026032823995473;5;0.041116952896118164;0.25
market-3_adjacent_37_0.25;500;22.21;3.8286915396741983;5;0.04003477096557617;0.25
market-3_adjacent_38_0.25;500;22.21;0.8451730418943536;5;0.03881502151489258;0.25
market-3_adjacent_39_0.25;500;22.21;1.787366779308552;5;0.03879880905151367;0.25
market-3_adjacent_40_0.25;500;22.21;1.5815811606391925;5;0.03305697441101074;0.25
market-3_adjacent_41_0.25;500;22.21;0.7012103746397695;8;0.054109811782836914;0.25
market-3_adjacent_42_0.25;500;22.21;1.9440662918023084;5;0.07492613792419434;0.25
market-3_adjacent_43_0.25;500;22.21;0.8773687386843694;7;0.02318596839904785;0.25
market-3_adjacent_44_0.25;500;22.21;1.8924862553451436;5;0.051508188247680664;0.25
market-3_adjacent_45_0.25;500;22.21;1.1802269043760132;5;0.038931846618652344;0.25
market-3_adjacent_46_0.25;500;22.21;1.8375368490009825;7;0.04014396667480469;0.25
market-3_adjacent_47_0.25;500;22.21;1.0782590278513182;6;0.06195402145385742;0.25
market-3_adjacent_48_0.25;500;22.21;1.330532212885154;5;0.044695138931274414;0.25
market-3_adjacent_49_0.25;500;22.21;1.3043281556326345;5;0.030231952667236328;0.25
market-3_adjacent_50_0.25;500;22.21;1.3418584825234443;6;0.06161093711853027;0.25
market-3_adjacent_51_0.25;500;22.21;1.2327804329491145;6;0.06388306617736816;0.25
market-3_adjacent_52_0.25;500;22.21;0.5796649785742112;5;0.04747509956359863;0.25
market-3_adjacent_53_0.25;500;22.21;1.126220886551465;6;0.041543006896972656;0.25
market-3_adjacent_54_0.25;500;22.21;1.0201232032854208;6;0.05108523368835449;0.25
market-3_adjacent_55_0.25;500;22.21;0.866828706664961;5;0.04442882537841797;0.25
market-3_adjacent_56_0.25;500;22.21;1.6253759607886822;7;0.05924201011657715;0.25
market-3_adjacent_57_0.25;500;22.21;1.9911995177817965;5;0.029658794403076172;0.25
market-3_adjacent_58_0.25;500;22.21;0.5797997975480824;6;0.029082775115966797;0.25
market-3_adjacent_59_0.25;500;22.21;0.7349500713266763;6;0.03493976593017578;0.25
market-3_adjacent_60_0.25;500;22.21;1.5557537912578052;5;0.05219388008117676;0.25
market-3_adjacent_61_0.25;500;22.21;1.563299232736573;6;0.048014163970947266;0.25
market-3_adjacent_62_0.25;500;22.21;1.1225141679546626;6;0.06504392623901367;0.25
market-3_adjacent_63_0.25;500;22.21;1.5511596180081855;6;0.037619829177856445;0.25
market-3_adjacent_64_0.25;500;22.21;1.666196822142491;6;0.06786084175109863;0.25
market-3_adjacent_65_0.25;500;22.21;1.6661947904869763;6;0.05654501914978027;0.25
market-3_adjacent_66_0.25;500;22.21;0.7547507265817124;5;0.038947105407714844;0.25
market-3_adjacent_67_0.25;500;22.21;1.0989361702127662;5;0.042478084564208984;0.25
market-3_adjacent_68_0.25;500;22.21;1.9033149171270716;6;0.06941699981689453;0.25
market-3_adjacent_69_0.25;500;22.21;1.4456167773870003;6;0.03622102737426758;0.25
market-3_adjacent_70_0.25;500;22.21;1.5898183064792597;5;0.04737687110900879;0.25
market-3_adjacent_71_0.25;500;22.21;0.8348903717826502;4;0.0290679931640625;0.25
market-3_adjacent_72_0.25;500;22.21;0.8011031797534068;6;0.041651010513305664;0.25
market-3_adjacent_73_0.25;500;22.21;1.2327804329491145;6;0.03188300132751465;0.25
market-3_adjacent_74_0.25;500;22.21;1.8090050835148879;5;0.055146217346191406;0.25
market-3_adjacent_75_0.25;500;22.21;0.8866693844272319;5;0.030389070510864258;0.25
market-3_adjacent_76_0.25;500;22.21;1.5204897551224388;7;0.05054616928100586;0.25
market-3_adjacent_77_0.25;500;22.21;0.7547507265817124;5;0.03671097755432129;0.25
market-3_adjacent_78_0.25;500;22.21;1.7689575934823483;5;0.05465984344482422;0.25
market-3_adjacent_79_0.25;500;22.21;1.14659582841401;7;0.04653167724609375;0.25
market-3_adjacent_80_0.25;500;22.21;1.7272141014617368;6;0.04846787452697754;0.25
market-3_adjacent_81_0.25;500;22.21;0.9016208914903195;5;0.030337095260620117;0.25
market-3_adjacent_82_0.25;500;22.21;0.7524551303758887;5;0.04119515419006348;0.25
market-3_adjacent_83_0.25;500;22.21;1.912808336631051;6;0.04865598678588867;0.25
market-3_adjacent_84_0.25;500;22.21;1.152307923620508;7;0.06916093826293945;0.25
