;|V|;D(%);ƒ;c;t(sec);α
market-3_adjacent_1_0.25;500;22.21;1.3302564102564107;8;0.4922831058502197;0.25
market-3_adjacent_2_0.25;500;22.21;1.3302564102564107;8;0.48635005950927734;0.25
market-3_adjacent_3_0.25;500;22.21;1.3302564102564107;8;0.5001111030578613;0.25
market-3_adjacent_4_0.25;500;22.21;1.3302564102564107;8;0.4783611297607422;0.25
market-3_adjacent_5_0.25;500;22.21;1.3302564102564107;8;0.40218424797058105;0.25
market-3_adjacent_6_0.25;500;22.21;1.3302564102564107;8;0.44503021240234375;0.25
market-3_adjacent_7_0.25;500;22.21;1.3302564102564107;8;0.5353760719299316;0.25
market-3_adjacent_8_0.25;500;22.21;1.3302564102564107;8;0.4774515628814697;0.25
market-3_adjacent_9_0.25;500;22.21;1.3302564102564107;8;0.485335111618042;0.25
market-3_adjacent_10_0.25;500;22.21;1.3302564102564107;8;0.4654228687286377;0.25
market-3_adjacent_11_0.25;500;22.21;1.3302564102564107;8;0.4742438793182373;0.25
market-3_adjacent_12_0.25;500;22.21;1.3302564102564107;8;0.46085023880004883;0.25
market-3_adjacent_13_0.25;500;22.21;1.3302564102564107;8;0.5010099411010742;0.25
market-3_adjacent_14_0.25;500;22.21;1.3302564102564107;8;0.5129868984222412;0.25
market-3_adjacent_15_0.25;500;22.21;1.3302564102564107;8;0.507314920425415;0.25
market-3_adjacent_16_0.25;500;22.21;1.3302564102564107;8;0.49587130546569824;0.25
market-3_adjacent_17_0.25;500;22.21;1.3302564102564107;8;0.5011229515075684;0.25
market-3_adjacent_18_0.25;500;22.21;1.3302564102564107;8;0.4979259967803955;0.25
market-3_adjacent_19_0.25;500;22.21;1.3302564102564107;8;0.4510939121246338;0.25
market-3_adjacent_20_0.25;500;22.21;1.3302564102564107;8;0.47477197647094727;0.25
market-3_adjacent_21_0.25;500;22.21;1.3302564102564107;8;0.5463149547576904;0.25
market-3_adjacent_22_0.25;500;22.21;1.3302564102564107;8;0.5083117485046387;0.25
market-3_adjacent_23_0.25;500;22.21;1.3302564102564107;8;0.504767894744873;0.25
market-3_adjacent_24_0.25;500;22.21;1.3302564102564107;8;0.4788186550140381;0.25
market-3_adjacent_25_0.25;500;22.21;1.3302564102564107;8;0.4405632019042969;0.25
