;|V|;D(%);ƒ;c;t(sec);α
wind-2005_adjacent_1_0.25;500;8.43;90391.75;4;0.05682992935180664;0.25
wind-2005_adjacent_2_0.25;500;8.43;89773.75;4;0.03317594528198242;0.25
wind-2005_adjacent_3_0.25;500;8.43;89773.75;4;0.04027581214904785;0.25
wind-2005_adjacent_4_0.25;500;8.43;89033.5;4;0.04232978820800781;0.25
wind-2005_adjacent_5_0.25;500;8.43;89678.54545454546;4;0.02347111701965332;0.25
wind-2005_adjacent_6_0.25;500;8.43;90391.75;4;0.048207998275756836;0.25
wind-2005_adjacent_7_0.25;500;8.43;89264.0;4;0.029178857803344727;0.25
wind-2005_adjacent_8_0.25;500;8.43;89314.25;4;0.04327511787414551;0.25
wind-2005_adjacent_9_0.25;500;8.43;90391.75;4;0.04394197463989258;0.25
wind-2005_adjacent_10_0.25;500;8.43;89773.75;4;0.03368330001831055;0.25
wind-2005_adjacent_11_0.25;500;8.43;90391.75;4;0.048198699951171875;0.25
wind-2005_adjacent_12_0.25;500;8.43;90391.75;4;0.0588078498840332;0.25
wind-2005_adjacent_13_0.25;500;8.43;89264.0;4;0.030966758728027344;0.25
wind-2005_adjacent_14_0.25;500;8.43;89773.75;4;0.02513408660888672;0.25
wind-2005_adjacent_15_0.25;500;8.43;89773.75;4;0.03660988807678223;0.25
wind-2005_adjacent_16_0.25;500;8.43;90391.75;4;0.07617616653442383;0.25
wind-2005_adjacent_17_0.25;500;8.43;85218.11764705883;4;0.010013341903686523;0.25
wind-2005_adjacent_18_0.25;500;8.43;89264.0;4;0.03273773193359375;0.25
wind-2005_adjacent_19_0.25;500;8.43;89678.54545454546;4;0.028197050094604492;0.25
wind-2005_adjacent_20_0.25;500;8.43;90391.75;4;0.0545351505279541;0.25
wind-2005_adjacent_21_0.25;500;8.43;90391.75;4;0.041110992431640625;0.25
wind-2005_adjacent_22_0.25;500;8.43;89678.54545454546;4;0.0421299934387207;0.25
wind-2005_adjacent_23_0.25;500;8.43;90391.75;4;0.03433990478515625;0.25
wind-2005_adjacent_24_0.25;500;8.43;89773.75;4;0.0366208553314209;0.25
wind-2005_adjacent_25_0.25;500;8.43;89972.25;4;0.49191999435424805;0.25
wind-2005_adjacent_26_0.25;500;8.43;89773.75;4;0.0649111270904541;0.25
wind-2005_adjacent_27_0.25;500;8.43;90391.75;4;0.0378870964050293;0.25
wind-2005_adjacent_28_0.25;500;8.43;89678.54545454546;4;0.03257894515991211;0.25
wind-2005_adjacent_29_0.25;500;8.43;90391.75;4;0.045226097106933594;0.25
wind-2005_adjacent_30_0.25;500;8.43;89678.54545454546;4;0.06556487083435059;0.25
wind-2005_adjacent_31_0.25;500;8.43;89314.25;4;0.021273136138916016;0.25
wind-2005_adjacent_32_0.25;500;8.43;90391.75;4;0.037950992584228516;0.25
wind-2005_adjacent_33_0.25;500;8.43;89314.25;4;0.055416107177734375;0.25
wind-2005_adjacent_34_0.25;500;8.43;89515.87878787878;4;0.02383589744567871;0.25
wind-2005_adjacent_35_0.25;500;8.43;90391.75;4;0.02460789680480957;0.25
wind-2005_adjacent_36_0.25;500;8.43;88612.5;4;0.011904001235961914;0.25
wind-2005_adjacent_37_0.25;500;8.43;89264.0;4;0.03117084503173828;0.25
wind-2005_adjacent_38_0.25;500;8.43;89314.25;4;0.05849289894104004;0.25
wind-2005_adjacent_39_0.25;500;8.43;90391.75;4;0.021880149841308594;0.25
wind-2005_adjacent_40_0.25;500;8.43;89773.75;4;0.052108049392700195;0.25
wind-2005_adjacent_41_0.25;500;8.43;90391.75;4;0.05439496040344238;0.25
wind-2005_adjacent_42_0.25;500;8.43;87865.0;4;0.010741949081420898;0.25
wind-2005_adjacent_43_0.25;500;8.43;90391.75;4;0.06547284126281738;0.25
wind-2005_adjacent_44_0.25;500;8.43;90391.75;4;0.03948211669921875;0.25
wind-2005_adjacent_45_0.25;500;8.43;89773.75;4;0.03757905960083008;0.25
wind-2005_adjacent_46_0.25;500;8.43;88373.0;4;0.01837611198425293;0.25
wind-2005_adjacent_47_0.25;500;8.43;90391.75;4;0.03725695610046387;0.25
wind-2005_adjacent_48_0.25;500;8.43;90391.75;4;0.05859088897705078;0.25
wind-2005_adjacent_49_0.25;500;8.43;89773.75;4;0.03938007354736328;0.25
wind-2005_adjacent_50_0.25;500;8.43;90391.75;4;0.07324600219726562;0.25
wind-2005_adjacent_51_0.25;500;8.43;90391.75;4;0.026607751846313477;0.25
wind-2005_adjacent_52_0.25;500;8.43;90391.75;4;0.030302762985229492;0.25
wind-2005_adjacent_53_0.25;500;8.43;90391.75;4;0.0469357967376709;0.25
wind-2005_adjacent_54_0.25;500;8.43;90391.75;4;0.03483700752258301;0.25
wind-2005_adjacent_55_0.25;500;8.43;90391.75;4;0.06607317924499512;0.25
wind-2005_adjacent_56_0.25;500;8.43;88990.75;4;0.03697013854980469;0.25
wind-2005_adjacent_57_0.25;500;8.43;88612.5;4;0.04799818992614746;0.25
wind-2005_adjacent_58_0.25;500;8.43;89773.75;4;0.025285005569458008;0.25
wind-2005_adjacent_59_0.25;500;8.43;90391.75;4;0.0831308364868164;0.25
wind-2005_adjacent_60_0.25;500;8.43;90391.75;4;0.05194497108459473;0.25
wind-2005_adjacent_61_0.25;500;8.43;89773.75;4;0.03353524208068848;0.25
wind-2005_adjacent_62_0.25;500;8.43;88612.5;4;0.012160062789916992;0.25
wind-2005_adjacent_63_0.25;500;8.43;90391.75;4;0.047441959381103516;0.25
wind-2005_adjacent_64_0.25;500;8.43;92427.33333333333;3;0.013700723648071289;0.25
wind-2005_adjacent_65_0.25;500;8.43;90391.75;4;0.046890974044799805;0.25
wind-2005_adjacent_66_0.25;500;8.43;90391.75;4;0.05396294593811035;0.25
wind-2005_adjacent_67_0.25;500;8.43;89773.75;4;0.03156113624572754;0.25
wind-2005_adjacent_68_0.25;500;8.43;89773.75;4;0.03651285171508789;0.25
wind-2005_adjacent_69_0.25;500;8.43;90391.75;4;0.019273042678833008;0.25
wind-2005_adjacent_70_0.25;500;8.43;90391.75;4;0.045796871185302734;0.25
wind-2005_adjacent_71_0.25;500;8.43;89773.75;4;0.04186606407165527;0.25
wind-2005_adjacent_72_0.25;500;8.43;88176.0;4;0.03459811210632324;0.25
wind-2005_adjacent_73_0.25;500;8.43;90391.75;4;0.031149864196777344;0.25
wind-2005_adjacent_74_0.25;500;8.43;90391.75;4;0.03720498085021973;0.25
wind-2005_adjacent_75_0.25;500;8.43;90391.75;4;0.029581069946289062;0.25
wind-2005_adjacent_76_0.25;500;8.43;89773.75;4;0.041095733642578125;0.25
wind-2005_adjacent_77_0.25;500;8.43;90391.75;4;0.040467262268066406;0.25
wind-2005_adjacent_78_0.25;500;8.43;90391.75;4;0.04703402519226074;0.25
wind-2005_adjacent_79_0.25;500;8.43;90391.75;4;0.03745722770690918;0.25
wind-2005_adjacent_80_0.25;500;8.43;90391.75;4;0.04024195671081543;0.25
wind-2005_adjacent_81_0.25;500;8.43;89314.25;4;0.05741000175476074;0.25
wind-2005_adjacent_82_0.25;500;8.43;89264.0;4;0.04915809631347656;0.25
wind-2005_adjacent_83_0.25;500;8.43;90391.75;4;0.036705970764160156;0.25
wind-2005_adjacent_84_0.25;500;8.43;89515.87878787878;4;0.014638900756835938;0.25
wind-2005_adjacent_85_0.25;500;8.43;90391.75;4;0.06768083572387695;0.25
wind-2005_adjacent_86_0.25;500;8.43;90391.75;4;0.0391542911529541;0.25
wind-2005_adjacent_87_0.25;500;8.43;88185.0;4;0.005692005157470703;0.25
wind-2005_adjacent_88_0.25;500;8.43;90391.75;4;0.030071020126342773;0.25
wind-2005_adjacent_89_0.25;500;8.43;90391.75;4;0.03235030174255371;0.25
wind-2005_adjacent_90_0.25;500;8.43;89264.0;4;0.044239044189453125;0.25
