;|V|;D(%);ƒ;c;t(sec);α
wind-2006_adjacent_1_0.25;500;7.76;35605.85365853659;4;5.984814882278442;0.25
wind-2006_adjacent_2_0.25;500;7.76;47575.2;6;11.028531074523926;0.25
wind-2006_adjacent_3_0.25;500;7.76;84049.92156862745;24;0.04151129722595215;0.25
wind-2006_adjacent_4_0.25;500;7.76;42457.12;5;7.262293815612793;0.25
wind-2006_adjacent_5_0.25;500;7.76;35884.0;4;6.949856996536255;0.25
wind-2006_adjacent_6_0.25;500;7.76;84673.9943977591;42;0.11072206497192383;0.25
wind-2006_adjacent_7_0.25;500;7.76;21493.090909090908;3;3.3434741497039795;0.25
wind-2006_adjacent_8_0.25;500;7.76;85663.7299578059;28;0.050461769104003906;0.25
wind-2006_adjacent_9_0.25;500;7.76;84940.87417218543;18;0.029731035232543945;0.25
wind-2006_adjacent_10_0.25;500;7.76;34285.65853658537;4;4.930289030075073;0.25
wind-2006_adjacent_11_0.25;500;7.76;85044.62222222223;16;0.02838587760925293;0.25
wind-2006_adjacent_12_0.25;500;7.76;84502.57489878543;29;0.04302215576171875;0.25
wind-2006_adjacent_13_0.25;500;7.76;35622.243902439026;4;5.708317995071411;0.25
wind-2006_adjacent_14_0.25;500;7.76;85328.35294117648;56;0.14649701118469238;0.25
wind-2006_adjacent_15_0.25;500;7.76;83923.54811715482;28;0.0398249626159668;0.25
wind-2006_adjacent_16_0.25;500;7.76;21813.81818181818;3;2.837183952331543;0.25
wind-2006_adjacent_17_0.25;500;7.76;21571.878787878788;3;2.9218270778656006;0.25
wind-2006_adjacent_18_0.25;500;7.76;43147.68;5;6.001348972320557;0.25
wind-2006_adjacent_19_0.25;500;7.76;36726.829268292684;4;4.577291965484619;0.25
wind-2006_adjacent_20_0.25;500;7.76;53629.014925373136;7;9.321172952651978;0.25
wind-2006_adjacent_21_0.25;500;7.76;53256.94117647059;7;9.642018795013428;0.25
wind-2006_adjacent_22_0.25;500;7.76;84149.77319587629;46;0.14763593673706055;0.25
wind-2006_adjacent_23_0.25;500;7.76;84160.5;15;0.016041994094848633;0.25
wind-2006_adjacent_24_0.25;500;7.76;21813.81818181818;3;3.1343679428100586;0.25
wind-2006_adjacent_25_0.25;500;7.76;21495.757575757576;3;3.092426061630249;0.25
wind-2006_adjacent_26_0.25;500;7.76;34562.73170731707;4;4.4717698097229;0.25
wind-2006_adjacent_27_0.25;500;7.76;85433.10344827586;34;0.05163908004760742;0.25
wind-2006_adjacent_28_0.25;500;7.76;21978.666666666668;3;3.0789990425109863;0.25
wind-2006_adjacent_29_0.25;500;7.76;84271.1637630662;34;0.08514809608459473;0.25
wind-2006_adjacent_30_0.25;500;7.76;21839.757575757576;3;3.6543147563934326;0.25
wind-2006_adjacent_31_0.25;500;7.76;84709.71428571429;5;0.0026111602783203125;0.25
wind-2006_adjacent_32_0.25;500;7.76;85305.88235294117;10;0.010282039642333984;0.25
wind-2006_adjacent_33_0.25;500;7.76;0.6666666666666666;2;1.526949167251587;0.25
wind-2006_adjacent_34_0.25;500;7.76;0.6666666666666666;2;1.5259768962860107;0.25
wind-2006_adjacent_35_0.25;500;7.76;22151.5;3;2.926116704940796;0.25
wind-2006_adjacent_36_0.25;500;7.76;59051.10588235294;9;11.932245016098022;0.25
wind-2006_adjacent_37_0.25;500;7.76;21571.878787878788;3;2.7553110122680664;0.25
wind-2006_adjacent_38_0.25;500;7.76;0.6666666666666666;2;1.5765252113342285;0.25
wind-2006_adjacent_39_0.25;500;7.76;85274.74626865672;8;0.002577066421508789;0.25
wind-2006_adjacent_40_0.25;500;7.76;85221.01587301587;15;0.01629018783569336;0.25
wind-2006_adjacent_41_0.25;500;7.76;42441.30612244898;5;8.078087091445923;0.25
wind-2006_adjacent_42_0.25;500;7.76;0.6666666666666666;2;1.6801629066467285;0.25
wind-2006_adjacent_43_0.25;500;7.76;56915.78947368421;8;12.787079095840454;0.25
wind-2006_adjacent_44_0.25;500;7.76;34198.243902439026;4;5.402576923370361;0.25
wind-2006_adjacent_45_0.25;500;7.76;0.6666666666666666;2;2.5889840126037598;0.25
wind-2006_adjacent_46_0.25;500;7.76;22149.333333333332;3;5.628141164779663;0.25
wind-2006_adjacent_47_0.25;500;7.76;84486.68825910932;58;0.19096088409423828;0.25
wind-2006_adjacent_48_0.25;500;7.76;23001.21212121212;3;3.5414106845855713;0.25
wind-2006_adjacent_49_0.25;500;7.76;86625.39130434782;27;0.04593682289123535;0.25
wind-2006_adjacent_50_0.25;500;7.76;83825.56521739131;16;0.016716957092285156;0.25
