;|V|;D(%);ƒ;c;t(sec);α
c-fat500-1_adjacent_1_0.25;501;3.96;2.36094674556213;2;0.6564369201660156;0.25
c-fat500-1_adjacent_2_0.25;501;3.96;0.4076827757125155;2;0.7179830074310303;0.25
c-fat500-1_adjacent_3_0.25;501;3.96;1.2340425531914894;5;0.6592741012573242;0.25
c-fat500-1_adjacent_4_0.25;501;3.96;0.3333333333333333;2;0.7185490131378174;0.25
c-fat500-1_adjacent_5_0.25;501;3.96;0.13260219341974078;2;0.7319979667663574;0.25
c-fat500-1_adjacent_6_0.25;501;3.96;0.3475682087781732;2;0.7432861328125;0.25
c-fat500-1_adjacent_7_0.25;501;3.96;2.3451327433628317;3;0.7330098152160645;0.25
c-fat500-1_adjacent_8_0.25;501;3.96;0.45268542199488493;2;0.7339777946472168;0.25
c-fat500-1_adjacent_9_0.25;501;3.96;5.346368715083799;2;0.6531298160552979;0.25
c-fat500-1_adjacent_10_0.25;501;3.96;1.0120686403922308;13;0.857987642288208;0.25
c-fat500-1_adjacent_11_0.25;501;3.96;0.84375;2;0.703599214553833;0.25
c-fat500-1_adjacent_12_0.25;501;3.96;1.4430107526881721;2;0.6547181606292725;0.25
c-fat500-1_adjacent_13_0.25;501;3.96;0.8562720564645493;6;0.6620829105377197;0.25
c-fat500-1_adjacent_14_0.25;501;3.96;1.3800236406619386;24;1.73160719871521;0.25
c-fat500-1_adjacent_15_0.25;501;3.96;14.641379310344828;2;0.6571807861328125;0.25
c-fat500-1_adjacent_16_0.25;501;3.96;1.9894736842105263;2;0.6610472202301025;0.25
c-fat500-1_adjacent_17_0.25;501;3.96;0.8663594470046083;5;0.6709041595458984;0.25
c-fat500-1_adjacent_18_0.25;501;3.96;3.0;2;2367.5519099235535;0.25
c-fat500-1_adjacent_19_0.25;501;3.96;0.9695098417599383;9;0.7238337993621826;0.25
c-fat500-1_adjacent_20_0.25;501;3.96;0.7550664632817607;16;1.0159671306610107;0.25
c-fat500-1_adjacent_21_0.25;501;3.96;23.923076923076923;2;0.7555849552154541;0.25
c-fat500-1_adjacent_22_0.25;501;3.96;0.5692786715101193;8;0.6734740734100342;0.25
c-fat500-1_adjacent_23_0.25;501;3.96;3.3692307692307693;2;0.6536080837249756;0.25
c-fat500-1_adjacent_24_0.25;501;3.96;1.625;4;0.6560420989990234;0.25
c-fat500-1_adjacent_25_0.25;501;3.96;1.756608933454877;8;0.6673729419708252;0.25
c-fat500-1_adjacent_26_0.25;501;3.96;0.4042027194066749;2;0.730025053024292;0.25
c-fat500-1_adjacent_27_0.25;501;3.96;0.9443312966734555;11;0.6783652305603027;0.25
c-fat500-1_adjacent_28_0.25;501;3.96;0.21757770632368703;2;0.7438509464263916;0.25
c-fat500-1_adjacent_29_0.25;501;3.96;10.227722772277227;3;0.6521999835968018;0.25
c-fat500-1_adjacent_30_0.25;501;3.96;0.8058396568789179;22;1.362532138824463;0.25
c-fat500-1_adjacent_31_0.25;501;3.96;1.0468468468468468;2;0.6537680625915527;0.25
c-fat500-1_adjacent_32_0.25;501;3.96;2.3043974871502;6;0.7067258358001709;0.25
c-fat500-1_adjacent_33_0.25;501;3.96;0.25802879291251385;2;0.9146170616149902;0.25
c-fat500-1_adjacent_34_0.25;501;3.96;1.1393596986817325;2;0.9528613090515137;0.25
c-fat500-1_adjacent_35_0.25;501;3.96;0.9156829679595279;2;0.756915807723999;0.25
c-fat500-1_adjacent_36_0.25;501;3.96;1.8780487804878048;2;0.7576048374176025;0.25
c-fat500-1_adjacent_37_0.25;501;3.96;0.6871597397423981;13;1.1094179153442383;0.25
c-fat500-1_adjacent_38_0.25;501;3.96;0.6500275482093664;15;1.1400620937347412;0.25
c-fat500-1_adjacent_39_0.25;501;3.96;0.17234262125902994;2;0.8241188526153564;0.25
c-fat500-1_adjacent_40_0.25;501;3.96;1.999147485080989;4;0.7215838432312012;0.25
c-fat500-1_adjacent_41_0.25;501;3.96;1.547085201793722;2;0.7214131355285645;0.25
c-fat500-1_adjacent_42_0.25;501;3.96;1.3137254901960784;2;0.8310458660125732;0.25
c-fat500-1_adjacent_43_0.25;501;3.96;57.15384615384615;2;0.7284998893737793;0.25
c-fat500-1_adjacent_44_0.25;501;3.96;0.2865232163080408;2;0.7791411876678467;0.25
c-fat500-1_adjacent_45_0.25;501;3.96;1.1200664727877025;9;0.7677538394927979;0.25
c-fat500-1_adjacent_46_0.25;501;3.96;20.037037037037038;2;0.7205278873443604;0.25
c-fat500-1_adjacent_47_0.25;501;3.96;0.17476732161323683;2;0.7965497970581055;0.25
c-fat500-1_adjacent_48_0.25;501;3.96;0.2778402699662542;2;0.7911641597747803;0.25
c-fat500-1_adjacent_49_0.25;501;3.96;0.47341115434500647;2;0.7687408924102783;0.25
c-fat500-1_adjacent_50_0.25;501;3.96;0.5977496483825597;2;0.7817590236663818;0.25
c-fat500-1_adjacent_51_0.25;501;3.96;5.346368715083799;2;0.7252140045166016;0.25
c-fat500-1_adjacent_52_0.25;501;3.96;70.0;2;0.725531816482544;0.25
c-fat500-1_adjacent_53_0.25;501;3.96;23.923076923076923;2;0.7195940017700195;0.25
c-fat500-1_adjacent_54_0.25;501;3.96;7.428571428571429;2;0.7986280918121338;0.25
c-fat500-1_adjacent_55_0.25;501;3.96;0.43434343434343436;2;0.7661912441253662;0.25
c-fat500-1_adjacent_56_0.25;501;3.96;1.3811023622047245;4;0.7240190505981445;0.25
c-fat500-1_adjacent_57_0.25;501;3.96;3.33587786259542;2;0.7172949314117432;0.25
c-fat500-1_adjacent_58_0.25;501;3.96;0.5998641304347826;11;0.9394180774688721;0.25
c-fat500-1_adjacent_59_0.25;501;3.96;6.866666666666666;2;0.8053529262542725;0.25
c-fat500-1_adjacent_60_0.25;501;3.96;0.8471544715447155;2;0.7219040393829346;0.25
c-fat500-1_adjacent_61_0.25;501;3.96;1.0058962264150944;6;0.7246010303497314;0.25
c-fat500-1_adjacent_62_0.25;501;3.96;0.6345323741007194;2;0.812741756439209;0.25
c-fat500-1_adjacent_63_0.25;501;3.96;0.5383319292333614;17;1.108065128326416;0.25
c-fat500-1_adjacent_64_0.25;501;3.96;1.690391459074733;4;0.7201189994812012;0.25
c-fat500-1_adjacent_65_0.25;501;3.96;0.28361581920903955;2;0.8030068874359131;0.25
c-fat500-1_adjacent_66_0.25;501;3.96;0.8996655518394648;2;0.721390962600708;0.25
c-fat500-1_adjacent_67_0.25;501;3.96;0.4129353233830846;2;0.785024881362915;0.25
c-fat500-1_adjacent_68_0.25;501;3.96;2.134039613081529;6;0.7221112251281738;0.25
c-fat500-1_adjacent_69_0.25;501;3.96;0.3286549707602339;2;0.7704880237579346;0.25
