;|V|;D(%);ƒ;c;t(sec);α
email_adjacent_1_0.25;1134;1.02;0.6666666666666666;2;0.37581491470336914;0.25
email_adjacent_2_0.25;1134;1.02;0.6666666666666666;2;0.37534594535827637;0.25
email_adjacent_3_0.25;1134;1.02;0.6666666666666666;2;0.3921360969543457;0.25
email_adjacent_4_0.25;1134;1.02;0.6666666666666666;2;0.3769700527191162;0.25
email_adjacent_5_0.25;1134;1.02;0.6666666666666666;2;0.37863898277282715;0.25
email_adjacent_6_0.25;1134;1.02;0.6666666666666666;2;0.37429213523864746;0.25
email_adjacent_7_0.25;1134;1.02;0.6666666666666666;2;0.37342214584350586;0.25
email_adjacent_8_0.25;1134;1.02;0.6666666666666666;2;0.37315893173217773;0.25
email_adjacent_9_0.25;1134;1.02;0.6666666666666666;2;0.3598361015319824;0.25
email_adjacent_10_0.25;1134;1.02;0.6666666666666666;2;0.36207103729248047;0.25
email_adjacent_11_0.25;1134;1.02;0.6666666666666666;2;0.35973596572875977;0.25
email_adjacent_12_0.25;1134;1.02;0.6666666666666666;2;0.36258697509765625;0.25
email_adjacent_13_0.25;1134;1.02;0.6666666666666666;2;0.3615548610687256;0.25
email_adjacent_14_0.25;1134;1.02;0.6666666666666666;2;0.3637838363647461;0.25
email_adjacent_15_0.25;1134;1.02;0.6666666666666666;2;0.3612487316131592;0.25
email_adjacent_16_0.25;1134;1.02;0.6666666666666666;2;0.3638317584991455;0.25
email_adjacent_17_0.25;1134;1.02;0.6666666666666666;2;0.3596019744873047;0.25
email_adjacent_18_0.25;1134;1.02;0.6666666666666666;2;0.3614368438720703;0.25
email_adjacent_19_0.25;1134;1.02;0.6666666666666666;2;0.35933494567871094;0.25
email_adjacent_20_0.25;1134;1.02;0.6666666666666666;2;0.35932111740112305;0.25
email_adjacent_21_0.25;1134;1.02;0.6666666666666666;2;0.3606550693511963;0.25
email_adjacent_22_0.25;1134;1.02;0.6666666666666666;2;0.37220120429992676;0.25
email_adjacent_23_0.25;1134;1.02;0.6666666666666666;2;0.36177802085876465;0.25
email_adjacent_24_0.25;1134;1.02;0.6666666666666666;2;0.36031007766723633;0.25
email_adjacent_25_0.25;1134;1.02;0.6666666666666666;2;0.3622760772705078;0.25
email_adjacent_26_0.25;1134;1.02;0.6666666666666666;2;0.3628251552581787;0.25
email_adjacent_27_0.25;1134;1.02;0.6666666666666666;2;0.36385297775268555;0.25
email_adjacent_28_0.25;1134;1.02;0.6666666666666666;2;0.36013197898864746;0.25
email_adjacent_29_0.25;1134;1.02;0.6666666666666666;2;0.359022855758667;0.25
email_adjacent_30_0.25;1134;1.02;0.6666666666666666;2;0.3596169948577881;0.25
email_adjacent_31_0.25;1134;1.02;0.6666666666666666;2;0.3608667850494385;0.25
email_adjacent_32_0.25;1134;1.02;0.6666666666666666;2;0.35984086990356445;0.25
email_adjacent_33_0.25;1134;1.02;0.6666666666666666;2;0.364429235458374;0.25
email_adjacent_34_0.25;1134;1.02;0.6666666666666666;2;0.3614959716796875;0.25
email_adjacent_35_0.25;1134;1.02;0.6666666666666666;2;0.3620789051055908;0.25
email_adjacent_36_0.25;1134;1.02;0.6666666666666666;2;0.3626558780670166;0.25
email_adjacent_37_0.25;1134;1.02;0.6666666666666666;2;0.3699371814727783;0.25
email_adjacent_38_0.25;1134;1.02;0.6666666666666666;2;0.36038994789123535;0.25
email_adjacent_39_0.25;1134;1.02;0.6666666666666666;2;0.367203950881958;0.25
email_adjacent_40_0.25;1134;1.02;0.6666666666666666;2;0.3728330135345459;0.25
email_adjacent_41_0.25;1134;1.02;0.6666666666666666;2;0.37677907943725586;0.25
email_adjacent_42_0.25;1134;1.02;0.6666666666666666;2;0.3750178813934326;0.25
email_adjacent_43_0.25;1134;1.02;0.6666666666666666;2;0.3731677532196045;0.25
email_adjacent_44_0.25;1134;1.02;0.6666666666666666;2;0.3754408359527588;0.25
email_adjacent_45_0.25;1134;1.02;0.6666666666666666;2;0.37377500534057617;0.25
