;|V|;D(%);ƒ;c;t(sec);α
football_adjacent_1_0.25;116;10.91;0.6666666666666666;2;0.00943899154663086;0.25
football_adjacent_2_0.25;116;10.91;0.6666666666666666;2;0.007979154586791992;0.25
football_adjacent_3_0.25;116;10.91;0.6;3;0.009155988693237305;0.25
football_adjacent_4_0.25;116;10.91;0.6666666666666666;2;0.006316184997558594;0.25
football_adjacent_5_0.25;116;10.91;0.6666666666666666;2;0.005778789520263672;0.25
football_adjacent_6_0.25;116;10.91;0.5263157894736842;10;0.017503976821899414;0.25
football_adjacent_7_0.25;116;10.91;0.5217391304347826;12;0.030254125595092773;0.25
football_adjacent_8_0.25;116;10.91;0.6666666666666666;2;0.007627964019775391;0.25
football_adjacent_9_0.25;116;10.91;0.5185185185185185;14;0.03551793098449707;0.25
football_adjacent_10_0.25;116;10.91;0.5714285714285714;4;0.01201319694519043;0.25
football_adjacent_11_0.25;116;10.91;0.6666666666666666;2;0.007710933685302734;0.25
football_adjacent_12_0.25;116;10.91;0.6666666666666666;2;0.005567073822021484;0.25
football_adjacent_13_0.25;116;10.91;0.6666666666666666;2;0.008229255676269531;0.25
football_adjacent_14_0.25;116;10.91;0.6666666666666666;2;0.009811878204345703;0.25
football_adjacent_15_0.25;116;10.91;0.6666666666666666;2;0.008316993713378906;0.25
football_adjacent_16_0.25;116;10.91;0.6666666666666666;2;0.0049610137939453125;0.25
football_adjacent_17_0.25;116;10.91;0.6666666666666666;2;0.004968166351318359;0.25
football_adjacent_18_0.25;116;10.91;0.5454545454545454;6;0.011667013168334961;0.25
football_adjacent_19_0.25;116;10.91;0.6666666666666666;2;0.004701852798461914;0.25
football_adjacent_20_0.25;116;10.91;0.6666666666666666;2;0.009964942932128906;0.25
football_adjacent_21_0.25;116;10.91;0.5333333333333333;8;0.024653196334838867;0.25
football_adjacent_22_0.25;116;10.91;0.5714285714285714;4;0.010132074356079102;0.25
football_adjacent_23_0.25;116;10.91;0.5555555555555556;5;0.011484861373901367;0.25
football_adjacent_24_0.25;116;10.91;0.6666666666666666;2;0.010877132415771484;0.25
football_adjacent_25_0.25;116;10.91;0.5172413793103449;15;0.06014394760131836;0.25
football_adjacent_26_0.25;116;10.91;0.5;1;0.00016379356384277344;0.25
football_adjacent_27_0.25;116;10.91;0.5555555555555556;5;0.009238958358764648;0.25
football_adjacent_28_0.25;116;10.91;0.6666666666666666;2;0.004321098327636719;0.25
football_adjacent_29_0.25;116;10.91;0.6666666666666666;2;0.008714914321899414;0.25
football_adjacent_30_0.25;116;10.91;0.6666666666666666;2;0.0046732425689697266;0.25
football_adjacent_31_0.25;116;10.91;0.52;13;0.03398728370666504;0.25
football_adjacent_32_0.25;116;10.91;0.6666666666666666;2;0.007281780242919922;0.25
football_adjacent_33_0.25;116;10.91;0.6666666666666666;2;0.00704193115234375;0.25
football_adjacent_34_0.25;116;10.91;0.5384615384615384;7;0.014885902404785156;0.25
football_adjacent_35_0.25;116;10.91;0.5333333333333333;8;0.022771835327148438;0.25
football_adjacent_36_0.25;116;10.91;0.6666666666666666;2;0.0036821365356445312;0.25
football_adjacent_37_0.25;116;10.91;0.5555555555555556;5;0.008270740509033203;0.25
football_adjacent_38_0.25;116;10.91;0.5;1;0.0001277923583984375;0.25
football_adjacent_39_0.25;116;10.91;0.6666666666666666;2;0.003777027130126953;0.25
football_adjacent_40_0.25;116;10.91;0.6666666666666666;2;0.0068089962005615234;0.25
football_adjacent_41_0.25;116;10.91;0.6666666666666666;2;0.0035469532012939453;0.25
football_adjacent_42_0.25;116;10.91;0.5111111111111111;23;0.07092618942260742;0.25
football_adjacent_43_0.25;116;10.91;0.5217391304347826;12;0.026980876922607422;0.25
football_adjacent_44_0.25;116;10.91;0.6666666666666666;2;0.0036690235137939453;0.25
football_adjacent_45_0.25;116;10.91;0.5454545454545454;6;0.010606050491333008;0.25
football_adjacent_46_0.25;116;10.91;0.5294117647058824;9;0.02771782875061035;0.25
football_adjacent_47_0.25;116;10.91;0.5454545454545454;6;0.011113882064819336;0.25
football_adjacent_48_0.25;116;10.91;0.6666666666666666;2;0.004222869873046875;0.25
football_adjacent_49_0.25;116;10.91;0.5454545454545454;6;0.014615058898925781;0.25
football_adjacent_50_0.25;116;10.91;0.6;3;0.007606983184814453;0.25
football_adjacent_51_0.25;116;10.91;0.6666666666666666;2;0.0035860538482666016;0.25
football_adjacent_52_0.25;116;10.91;0.5217391304347826;12;0.040886878967285156;0.25
football_adjacent_53_0.25;116;10.91;0.6666666666666666;2;0.007317066192626953;0.25
football_adjacent_54_0.25;116;10.91;0.6666666666666666;2;0.007269859313964844;0.25
football_adjacent_55_0.25;116;10.91;0.6666666666666666;2;0.0070230960845947266;0.25
football_adjacent_56_0.25;116;10.91;0.5454545454545454;6;0.009936094284057617;0.25
football_adjacent_57_0.25;116;10.91;0.5333333333333333;8;0.014778852462768555;0.25
football_adjacent_58_0.25;116;10.91;0.6666666666666666;2;0.0036432743072509766;0.25
