;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_adjacent_1_0.25;29;58.62;1.2692307692307692;2;0.010406970977783203;0.25
johnson8-2-4_adjacent_2_0.25;29;58.62;3.982456140350877;2;0.005372285842895508;0.25
johnson8-2-4_adjacent_3_0.25;29;58.62;0.6559266425506857;41;2.236874580383301;0.25
johnson8-2-4_adjacent_4_0.25;29;58.62;15.0;2;0.00553584098815918;0.25
johnson8-2-4_adjacent_5_0.25;29;58.62;0.508819018404908;29;1.3452589511871338;0.25
johnson8-2-4_adjacent_6_0.25;29;58.62;0.5284260178748759;28;1.376936912536621;0.25
johnson8-2-4_adjacent_7_0.25;29;58.62;4.187214611872146;2;0.005513906478881836;0.25
johnson8-2-4_adjacent_8_0.25;29;58.62;0.8249396621078037;11;0.060497283935546875;0.25
johnson8-2-4_adjacent_9_0.25;29;58.62;4.633663366336633;3;0.013187885284423828;0.25
johnson8-2-4_adjacent_10_0.25;29;58.62;0.40703643420558405;28;1.547752857208252;0.25
johnson8-2-4_adjacent_11_0.25;29;58.62;4.117117117117117;2;0.008562803268432617;0.25
johnson8-2-4_adjacent_12_0.25;29;58.62;0.952687606781443;14;0.10767602920532227;0.25
johnson8-2-4_adjacent_13_0.25;29;58.62;6.6891891891891895;3;0.012982845306396484;0.25
johnson8-2-4_adjacent_14_0.25;29;58.62;0.41986644407345575;3;0.03045177459716797;0.25
johnson8-2-4_adjacent_15_0.25;29;58.62;1.7621359223300972;3;0.013170957565307617;0.25
johnson8-2-4_adjacent_16_0.25;29;58.62;3.2781954887218046;3;0.013271093368530273;0.25
johnson8-2-4_adjacent_17_0.25;29;58.62;31.457142857142856;2;0.0043201446533203125;0.25
johnson8-2-4_adjacent_18_0.25;29;58.62;0.5532008830022075;4;0.05881309509277344;0.25
johnson8-2-4_adjacent_19_0.25;29;58.62;7.107142857142857;3;0.00889897346496582;0.25
johnson8-2-4_adjacent_20_0.25;29;58.62;0.5203426124197003;36;3.120745897293091;0.25
johnson8-2-4_adjacent_21_0.25;29;58.62;7.070921985815603;3;0.016948938369750977;0.25
johnson8-2-4_adjacent_22_0.25;29;58.62;0.5881058511538678;33;2.5481817722320557;0.25
johnson8-2-4_adjacent_23_0.25;29;58.62;2.2550143266475646;2;0.00859212875366211;0.25
johnson8-2-4_adjacent_24_0.25;29;58.62;0.1772020725388601;2;0.0044727325439453125;0.25
johnson8-2-4_adjacent_25_0.25;29;58.62;0.5229114483571534;30;2.1539840698242188;0.25
johnson8-2-4_adjacent_26_0.25;29;58.62;35.70967741935484;3;0.01421809196472168;0.25
johnson8-2-4_adjacent_27_0.25;29;58.62;20.884615384615383;3;0.013340950012207031;0.25
johnson8-2-4_adjacent_28_0.25;29;58.62;1.502202643171806;2;0.008762836456298828;0.25
johnson8-2-4_adjacent_29_0.25;29;58.62;0.5631255164814984;40;3.341196060180664;0.25
johnson8-2-4_adjacent_30_0.25;29;58.62;70.0;2;0.0045108795166015625;0.25
johnson8-2-4_adjacent_31_0.25;29;58.62;0.6463768115942029;2;0.004509925842285156;0.25
johnson8-2-4_adjacent_32_0.25;29;58.62;0.5196754563894523;28;1.560478925704956;0.25
johnson8-2-4_adjacent_33_0.25;29;58.62;1.4316239316239316;3;0.013058185577392578;0.25
johnson8-2-4_adjacent_34_0.25;29;58.62;13.753246753246753;2;0.004275083541870117;0.25
johnson8-2-4_adjacent_35_0.25;29;58.62;1.3497720679651886;10;0.054045915603637695;0.25
johnson8-2-4_adjacent_36_0.25;29;58.62;10.474747474747474;2;0.0043146610260009766;0.25
johnson8-2-4_adjacent_37_0.25;29;58.62;0.4969203951191168;30;1.9513578414916992;0.25
johnson8-2-4_adjacent_38_0.25;29;58.62;10.711340206185566;2;0.008566141128540039;0.25
johnson8-2-4_adjacent_39_0.25;29;58.62;0.4928343949044586;6;0.07004594802856445;0.25
johnson8-2-4_adjacent_40_0.25;29;58.62;1.3483663138518178;9;0.05865979194641113;0.25
johnson8-2-4_adjacent_41_0.25;29;58.62;0.6681030840726658;42;2.329158067703247;0.25
johnson8-2-4_adjacent_42_0.25;29;58.62;0.7029972752043597;4;0.044422149658203125;0.25
johnson8-2-4_adjacent_43_0.25;29;58.62;0.13260219341974078;2;0.0044629573822021484;0.25
johnson8-2-4_adjacent_44_0.25;29;58.62;0.5331088664421998;3;0.04043769836425781;0.25
johnson8-2-4_adjacent_45_0.25;29;58.62;3.3531669865642995;8;0.026359081268310547;0.25
johnson8-2-4_adjacent_46_0.25;29;58.62;0.5372124492557511;2;0.0049190521240234375;0.25
johnson8-2-4_adjacent_47_0.25;29;58.62;41.074074074074076;2;0.004480838775634766;0.25
johnson8-2-4_adjacent_48_0.25;29;58.62;1.870886075949367;3;0.01088094711303711;0.25
johnson8-2-4_adjacent_49_0.25;29;58.62;1.2951241950321988;11;0.027482986450195312;0.25
johnson8-2-4_adjacent_50_0.25;29;58.62;2.8378378378378377;2;0.004392147064208984;0.25
johnson8-2-4_adjacent_51_0.25;29;58.62;2.2329545454545454;3;0.015096187591552734;0.25
johnson8-2-4_adjacent_52_0.25;29;58.62;1.40084388185654;3;0.014087200164794922;0.25
johnson8-2-4_adjacent_53_0.25;29;58.62;1.4221748400852878;2;0.004591941833496094;0.25
johnson8-2-4_adjacent_54_0.25;29;58.62;0.71458593288238;32;2.844541072845459;0.25
johnson8-2-4_adjacent_55_0.25;29;58.62;48.391304347826086;2;0.004433155059814453;0.25
johnson8-2-4_adjacent_56_0.25;29;58.62;4.761421319796955;3;0.013422966003417969;0.25
johnson8-2-4_adjacent_57_0.25;29;58.62;0.6186154389149398;32;1.9454998970031738;0.25
johnson8-2-4_adjacent_58_0.25;29;58.62;2.6012658227848102;3;0.012903928756713867;0.25
johnson8-2-4_adjacent_59_0.25;29;58.62;0.5818273092369478;34;2.690270185470581;0.25
johnson8-2-4_adjacent_60_0.25;29;58.62;0.49473684210526314;2;0.004575014114379883;0.25
johnson8-2-4_adjacent_61_0.25;29;58.62;2.2795389048991352;3;0.01323699951171875;0.25
johnson8-2-4_adjacent_62_0.25;29;58.62;8.563025210084033;3;0.01292109489440918;0.25
johnson8-2-4_adjacent_63_0.25;29;58.62;21.72;2;0.008768081665039062;0.25
johnson8-2-4_adjacent_64_0.25;29;58.62;0.5620654491517567;37;3.485874891281128;0.25
