;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_adjacent_1_0.25;29;58.62;0.5555555555555556;5;0.010348081588745117;0.25
johnson8-2-4_adjacent_2_0.25;29;58.62;0.5555555555555556;5;0.009965181350708008;0.25
johnson8-2-4_adjacent_3_0.25;29;58.62;0.5555555555555556;5;0.00989389419555664;0.25
johnson8-2-4_adjacent_4_0.25;29;58.62;0.5555555555555556;5;0.009766101837158203;0.25
johnson8-2-4_adjacent_5_0.25;29;58.62;0.5555555555555556;5;0.009464740753173828;0.25
johnson8-2-4_adjacent_6_0.25;29;58.62;0.5555555555555556;5;0.010757207870483398;0.25
johnson8-2-4_adjacent_7_0.25;29;58.62;0.5555555555555556;5;0.01014566421508789;0.25
johnson8-2-4_adjacent_8_0.25;29;58.62;0.5555555555555556;5;0.008728742599487305;0.25
johnson8-2-4_adjacent_9_0.25;29;58.62;0.5555555555555556;5;0.009383916854858398;0.25
johnson8-2-4_adjacent_10_0.25;29;58.62;0.5555555555555556;5;0.008919000625610352;0.25
johnson8-2-4_adjacent_11_0.25;29;58.62;0.5555555555555556;5;0.009540081024169922;0.25
johnson8-2-4_adjacent_12_0.25;29;58.62;0.5555555555555556;5;0.008814096450805664;0.25
johnson8-2-4_adjacent_13_0.25;29;58.62;0.5555555555555556;5;0.01041722297668457;0.25
johnson8-2-4_adjacent_14_0.25;29;58.62;0.5555555555555556;5;0.011278152465820312;0.25
johnson8-2-4_adjacent_15_0.25;29;58.62;0.5555555555555556;5;0.009783029556274414;0.25
johnson8-2-4_adjacent_16_0.25;29;58.62;0.5555555555555556;5;0.008779048919677734;0.25
johnson8-2-4_adjacent_17_0.25;29;58.62;0.5555555555555556;5;0.0096588134765625;0.25
johnson8-2-4_adjacent_18_0.25;29;58.62;0.5555555555555556;5;0.008726119995117188;0.25
johnson8-2-4_adjacent_19_0.25;29;58.62;0.5555555555555556;5;0.009437799453735352;0.25
johnson8-2-4_adjacent_20_0.25;29;58.62;0.5555555555555556;5;0.008933067321777344;0.25
johnson8-2-4_adjacent_21_0.25;29;58.62;0.5555555555555556;5;0.009855985641479492;0.25
johnson8-2-4_adjacent_22_0.25;29;58.62;0.5555555555555556;5;0.010969877243041992;0.25
johnson8-2-4_adjacent_23_0.25;29;58.62;0.5555555555555556;5;0.010632991790771484;0.25
johnson8-2-4_adjacent_24_0.25;29;58.62;0.5555555555555556;5;0.012573957443237305;0.25
johnson8-2-4_adjacent_25_0.25;29;58.62;0.5555555555555556;5;0.01047968864440918;0.25
johnson8-2-4_adjacent_26_0.25;29;58.62;0.5555555555555556;5;0.009199142456054688;0.25
johnson8-2-4_adjacent_27_0.25;29;58.62;0.5555555555555556;5;0.01171422004699707;0.25
johnson8-2-4_adjacent_28_0.25;29;58.62;0.5555555555555556;5;0.010762214660644531;0.25
johnson8-2-4_adjacent_29_0.25;29;58.62;0.5555555555555556;5;0.010273218154907227;0.25
johnson8-2-4_adjacent_30_0.25;29;58.62;0.5555555555555556;5;0.010426998138427734;0.25
johnson8-2-4_adjacent_31_0.25;29;58.62;0.5555555555555556;5;0.008933067321777344;0.25
johnson8-2-4_adjacent_32_0.25;29;58.62;0.5555555555555556;5;0.008957862854003906;0.25
johnson8-2-4_adjacent_33_0.25;29;58.62;0.5555555555555556;5;0.009722232818603516;0.25
johnson8-2-4_adjacent_34_0.25;29;58.62;0.5555555555555556;5;0.00868082046508789;0.25
johnson8-2-4_adjacent_35_0.25;29;58.62;0.5555555555555556;5;0.008658170700073242;0.25
johnson8-2-4_adjacent_36_0.25;29;58.62;0.5555555555555556;5;0.008708953857421875;0.25
johnson8-2-4_adjacent_37_0.25;29;58.62;0.5555555555555556;5;0.010415792465209961;0.25
johnson8-2-4_adjacent_38_0.25;29;58.62;0.5555555555555556;5;0.009446859359741211;0.25
johnson8-2-4_adjacent_39_0.25;29;58.62;0.5555555555555556;5;0.009924650192260742;0.25
johnson8-2-4_adjacent_40_0.25;29;58.62;0.5555555555555556;5;0.011989116668701172;0.25
johnson8-2-4_adjacent_41_0.25;29;58.62;0.5555555555555556;5;0.010524749755859375;0.25
johnson8-2-4_adjacent_42_0.25;29;58.62;0.5555555555555556;5;0.01179194450378418;0.25
johnson8-2-4_adjacent_43_0.25;29;58.62;0.5555555555555556;5;0.01001882553100586;0.25
johnson8-2-4_adjacent_44_0.25;29;58.62;0.5555555555555556;5;0.012181997299194336;0.25
johnson8-2-4_adjacent_45_0.25;29;58.62;0.5555555555555556;5;0.010219097137451172;0.25
johnson8-2-4_adjacent_46_0.25;29;58.62;0.5555555555555556;5;0.011584997177124023;0.25
johnson8-2-4_adjacent_47_0.25;29;58.62;0.5555555555555556;5;0.0117340087890625;0.25
johnson8-2-4_adjacent_48_0.25;29;58.62;0.5555555555555556;5;0.010509014129638672;0.25
johnson8-2-4_adjacent_49_0.25;29;58.62;0.5555555555555556;5;0.01141810417175293;0.25
johnson8-2-4_adjacent_50_0.25;29;58.62;0.5555555555555556;5;0.009060144424438477;0.25
johnson8-2-4_adjacent_51_0.25;29;58.62;0.5555555555555556;5;0.010186910629272461;0.25
johnson8-2-4_adjacent_52_0.25;29;58.62;0.5555555555555556;5;0.013628005981445312;0.25
johnson8-2-4_adjacent_53_0.25;29;58.62;0.5555555555555556;5;0.014261007308959961;0.25
johnson8-2-4_adjacent_54_0.25;29;58.62;0.5555555555555556;5;0.010740995407104492;0.25
johnson8-2-4_adjacent_55_0.25;29;58.62;0.5555555555555556;5;0.010048151016235352;0.25
johnson8-2-4_adjacent_56_0.25;29;58.62;0.5555555555555556;5;0.00986790657043457;0.25
johnson8-2-4_adjacent_57_0.25;29;58.62;0.5555555555555556;5;0.009741067886352539;0.25
johnson8-2-4_adjacent_58_0.25;29;58.62;0.5555555555555556;5;0.009691715240478516;0.25
johnson8-2-4_adjacent_59_0.25;29;58.62;0.5555555555555556;5;0.010654211044311523;0.25
johnson8-2-4_adjacent_60_0.25;29;58.62;0.5555555555555556;5;0.011044025421142578;0.25
johnson8-2-4_adjacent_61_0.25;29;58.62;0.5555555555555556;5;0.01018381118774414;0.25
johnson8-2-4_adjacent_62_0.25;29;58.62;0.5555555555555556;5;0.011658906936645508;0.25
johnson8-2-4_adjacent_63_0.25;29;58.62;0.5555555555555556;5;0.01083683967590332;0.25
johnson8-2-4_adjacent_64_0.25;29;58.62;0.5555555555555556;5;0.01052999496459961;0.25
johnson8-2-4_adjacent_65_0.25;29;58.62;0.5555555555555556;5;0.010394811630249023;0.25
johnson8-2-4_adjacent_66_0.25;29;58.62;0.5555555555555556;5;0.009764671325683594;0.25
johnson8-2-4_adjacent_67_0.25;29;58.62;0.5555555555555556;5;0.01120615005493164;0.25
johnson8-2-4_adjacent_68_0.25;29;58.62;0.5555555555555556;5;0.010546207427978516;0.25
johnson8-2-4_adjacent_69_0.25;29;58.62;0.5555555555555556;5;0.00931096076965332;0.25
johnson8-2-4_adjacent_70_0.25;29;58.62;0.5555555555555556;5;0.009510040283203125;0.25
johnson8-2-4_adjacent_71_0.25;29;58.62;0.5555555555555556;5;0.009636640548706055;0.25
johnson8-2-4_adjacent_72_0.25;29;58.62;0.5555555555555556;5;0.009111166000366211;0.25
johnson8-2-4_adjacent_73_0.25;29;58.62;0.5555555555555556;5;0.009876012802124023;0.25
johnson8-2-4_adjacent_74_0.25;29;58.62;0.5555555555555556;5;0.00920414924621582;0.25
johnson8-2-4_adjacent_75_0.25;29;58.62;0.5555555555555556;5;0.009680986404418945;0.25
johnson8-2-4_adjacent_76_0.25;29;58.62;0.5555555555555556;5;0.008992195129394531;0.25
johnson8-2-4_adjacent_77_0.25;29;58.62;0.5555555555555556;5;0.009713172912597656;0.25
johnson8-2-4_adjacent_78_0.25;29;58.62;0.5555555555555556;5;0.010075807571411133;0.25
johnson8-2-4_adjacent_79_0.25;29;58.62;0.5555555555555556;5;0.009540796279907227;0.25
johnson8-2-4_adjacent_80_0.25;29;58.62;0.5555555555555556;5;0.012130022048950195;0.25
johnson8-2-4_adjacent_81_0.25;29;58.62;0.5555555555555556;5;0.011870145797729492;0.25
johnson8-2-4_adjacent_82_0.25;29;58.62;0.5555555555555556;5;0.00974416732788086;0.25
johnson8-2-4_adjacent_83_0.25;29;58.62;0.5555555555555556;5;0.011059999465942383;0.25
johnson8-2-4_adjacent_84_0.25;29;58.62;0.5555555555555556;5;0.010449886322021484;0.25
johnson8-2-4_adjacent_85_0.25;29;58.62;0.5555555555555556;5;0.009634017944335938;0.25
johnson8-2-4_adjacent_86_0.25;29;58.62;0.5555555555555556;5;0.012006044387817383;0.25
johnson8-2-4_adjacent_87_0.25;29;58.62;0.5555555555555556;5;0.012971878051757812;0.25
johnson8-2-4_adjacent_88_0.25;29;58.62;0.5555555555555556;5;0.009511947631835938;0.25
johnson8-2-4_adjacent_89_0.25;29;58.62;0.5555555555555556;5;0.009029150009155273;0.25
johnson8-2-4_adjacent_90_0.25;29;58.62;0.5555555555555556;5;0.010130882263183594;0.25
johnson8-2-4_adjacent_91_0.25;29;58.62;0.5555555555555556;5;0.009881734848022461;0.25
johnson8-2-4_adjacent_92_0.25;29;58.62;0.5555555555555556;5;0.009192943572998047;0.25
johnson8-2-4_adjacent_93_0.25;29;58.62;0.5555555555555556;5;0.010113000869750977;0.25
johnson8-2-4_adjacent_94_0.25;29;58.62;0.5555555555555556;5;0.010018110275268555;0.25
johnson8-2-4_adjacent_95_0.25;29;58.62;0.5555555555555556;5;0.009339094161987305;0.25
johnson8-2-4_adjacent_96_0.25;29;58.62;0.5555555555555556;5;0.00918889045715332;0.25
johnson8-2-4_adjacent_97_0.25;29;58.62;0.5555555555555556;5;0.009378671646118164;0.25
johnson8-2-4_adjacent_98_0.25;29;58.62;0.5555555555555556;5;0.01296377182006836;0.25
johnson8-2-4_adjacent_99_0.25;29;58.62;0.5555555555555556;5;0.010081052780151367;0.25
johnson8-2-4_adjacent_100_0.25;29;58.62;0.5555555555555556;5;0.011931180953979492;0.25
johnson8-2-4_adjacent_1_0.5;29;58.62;0.5555555555555556;5;0.012088775634765625;0.5
johnson8-2-4_adjacent_2_0.5;29;58.62;0.5555555555555556;5;0.011921167373657227;0.5
johnson8-2-4_adjacent_3_0.5;29;58.62;0.5555555555555556;5;0.010573863983154297;0.5
johnson8-2-4_adjacent_4_0.5;29;58.62;0.5555555555555556;5;0.0135040283203125;0.5
johnson8-2-4_adjacent_5_0.5;29;58.62;0.5555555555555556;5;0.011886119842529297;0.5
johnson8-2-4_adjacent_6_0.5;29;58.62;0.5555555555555556;5;0.011829137802124023;0.5
johnson8-2-4_adjacent_7_0.5;29;58.62;0.5555555555555556;5;0.00969386100769043;0.5
johnson8-2-4_adjacent_8_0.5;29;58.62;0.5555555555555556;5;0.009344100952148438;0.5
johnson8-2-4_adjacent_9_0.5;29;58.62;0.5555555555555556;5;0.009039878845214844;0.5
johnson8-2-4_adjacent_10_0.5;29;58.62;0.5555555555555556;5;0.01050114631652832;0.5
johnson8-2-4_adjacent_11_0.5;29;58.62;0.5555555555555556;5;0.008852005004882812;0.5
johnson8-2-4_adjacent_12_0.5;29;58.62;0.5555555555555556;5;0.009260892868041992;0.5
johnson8-2-4_adjacent_13_0.5;29;58.62;0.5555555555555556;5;0.009302854537963867;0.5
johnson8-2-4_adjacent_14_0.5;29;58.62;0.5555555555555556;5;0.009107828140258789;0.5
johnson8-2-4_adjacent_15_0.5;29;58.62;0.5555555555555556;5;0.009378671646118164;0.5
johnson8-2-4_adjacent_16_0.5;29;58.62;0.5555555555555556;5;0.008699893951416016;0.5
johnson8-2-4_adjacent_17_0.5;29;58.62;0.5555555555555556;5;0.008925199508666992;0.5
johnson8-2-4_adjacent_18_0.5;29;58.62;0.5555555555555556;5;0.010759353637695312;0.5
johnson8-2-4_adjacent_19_0.5;29;58.62;0.5555555555555556;5;0.010193109512329102;0.5
