;|V|;D(%);ƒ;c;t(sec);α
karate_adjacent_1_0.25;35;18.82;0.5454545454545454;6;0.024788856506347656;0.25
karate_adjacent_2_0.25;35;18.82;0.5454545454545454;6;0.029979944229125977;0.25
karate_adjacent_3_0.25;35;18.82;0.5454545454545454;6;0.03368687629699707;0.25
karate_adjacent_4_0.25;35;18.82;0.5454545454545454;6;0.012169837951660156;0.25
karate_adjacent_5_0.25;35;18.82;0.5454545454545454;6;0.011986970901489258;0.25
karate_adjacent_6_0.25;35;18.82;0.5454545454545454;6;0.01193690299987793;0.25
karate_adjacent_7_0.25;35;18.82;0.5454545454545454;6;0.012021064758300781;0.25
karate_adjacent_8_0.25;35;18.82;0.5454545454545454;6;0.012929201126098633;0.25
karate_adjacent_9_0.25;35;18.82;0.5454545454545454;6;0.016104936599731445;0.25
karate_adjacent_10_0.25;35;18.82;0.5454545454545454;6;0.013465166091918945;0.25
karate_adjacent_11_0.25;35;18.82;0.5454545454545454;6;0.013532876968383789;0.25
karate_adjacent_12_0.25;35;18.82;0.5454545454545454;6;0.01405477523803711;0.25
karate_adjacent_13_0.25;35;18.82;0.5454545454545454;6;0.013048887252807617;0.25
karate_adjacent_14_0.25;35;18.82;0.5454545454545454;6;0.016063928604125977;0.25
karate_adjacent_15_0.25;35;18.82;0.5454545454545454;6;0.01583099365234375;0.25
karate_adjacent_16_0.25;35;18.82;0.5454545454545454;6;0.013888835906982422;0.25
karate_adjacent_17_0.25;35;18.82;0.5454545454545454;6;0.013717174530029297;0.25
karate_adjacent_18_0.25;35;18.82;0.5454545454545454;6;0.014027118682861328;0.25
karate_adjacent_19_0.25;35;18.82;0.5454545454545454;6;0.01156306266784668;0.25
karate_adjacent_20_0.25;35;18.82;0.5454545454545454;6;0.015106201171875;0.25
karate_adjacent_21_0.25;35;18.82;0.5454545454545454;6;0.014563798904418945;0.25
karate_adjacent_22_0.25;35;18.82;0.5454545454545454;6;0.012781143188476562;0.25
karate_adjacent_23_0.25;35;18.82;0.5454545454545454;6;0.018119096755981445;0.25
karate_adjacent_24_0.25;35;18.82;0.5454545454545454;6;0.016487836837768555;0.25
karate_adjacent_25_0.25;35;18.82;0.5454545454545454;6;0.014385223388671875;0.25
karate_adjacent_26_0.25;35;18.82;0.5454545454545454;6;0.02104496955871582;0.25
karate_adjacent_27_0.25;35;18.82;0.5454545454545454;6;0.02103400230407715;0.25
karate_adjacent_28_0.25;35;18.82;0.5454545454545454;6;0.013055086135864258;0.25
karate_adjacent_29_0.25;35;18.82;0.5454545454545454;6;0.013598918914794922;0.25
karate_adjacent_30_0.25;35;18.82;0.5454545454545454;6;0.0122833251953125;0.25
karate_adjacent_31_0.25;35;18.82;0.5454545454545454;6;0.012157917022705078;0.25
karate_adjacent_32_0.25;35;18.82;0.5454545454545454;6;0.011622905731201172;0.25
karate_adjacent_33_0.25;35;18.82;0.5454545454545454;6;0.011996746063232422;0.25
karate_adjacent_34_0.25;35;18.82;0.5454545454545454;6;0.011976003646850586;0.25
karate_adjacent_35_0.25;35;18.82;0.5454545454545454;6;0.01148080825805664;0.25
karate_adjacent_36_0.25;35;18.82;0.5454545454545454;6;0.011897802352905273;0.25
karate_adjacent_37_0.25;35;18.82;0.5454545454545454;6;0.012813806533813477;0.25
karate_adjacent_38_0.25;35;18.82;0.5454545454545454;6;0.012559890747070312;0.25
