;|V|;D(%);ƒ;c;t(sec);α
p_hat500-1_adjacent_1_0.25;501;25.6;1.497797356828194;3;0.004458904266357422;0.25
p_hat500-1_adjacent_2_0.25;501;25.6;0.48795406316315065;15;0.38053393363952637;0.25
p_hat500-1_adjacent_3_0.25;501;25.6;0.5475887787100602;17;0.7423369884490967;0.25
p_hat500-1_adjacent_4_0.25;501;25.6;1.188824662813102;2;0.0034580230712890625;0.25
p_hat500-1_adjacent_5_0.25;501;25.6;0.4204576043068641;12;0.24509692192077637;0.25
p_hat500-1_adjacent_6_0.25;501;25.6;0.39573030997467135;12;0.24142217636108398;0.25
p_hat500-1_adjacent_7_0.25;501;25.6;2.0836165873555403;4;0.007383823394775391;0.25
p_hat500-1_adjacent_8_0.25;501;25.6;0.6238994556085758;24;1.1034507751464844;0.25
p_hat500-1_adjacent_9_0.25;501;25.6;2.9172413793103447;2;0.0026519298553466797;0.25
p_hat500-1_adjacent_10_0.25;501;25.6;0.5063808065339459;14;0.37459826469421387;0.25
p_hat500-1_adjacent_11_0.25;501;25.6;4.004405286343612;2;0.002705812454223633;0.25
p_hat500-1_adjacent_12_0.25;501;25.6;1.6729411764705882;2;0.002618074417114258;0.25
p_hat500-1_adjacent_13_0.25;501;25.6;0.8187650360866079;4;0.014219999313354492;0.25
p_hat500-1_adjacent_14_0.25;501;25.6;0.675343667739105;11;0.06904220581054688;0.25
p_hat500-1_adjacent_15_0.25;501;25.6;1.4642082429501084;2;0.004374027252197266;0.25
p_hat500-1_adjacent_16_0.25;501;25.6;2.824620573355818;2;0.002710103988647461;0.25
p_hat500-1_adjacent_17_0.25;501;25.6;0.6985763377515954;7;0.020797252655029297;0.25
p_hat500-1_adjacent_18_0.25;501;25.6;3.7333333333333334;2;0.002650022506713867;0.25
p_hat500-1_adjacent_19_0.25;501;25.6;0.4270983707981027;14;0.3975188732147217;0.25
p_hat500-1_adjacent_20_0.25;501;25.6;1.1762452107279693;2;0.0029191970825195312;0.25
p_hat500-1_adjacent_21_0.25;501;25.6;0.5518998658918194;18;0.9556128978729248;0.25
p_hat500-1_adjacent_22_0.25;501;25.6;15.0;2;0.0027790069580078125;0.25
p_hat500-1_adjacent_23_0.25;501;25.6;1.0213523131672597;2;0.0026628971099853516;0.25
p_hat500-1_adjacent_24_0.25;501;25.6;1.8979591836734695;2;0.0027070045471191406;0.25
p_hat500-1_adjacent_25_0.25;501;25.6;0.45612582781456956;12;0.31722426414489746;0.25
p_hat500-1_adjacent_26_0.25;501;25.6;2.7740863787375414;2;0.0026979446411132812;0.25
p_hat500-1_adjacent_27_0.25;501;25.6;2.664516129032258;2;0.002768278121948242;0.25
p_hat500-1_adjacent_28_0.25;501;25.6;0.5904102650683775;22;0.7375390529632568;0.25
p_hat500-1_adjacent_29_0.25;501;25.6;2.992957746478873;3;0.0067310333251953125;0.25
p_hat500-1_adjacent_30_0.25;501;25.6;0.9620034542314335;2;0.0037631988525390625;0.25
p_hat500-1_adjacent_31_0.25;501;25.6;0.8501628664495114;2;0.00739598274230957;0.25
p_hat500-1_adjacent_32_0.25;501;25.6;1.6635349383440987;4;0.010015010833740234;0.25
p_hat500-1_adjacent_33_0.25;501;25.6;1.056554502723271;27;1.7079689502716064;0.25
p_hat500-1_adjacent_34_0.25;501;25.6;0.5247557003257329;21;0.7739613056182861;0.25
p_hat500-1_adjacent_35_0.25;501;25.6;0.39957635278259196;20;0.8013880252838135;0.25
p_hat500-1_adjacent_36_0.25;501;25.6;0.6122020501420279;16;0.6671171188354492;0.25
p_hat500-1_adjacent_37_0.25;501;25.6;0.4355659469123917;11;0.17355608940124512;0.25
p_hat500-1_adjacent_38_0.25;501;25.6;0.8807909604519774;23;1.2333331108093262;0.25
p_hat500-1_adjacent_39_0.25;501;25.6;13.2;2;0.0025908946990966797;0.25
p_hat500-1_adjacent_40_0.25;501;25.6;0.4604554145663132;11;0.3022799491882324;0.25
p_hat500-1_adjacent_41_0.25;501;25.6;1.0177619893428065;2;0.002783060073852539;0.25
p_hat500-1_adjacent_42_0.25;501;25.6;0.5076260541898439;11;0.27808475494384766;0.25
p_hat500-1_adjacent_43_0.25;501;25.6;0.36056770233985425;17;0.8097319602966309;0.25
p_hat500-1_adjacent_44_0.25;501;25.6;0.2967032967032967;2;0.07921481132507324;0.25
p_hat500-1_adjacent_45_0.25;501;25.6;0.6675783386731265;26;1.071770191192627;0.25
p_hat500-1_adjacent_46_0.25;501;25.6;2.0869565217391304;2;0.0026617050170898438;0.25
p_hat500-1_adjacent_47_0.25;501;25.6;0.4198927933293627;15;0.4069199562072754;0.25
p_hat500-1_adjacent_48_0.25;501;25.6;5.941896024464832;3;0.005231142044067383;0.25
p_hat500-1_adjacent_49_0.25;501;25.6;0.5992726446187067;16;0.4191868305206299;0.25
