;|V|;D(%);ƒ;c;t(sec);α
c-fat500-1_adjacent_1_0.25;500;3.57;0.5;1;0.00019812583923339844;0.25
c-fat500-1_adjacent_2_0.25;500;3.57;0.5;1;0.00021314620971679688;0.25
c-fat500-1_adjacent_3_0.25;500;3.57;0.5;1;0.00013780593872070312;0.25
c-fat500-1_adjacent_4_0.25;500;3.57;0.5;1;0.00013327598571777344;0.25
c-fat500-1_adjacent_5_0.25;500;3.57;1.1471518987341771;15;2.5282840728759766;0.25
c-fat500-1_adjacent_6_0.25;500;3.57;1.191449814126394;12;1.1651718616485596;0.25
c-fat500-1_adjacent_7_0.25;500;3.57;0.504;2;0.0527338981628418;0.25
c-fat500-1_adjacent_8_0.25;500;3.57;1.334593572778828;12;1.9888780117034912;0.25
c-fat500-1_adjacent_9_0.25;500;3.57;0.5;1;0.00016307830810546875;0.25
c-fat500-1_adjacent_10_0.25;500;3.57;0.5;1;0.00020122528076171875;0.25
c-fat500-1_adjacent_11_0.25;500;3.57;1.011866235167206;19;2.599452018737793;0.25
c-fat500-1_adjacent_12_0.25;500;3.57;1.0562310030395137;13;3.6330018043518066;0.25
c-fat500-1_adjacent_13_0.25;500;3.57;0.9060710194730813;16;3.3597569465637207;0.25
c-fat500-1_adjacent_14_0.25;500;3.57;0.5;1;0.0001659393310546875;0.25
c-fat500-1_adjacent_15_0.25;500;3.57;0.5;1;0.00014519691467285156;0.25
c-fat500-1_adjacent_16_0.25;500;3.57;0.5;1;0.00014162063598632812;0.25
c-fat500-1_adjacent_17_0.25;500;3.57;1.8197802197802198;15;4.170902729034424;0.25
c-fat500-1_adjacent_18_0.25;500;3.57;0.5;1;0.0001430511474609375;0.25
c-fat500-1_adjacent_19_0.25;500;3.57;0.5;1;0.000125885009765625;0.25
c-fat500-1_adjacent_20_0.25;500;3.57;1.951219512195122;3;0.07680988311767578;0.25
c-fat500-1_adjacent_21_0.25;500;3.57;1.4633123689727463;12;2.67264723777771;0.25
c-fat500-1_adjacent_22_0.25;500;3.57;1.650943396226415;3;0.06403779983520508;0.25
c-fat500-1_adjacent_23_0.25;500;3.57;1.898876404494382;3;0.0735170841217041;0.25
c-fat500-1_adjacent_24_0.25;500;3.57;0.5;1;0.00017118453979492188;0.25
c-fat500-1_adjacent_25_0.25;500;3.57;0.9739978331527628;19;5.319304943084717;0.25
c-fat500-1_adjacent_26_0.25;500;3.57;1.4150197628458498;13;2.2583208084106445;0.25
c-fat500-1_adjacent_27_0.25;500;3.57;0.5;1;0.00016307830810546875;0.25
c-fat500-1_adjacent_28_0.25;500;3.57;0.5;1;0.00019979476928710938;0.25
c-fat500-1_adjacent_29_0.25;500;3.57;0.9502212389380531;18;5.20895791053772;0.25
c-fat500-1_adjacent_30_0.25;500;3.57;1.4276377217553688;24;14.323951244354248;0.25
c-fat500-1_adjacent_31_0.25;500;3.57;1.0373665480427046;10;2.7795591354370117;0.25
c-fat500-1_adjacent_32_0.25;500;3.57;0.5;1;0.00017595291137695312;0.25
c-fat500-1_adjacent_33_0.25;500;3.57;0.5;1;0.00020122528076171875;0.25
c-fat500-1_adjacent_34_0.25;500;3.57;0.5;1;0.000125885009765625;0.25
c-fat500-1_adjacent_35_0.25;500;3.57;1.3758741258741258;15;3.8810439109802246;0.25
c-fat500-1_adjacent_36_0.25;500;3.57;0.5;1;0.0001609325408935547;0.25
c-fat500-1_adjacent_37_0.25;500;3.57;1.8571428571428572;3;0.26769495010375977;0.25
c-fat500-1_adjacent_38_0.25;500;3.57;0.5;1;0.00020694732666015625;0.25
c-fat500-1_adjacent_39_0.25;500;3.57;0.5;1;0.00015115737915039062;0.25
c-fat500-1_adjacent_40_0.25;500;3.57;0.5;1;0.00013327598571777344;0.25
c-fat500-1_adjacent_41_0.25;500;3.57;0.5;1;0.00033402442932128906;0.25
c-fat500-1_adjacent_42_0.25;500;3.57;0.5;1;0.00030112266540527344;0.25
c-fat500-1_adjacent_43_0.25;500;3.57;0.5;1;0.0001373291015625;0.25
c-fat500-1_adjacent_44_0.25;500;3.57;0.5;1;0.00012493133544921875;0.25
c-fat500-1_adjacent_45_0.25;500;3.57;0.5;1;0.0001232624053955078;0.25
c-fat500-1_adjacent_46_0.25;500;3.57;0.5;1;0.00012302398681640625;0.25
c-fat500-1_adjacent_47_0.25;500;3.57;1.1666666666666667;16;2.4188649654388428;0.25
c-fat500-1_adjacent_48_0.25;500;3.57;0.5;1;0.0001881122589111328;0.25
c-fat500-1_adjacent_49_0.25;500;3.57;2.364611260053619;15;3.5508692264556885;0.25
c-fat500-1_adjacent_50_0.25;500;3.57;1.0;1;0.0003330707550048828;0.25
c-fat500-1_adjacent_51_0.25;500;3.57;1.872093023255814;16;3.958827018737793;0.25
c-fat500-1_adjacent_52_0.25;500;3.57;1.360655737704918;22;9.833222150802612;0.25
c-fat500-1_adjacent_53_0.25;500;3.57;0.5;1;0.00023794174194335938;0.25
c-fat500-1_adjacent_54_0.25;500;3.57;0.5;1;0.00016117095947265625;0.25
c-fat500-1_adjacent_55_0.25;500;3.57;2.22972972972973;3;0.07209110260009766;0.25
c-fat500-1_adjacent_56_0.25;500;3.57;0.5;1;0.00017118453979492188;0.25
c-fat500-1_adjacent_57_0.25;500;3.57;0.5;1;0.00014591217041015625;0.25
c-fat500-1_adjacent_58_0.25;500;3.57;1.123015873015873;13;0.12371206283569336;0.25
c-fat500-1_adjacent_59_0.25;500;3.57;0.5;1;0.0002472400665283203;0.25
c-fat500-1_adjacent_60_0.25;500;3.57;0.5;1;0.00015974044799804688;0.25
c-fat500-1_adjacent_61_0.25;500;3.57;1.0666666666666667;4;0.1361398696899414;0.25
c-fat500-1_adjacent_62_0.25;500;3.57;0.5;1;0.00019621849060058594;0.25
c-fat500-1_adjacent_63_0.25;500;3.57;1.4885883347421809;28;23.97677779197693;0.25
c-fat500-1_adjacent_64_0.25;500;3.57;0.5;1;0.0005629062652587891;0.25
c-fat500-1_adjacent_65_0.25;500;3.57;0.5;1;0.0004611015319824219;0.25
c-fat500-1_adjacent_66_0.25;500;3.57;1.4157706093189963;12;2.8168208599090576;0.25
c-fat500-1_adjacent_67_0.25;500;3.57;0.5;1;0.0004229545593261719;0.25
c-fat500-1_adjacent_68_0.25;500;3.57;1.3218923933209648;24;7.742753028869629;0.25
c-fat500-1_adjacent_69_0.25;500;3.57;1.5243055555555556;19;1.970789909362793;0.25
c-fat500-1_adjacent_70_0.25;500;3.57;1.6095100864553313;19;3.759722948074341;0.25
c-fat500-1_adjacent_71_0.25;500;3.57;0.5;1;0.00019669532775878906;0.25
c-fat500-1_adjacent_72_0.25;500;3.57;0.5;1;0.00014901161193847656;0.25
c-fat500-1_adjacent_73_0.25;500;3.57;1.6044071353620146;23;9.159817934036255;0.25
c-fat500-1_adjacent_74_0.25;500;3.57;1.163265306122449;2;0.0519869327545166;0.25
c-fat500-1_adjacent_75_0.25;500;3.57;0.5;1;0.00018215179443359375;0.25
c-fat500-1_adjacent_76_0.25;500;3.57;0.5;1;0.00015115737915039062;0.25
c-fat500-1_adjacent_77_0.25;500;3.57;0.5;1;0.0001888275146484375;0.25
c-fat500-1_adjacent_78_0.25;500;3.57;0.5;1;0.00013399124145507812;0.25
c-fat500-1_adjacent_79_0.25;500;3.57;0.6666666666666666;2;0.0003390312194824219;0.25
c-fat500-1_adjacent_80_0.25;500;3.57;0.5;1;0.000125885009765625;0.25
c-fat500-1_adjacent_81_0.25;500;3.57;0.5;1;0.00012421607971191406;0.25
c-fat500-1_adjacent_82_0.25;500;3.57;0.5;1;0.0001239776611328125;0.25
c-fat500-1_adjacent_83_0.25;500;3.57;0.5;1;0.0001220703125;0.25
c-fat500-1_adjacent_84_0.25;500;3.57;0.8813559322033898;1;0.0001800060272216797;0.25
c-fat500-1_adjacent_85_0.25;500;3.57;0.5;1;0.00012183189392089844;0.25
c-fat500-1_adjacent_86_0.25;500;3.57;1.3536121673003803;28;10.977626085281372;0.25
c-fat500-1_adjacent_87_0.25;500;3.57;0.5;1;0.0001709461212158203;0.25
c-fat500-1_adjacent_88_0.25;500;3.57;0.5;1;0.0001480579376220703;0.25
c-fat500-1_adjacent_89_0.25;500;3.57;1.8089887640449438;3;0.0670928955078125;0.25
c-fat500-1_adjacent_90_0.25;500;3.57;0.5;1;0.00017690658569335938;0.25
c-fat500-1_adjacent_91_0.25;500;3.57;0.5;1;0.00015115737915039062;0.25
c-fat500-1_adjacent_92_0.25;500;3.57;1.5161290322580645;17;2.2377378940582275;0.25
c-fat500-1_adjacent_93_0.25;500;3.57;0.5;1;0.0001728534698486328;0.25
c-fat500-1_adjacent_94_0.25;500;3.57;0.5;1;0.00014495849609375;0.25
c-fat500-1_adjacent_95_0.25;500;3.57;1.4124203821656052;15;4.228068828582764;0.25
c-fat500-1_adjacent_96_0.25;500;3.57;8.6;1;0.00016999244689941406;0.25
c-fat500-1_adjacent_97_0.25;500;3.57;1.0695538057742782;16;1.6875331401824951;0.25
c-fat500-1_adjacent_98_0.25;500;3.57;0.5;1;0.0001437664031982422;0.25
c-fat500-1_adjacent_99_0.25;500;3.57;0.5;1;0.000125885009765625;0.25
c-fat500-1_adjacent_100_0.25;500;3.57;0.5;1;0.0001227855682373047;0.25
c-fat500-1_adjacent_1_0.5;500;3.57;0.5;1;0.0001819133758544922;0.5
