;|V|;D(%);ƒ;c;t(sec);α
email_adjacent_1_0.25;1133;0.85;1.711297071129707;4;0.0010759830474853516;0.25
email_adjacent_2_0.25;1133;0.85;0.017953321364452424;6;0.0029020309448242188;0.25
email_adjacent_3_0.25;1133;0.85;0.9877300613496932;2;0.000308990478515625;0.25
email_adjacent_4_0.25;1133;0.85;1.206225680933852;7;0.0016431808471679688;0.25
email_adjacent_5_0.25;1133;0.85;0.36503159795365636;4;0.0007228851318359375;0.25
email_adjacent_6_0.25;1133;0.85;8.06690960179128;185;876.4146749973297;0.25
email_adjacent_7_0.25;1133;0.85;2.7863105175292153;2;0.0002512931823730469;0.25
email_adjacent_8_0.25;1133;0.85;1.21484375;2;0.00023794174194335938;0.25
email_adjacent_9_0.25;1133;0.85;0.9844448765312075;9;0.002936124801635742;0.25
email_adjacent_10_0.25;1133;0.85;3.4857594936708862;5;0.0012249946594238281;0.25
email_adjacent_11_0.25;1133;0.85;2.0524899057873487;2;0.00031495094299316406;0.25
email_adjacent_12_0.25;1133;0.85;0.8138195777351248;15;0.01251220703125;0.25
email_adjacent_13_0.25;1133;0.85;1.8017294626312539;4;0.0007548332214355469;0.25
email_adjacent_14_0.25;1133;0.85;0.3439004518183838;16;0.016390085220336914;0.25
email_adjacent_15_0.25;1133;0.85;6.269230769230769;5;0.001085042953491211;0.25
email_adjacent_16_0.25;1133;0.85;0.4805858310626703;23;0.0157010555267334;0.25
email_adjacent_17_0.25;1133;0.85;0.8818453368735479;10;0.008625030517578125;0.25
email_adjacent_18_0.25;1133;0.85;0.46134020618556704;3;0.0005948543548583984;0.25
email_adjacent_19_0.25;1133;0.85;1.6790415119811002;7;0.0026459693908691406;0.25
email_adjacent_20_0.25;1133;0.85;0.3032984714400644;10;0.004495143890380859;0.25
email_adjacent_21_0.25;1133;0.85;0.4876565295169946;11;0.007403850555419922;0.25
email_adjacent_22_0.25;1133;0.85;2.2376873661670236;4;0.0007719993591308594;0.25
email_adjacent_23_0.25;1133;0.85;1.3352553542009884;5;0.0009369850158691406;0.25
email_adjacent_24_0.25;1133;0.85;1.1488372093023256;11;0.003701925277709961;0.25
email_adjacent_25_0.25;1133;0.85;10.227722772277227;3;0.0003628730773925781;0.25
email_adjacent_26_0.25;1133;0.85;1.6083956296722255;4;0.0006220340728759766;0.25
email_adjacent_27_0.25;1133;0.85;0.5340909090909091;5;0.000993967056274414;0.25
email_adjacent_28_0.25;1133;0.85;0.5237839290513303;15;0.010309934616088867;0.25
email_adjacent_29_0.25;1133;0.85;0.8743801652892562;3;0.0003521442413330078;0.25
email_adjacent_30_0.25;1133;0.85;0.12388503468780972;3;0.0006709098815917969;0.25
email_adjacent_31_0.25;1133;0.85;0.586013986013986;3;0.00043964385986328125;0.25
email_adjacent_32_0.25;1133;0.85;1.870886075949367;3;0.0010790824890136719;0.25
email_adjacent_33_0.25;1133;0.85;0.053789184702802785;30;0.027376174926757812;0.25
email_adjacent_34_0.25;1133;0.85;1.9264516129032259;2;0.0003383159637451172;0.25
email_adjacent_35_0.25;1133;0.85;11.789473684210526;3;0.0006780624389648438;0.25
email_adjacent_36_0.25;1133;0.85;0.27750657153586183;3;0.0005550384521484375;0.25
email_adjacent_37_0.25;1133;0.85;0.2607003891050584;2;0.0002582073211669922;0.25
email_adjacent_38_0.25;1133;0.85;0.6688741721854304;2;0.0002231597900390625;0.25
email_adjacent_39_0.25;1133;0.85;3.4210526315789473;2;0.00028228759765625;0.25
email_adjacent_40_0.25;1133;0.85;0.4095711622125544;4;0.0005738735198974609;0.25
email_adjacent_41_0.25;1133;0.85;0.48840600845850957;9;0.004736185073852539;0.25
email_adjacent_42_0.25;1133;0.85;0.8007145692735212;4;0.0006930828094482422;0.25
email_adjacent_43_0.25;1133;0.85;1.0580762250453721;3;0.0004699230194091797;0.25
email_adjacent_44_0.25;1133;0.85;0.5;13;0.0064849853515625;0.25
email_adjacent_45_0.25;1133;0.85;1.495049504950495;2;0.00030517578125;0.25
email_adjacent_46_0.25;1133;0.85;0.5789473684210527;5;0.0010180473327636719;0.25
email_adjacent_47_0.25;1133;0.85;0.29120409906063194;8;0.002851247787475586;0.25
email_adjacent_48_0.25;1133;0.85;0.9451114922813036;5;0.0011851787567138672;0.25
