;|V|;D(%);ƒ;c;t(sec);α
email_adjacent_1_0.25;1133;0.85;4.219792865362486;4;0.0014410018920898438;0.25
email_adjacent_2_0.25;1133;0.85;1.6745283018867925;4;0.0016639232635498047;0.25
email_adjacent_3_0.25;1133;0.85;0.19350473612990526;7;0.009026050567626953;0.25
email_adjacent_4_0.25;1133;0.85;0.23844193665817257;6;0.011249780654907227;0.25
email_adjacent_5_0.25;1133;0.85;0.2243575901533146;5;0.004839897155761719;0.25
email_adjacent_6_0.25;1133;0.85;0.3863080684596577;4;0.004436969757080078;0.25
email_adjacent_7_0.25;1133;0.85;1.4532179556517035;12;0.015619754791259766;0.25
email_adjacent_8_0.25;1133;0.85;1.4107142857142858;5;0.007387876510620117;0.25
email_adjacent_9_0.25;1133;0.85;0.5172018348623854;7;0.00987100601196289;0.25
email_adjacent_10_0.25;1133;0.85;1.4107142857142858;5;0.004703998565673828;0.25
email_adjacent_11_0.25;1133;0.85;3.0451843043995246;6;0.010249137878417969;0.25
email_adjacent_12_0.25;1133;0.85;0.32123834886817576;7;0.0067632198333740234;0.25
email_adjacent_13_0.25;1133;0.85;3.3615384615384616;3;0.006785869598388672;0.25
email_adjacent_14_0.25;1133;0.85;0.7897727272727273;5;0.010902166366577148;0.25
email_adjacent_15_0.25;1133;0.85;1.4532179556517035;12;0.04947018623352051;0.25
email_adjacent_16_0.25;1133;0.85;3.0451843043995246;6;0.0024619102478027344;0.25
email_adjacent_17_0.25;1133;0.85;0.19350473612990526;7;0.006207942962646484;0.25
email_adjacent_18_0.25;1133;0.85;0.15832482124616956;4;0.003242015838623047;0.25
email_adjacent_19_0.25;1133;0.85;5.776892430278885;3;0.0030841827392578125;0.25
email_adjacent_20_0.25;1133;0.85;0.10378391531816522;8;0.013581037521362305;0.25
email_adjacent_21_0.25;1133;0.85;0.7095477386934673;3;0.0008251667022705078;0.25
email_adjacent_22_0.25;1133;0.85;2.5217391304347827;2;0.0005328655242919922;0.25
email_adjacent_23_0.25;1133;0.85;0.2824427480916031;4;0.0011639595031738281;0.25
email_adjacent_24_0.25;1133;0.85;2.0053003533568905;3;0.003564119338989258;0.25
email_adjacent_25_0.25;1133;0.85;2.0815217391304346;4;0.0018019676208496094;0.25
email_adjacent_26_0.25;1133;0.85;0.4358974358974359;4;0.008443832397460938;0.25
email_adjacent_27_0.25;1133;0.85;3.9846153846153847;2;0.0005369186401367188;0.25
email_adjacent_28_0.25;1133;0.85;1.3076923076923077;5;0.002241849899291992;0.25
email_adjacent_29_0.25;1133;0.85;15.016949152542374;5;0.018455028533935547;0.25
email_adjacent_30_0.25;1133;0.85;0.7095477386934673;3;0.0006778240203857422;0.25
email_adjacent_31_0.25;1133;0.85;15.016949152542374;5;0.005042076110839844;0.25
email_adjacent_32_0.25;1133;0.85;4.451923076923077;4;0.012655019760131836;0.25
email_adjacent_33_0.25;1133;0.85;8.325657894736842;5;0.006179094314575195;0.25
email_adjacent_34_0.25;1133;0.85;1.4532179556517035;12;0.016540050506591797;0.25
email_adjacent_35_0.25;1133;0.85;0.23844193665817257;6;0.004393100738525391;0.25
email_adjacent_36_0.25;1133;0.85;0.43580653329956953;5;0.004246950149536133;0.25
email_adjacent_37_0.25;1133;0.85;1.4532179556517035;12;0.010577917098999023;0.25
email_adjacent_38_0.25;1133;0.85;7.876712328767123;4;0.004931926727294922;0.25
email_adjacent_39_0.25;1133;0.85;0.22647631408176508;5;0.014159917831420898;0.25
email_adjacent_40_0.25;1133;0.85;0.005675771550195104;5;0.009119987487792969;0.25
email_adjacent_41_0.25;1133;0.85;0.2852285606346808;6;0.00910806655883789;0.25
email_adjacent_42_0.25;1133;0.85;0.5241935483870968;5;0.004842996597290039;0.25
email_adjacent_43_0.25;1133;0.85;0.5172018348623854;7;0.007391929626464844;0.25
email_adjacent_44_0.25;1133;0.85;1.4532179556517035;12;0.008064031600952148;0.25
email_adjacent_45_0.25;1133;0.85;1.0192307692307692;5;0.015675067901611328;0.25
email_adjacent_46_0.25;1133;0.85;3.192236598890943;4;0.002277851104736328;0.25
email_adjacent_47_0.25;1133;0.85;0.20382165605095542;3;0.00835418701171875;0.25
email_adjacent_48_0.25;1133;0.85;1.8406813627254508;5;0.0060040950775146484;0.25
email_adjacent_49_0.25;1133;0.85;0.32123834886817576;7;0.004820108413696289;0.25
email_adjacent_50_0.25;1133;0.85;2.7119476268412437;2;0.0005040168762207031;0.25
email_adjacent_51_0.25;1133;0.85;0.6363636363636364;4;0.0020809173583984375;0.25
email_adjacent_52_0.25;1133;0.85;4.219792865362486;4;0.0028259754180908203;0.25
email_adjacent_53_0.25;1133;0.85;0.43498892755457136;4;0.0024192333221435547;0.25
email_adjacent_54_0.25;1133;0.85;1.113699906803355;6;0.0068128108978271484;0.25
email_adjacent_55_0.25;1133;0.85;0.24459078080903104;7;0.011774301528930664;0.25
email_adjacent_56_0.25;1133;0.85;1.8406813627254508;5;0.011893987655639648;0.25
email_adjacent_57_0.25;1133;0.85;1.4360902255639099;6;0.004207134246826172;0.25
email_adjacent_58_0.25;1133;0.85;0.3728813559322034;3;0.0011010169982910156;0.25
email_adjacent_59_0.25;1133;0.85;1.8406813627254508;5;0.002955198287963867;0.25
email_adjacent_60_0.25;1133;0.85;0.5172018348623854;7;0.012550115585327148;0.25
email_adjacent_61_0.25;1133;0.85;0.22647631408176508;5;0.009674072265625;0.25
email_adjacent_62_0.25;1133;0.85;0.38334858188472093;4;0.0024700164794921875;0.25
email_adjacent_63_0.25;1133;0.85;0.5172018348623854;7;0.02863001823425293;0.25
email_adjacent_64_0.25;1133;0.85;0.2807357212003872;7;0.033126115798950195;0.25
email_adjacent_65_0.25;1133;0.85;3.0451843043995246;6;0.004865884780883789;0.25
email_adjacent_66_0.25;1133;0.85;1.0192307692307692;5;0.0043582916259765625;0.25
email_adjacent_67_0.25;1133;0.85;0.04902867715078631;8;0.01415872573852539;0.25
email_adjacent_68_0.25;1133;0.85;14.641379310344828;2;0.0005271434783935547;0.25
email_adjacent_69_0.25;1133;0.85;1.0192307692307692;5;0.0049779415130615234;0.25
email_adjacent_70_0.25;1133;0.85;0.38334858188472093;4;0.002062082290649414;0.25
email_adjacent_71_0.25;1133;0.85;4.219792865362486;4;0.0016009807586669922;0.25
email_adjacent_72_0.25;1133;0.85;3.0451843043995246;6;0.015438079833984375;0.25
email_adjacent_73_0.25;1133;0.85;1.4107142857142858;5;0.00918126106262207;0.25
email_adjacent_74_0.25;1133;0.85;0.7480731116494165;7;0.00811004638671875;0.25
email_adjacent_75_0.25;1133;0.85;3.192236598890943;4;0.0016357898712158203;0.25
email_adjacent_76_0.25;1133;0.85;1.1959721146398141;5;0.0038919448852539062;0.25
email_adjacent_77_0.25;1133;0.85;0.4126440361258175;8;0.009521245956420898;0.25
email_adjacent_78_0.25;1133;0.85;15.016949152542374;5;0.0020422935485839844;0.25
email_adjacent_79_0.25;1133;0.85;1.3076923076923077;5;0.0032279491424560547;0.25
email_adjacent_80_0.25;1133;0.85;3.3615384615384616;3;0.0005507469177246094;0.25
