;|V|;D(%);ƒ;c;t(sec);α
football_adjacent_1_0.25;115;9.35;0.37900283745439806;3;0.0014379024505615234;0.25
football_adjacent_2_0.25;115;9.35;1.8288119738072965;8;0.0073659420013427734;0.25
football_adjacent_3_0.25;115;9.35;0.24478594950603733;1;0.0001590251922607422;0.25
football_adjacent_4_0.25;115;9.35;0.16427104722792607;1;0.00021028518676757812;0.25
football_adjacent_5_0.25;115;9.35;4.487096774193549;3;0.0006389617919921875;0.25
football_adjacent_6_0.25;115;9.35;0.8373795761078998;6;0.0062787532806396484;0.25
football_adjacent_7_0.25;115;9.35;0.3341176470588235;1;0.0005249977111816406;0.25
football_adjacent_8_0.25;115;9.35;2.7549668874172184;1;0.0005931854248046875;0.25
football_adjacent_9_0.25;115;9.35;0.4714587737843552;6;0.0033829212188720703;0.25
football_adjacent_10_0.25;115;9.35;0.7294133659997277;26;0.05416584014892578;0.25
football_adjacent_11_0.25;115;9.35;0.6458635703918723;1;0.00019812583923339844;0.25
football_adjacent_12_0.25;115;9.35;1.508849557522124;1;0.00017309188842773438;0.25
football_adjacent_13_0.25;115;9.35;2.4105263157894736;2;0.0006132125854492188;0.25
football_adjacent_14_0.25;115;9.35;0.3728813559322034;1;0.0002262592315673828;0.25
football_adjacent_15_0.25;115;9.35;0.6688741721854304;2;0.0003819465637207031;0.25
football_adjacent_16_0.25;115;9.35;0.5160591844099603;11;0.00867009162902832;0.25
football_adjacent_17_0.25;115;9.35;0.3914110429447853;1;0.0001659393310546875;0.25
football_adjacent_18_0.25;115;9.35;0.4655111425539441;10;0.005491971969604492;0.25
football_adjacent_19_0.25;115;9.35;10.416107382550335;3;0.0005509853363037109;0.25
football_adjacent_20_0.25;115;9.35;1.2377009254749147;9;0.0039501190185546875;0.25
football_adjacent_21_0.25;115;9.35;0.7021915340738517;5;0.0015077590942382812;0.25
football_adjacent_22_0.25;115;9.35;0.26;1;0.0001888275146484375;0.25
football_adjacent_23_0.25;115;9.35;1.0922509225092252;1;0.00023508071899414062;0.25
football_adjacent_24_0.25;115;9.35;2.4363636363636365;2;0.00037407875061035156;0.25
football_adjacent_25_0.25;115;9.35;0.6554744525547446;1;0.0001761913299560547;0.25
football_adjacent_26_0.25;115;9.35;2.7394888705688376;4;0.0009479522705078125;0.25
football_adjacent_27_0.25;115;9.35;74.6;1;0.00017786026000976562;0.25
football_adjacent_28_0.25;115;9.35;1.21484375;1;0.0001590251922607422;0.25
football_adjacent_29_0.25;115;9.35;2.088082901554404;3;0.0012898445129394531;0.25
football_adjacent_30_0.25;115;9.35;1.1235955056179776;1;0.00023794174194335938;0.25
football_adjacent_31_0.25;115;9.35;0.7846153846153846;5;0.004158973693847656;0.25
football_adjacent_32_0.25;115;9.35;1.8421052631578947;1;0.00020003318786621094;0.25
football_adjacent_33_0.25;115;9.35;2.467889908256881;1;0.0002498626708984375;0.25
football_adjacent_34_0.25;115;9.35;0.6244420501770048;12;0.018491029739379883;0.25
football_adjacent_35_0.25;115;9.35;0.6386051426558648;5;0.0013091564178466797;0.25
football_adjacent_36_0.25;115;9.35;5.0;1;0.00017213821411132812;0.25
football_adjacent_37_0.25;115;9.35;0.5500650195058517;3;0.0006918907165527344;0.25
football_adjacent_38_0.25;115;9.35;0.7971473851030111;1;0.00018787384033203125;0.25
football_adjacent_39_0.25;115;9.35;2.3850746268656717;1;0.0003001689910888672;0.25
football_adjacent_40_0.25;115;9.35;0.62152133580705;14;0.02824878692626953;0.25
football_adjacent_41_0.25;115;9.35;0.7207890743550834;1;0.00029087066650390625;0.25
football_adjacent_42_0.25;115;9.35;2.1943661971830988;3;0.0015249252319335938;0.25
football_adjacent_43_0.25;115;9.35;0.62;1;0.00017380714416503906;0.25
football_adjacent_44_0.25;115;9.35;3.6285714285714286;1;0.00014591217041015625;0.25
football_adjacent_45_0.25;115;9.35;1.0913621262458473;12;0.006131887435913086;0.25
football_adjacent_46_0.25;115;9.35;2.7549668874172184;1;0.0003159046173095703;0.25
football_adjacent_47_0.25;115;9.35;0.5199138858988159;15;0.020079851150512695;0.25
football_adjacent_48_0.25;115;9.35;1.0836012861736335;4;0.001561880111694336;0.25
football_adjacent_49_0.25;115;9.35;2.132596685082873;1;0.00019097328186035156;0.25
football_adjacent_50_0.25;115;9.35;0.5790490916119057;9;0.005692958831787109;0.25
football_adjacent_51_0.25;115;9.35;3.2738693467336684;3;0.0019218921661376953;0.25
football_adjacent_52_0.25;115;9.35;0.6758563074352548;8;0.0049860477447509766;0.25
football_adjacent_53_0.25;115;9.35;1.3475409836065573;11;0.010855913162231445;0.25
football_adjacent_54_0.25;115;9.35;2.176470588235294;1;0.00016999244689941406;0.25
football_adjacent_55_0.25;115;9.35;0.7312977099236642;1;0.00014591217041015625;0.25
football_adjacent_56_0.25;115;9.35;0.6458635703918723;1;0.0001938343048095703;0.25
football_adjacent_57_0.25;115;9.35;2.831081081081081;1;0.0001270771026611328;0.25
football_adjacent_58_0.25;115;9.35;1.1779467680608364;11;0.0152130126953125;0.25
football_adjacent_59_0.25;115;9.35;0.5994358251057827;1;0.00020933151245117188;0.25
football_adjacent_60_0.25;115;9.35;0.6676470588235294;1;0.00014710426330566406;0.25
football_adjacent_61_0.25;115;9.35;2.5;3;0.0005710124969482422;0.25
football_adjacent_62_0.25;115;9.35;1.012274122059325;14;0.018130064010620117;0.25
football_adjacent_63_0.25;115;9.35;0.5025906735751295;5;0.00453495979309082;0.25
football_adjacent_64_0.25;115;9.35;2.2124645892351276;1;0.00098419189453125;0.25
football_adjacent_65_0.25;115;9.35;0.39106366152629496;12;0.007914066314697266;0.25
football_adjacent_66_0.25;115;9.35;0.12277227722772277;1;0.00012993812561035156;0.25
