;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_adjacent_1_0.25;28;55.56;0.5;1;0.0001857280731201172;0.25
johnson8-2-4_adjacent_2_0.25;28;55.56;2.173112338858195;41;17.34145998954773;0.25
johnson8-2-4_adjacent_3_0.25;28;55.56;0.5;1;0.0001621246337890625;0.25
johnson8-2-4_adjacent_4_0.25;28;55.56;2.4449378330373004;50;22.02439594268799;0.25
johnson8-2-4_adjacent_5_0.25;28;55.56;0.43558282208588955;6;0.0015349388122558594;0.25
johnson8-2-4_adjacent_6_0.25;28;55.56;0.05;1;0.000141143798828125;0.25
johnson8-2-4_adjacent_7_0.25;28;55.56;7.5;1;0.0001308917999267578;0.25
johnson8-2-4_adjacent_8_0.25;28;55.56;1.3046875;5;0.06024503707885742;0.25
johnson8-2-4_adjacent_9_0.25;28;55.56;2.0831792975970425;34;8.014985084533691;0.25
johnson8-2-4_adjacent_10_0.25;28;55.56;2.244186046511628;7;0.2367382049560547;0.25
johnson8-2-4_adjacent_11_0.25;28;55.56;0.4482758620689655;1;0.00019788742065429688;0.25
johnson8-2-4_adjacent_12_0.25;28;55.56;0.7142857142857143;5;0.0007641315460205078;0.25
johnson8-2-4_adjacent_13_0.25;28;55.56;0.5;1;0.00012493133544921875;0.25
johnson8-2-4_adjacent_14_0.25;28;55.56;0.5;1;0.00018095970153808594;0.25
johnson8-2-4_adjacent_15_0.25;28;55.56;2.0351437699680512;30;5.039434909820557;0.25
johnson8-2-4_adjacent_16_0.25;28;55.56;0.5;1;0.00016808509826660156;0.25
johnson8-2-4_adjacent_17_0.25;28;55.56;1.5745526838966202;27;2.725208044052124;0.25
johnson8-2-4_adjacent_18_0.25;28;55.56;1.9359642591213702;43;20.576891899108887;0.25
johnson8-2-4_adjacent_19_0.25;28;55.56;1.7207547169811321;24;4.721170902252197;0.25
johnson8-2-4_adjacent_20_0.25;28;55.56;0.5;1;0.00015807151794433594;0.25
johnson8-2-4_adjacent_21_0.25;28;55.56;1.5354477611940298;31;5.142498731613159;0.25
johnson8-2-4_adjacent_22_0.25;28;55.56;0.5;1;0.00016689300537109375;0.25
johnson8-2-4_adjacent_23_0.25;28;55.56;0.5;1;0.0001430511474609375;0.25
johnson8-2-4_adjacent_24_0.25;28;55.56;0.47619047619047616;1;0.00013017654418945312;0.25
johnson8-2-4_adjacent_25_0.25;28;55.56;2.2830558276199806;40;11.821521282196045;0.25
johnson8-2-4_adjacent_26_0.25;28;55.56;3.5714285714285716;1;0.00022912025451660156;0.25
johnson8-2-4_adjacent_27_0.25;28;55.56;0.5;1;0.0001442432403564453;0.25
johnson8-2-4_adjacent_28_0.25;28;55.56;1.1578947368421053;1;0.00013375282287597656;0.25
johnson8-2-4_adjacent_29_0.25;28;55.56;1.650763358778626;15;1.603417158126831;0.25
johnson8-2-4_adjacent_30_0.25;28;55.56;0.5;1;0.0001761913299560547;0.25
johnson8-2-4_adjacent_31_0.25;28;55.56;0.5;1;0.0002067089080810547;0.25
johnson8-2-4_adjacent_32_0.25;28;55.56;0.5;1;0.00013518333435058594;0.25
johnson8-2-4_adjacent_33_0.25;28;55.56;1.2467532467532467;1;0.00013017654418945312;0.25
johnson8-2-4_adjacent_34_0.25;28;55.56;1.0;1;0.00012683868408203125;0.25
johnson8-2-4_adjacent_35_0.25;28;55.56;1.0;1;0.000125885009765625;0.25
johnson8-2-4_adjacent_36_0.25;28;55.56;0.5;1;0.0001518726348876953;0.25
johnson8-2-4_adjacent_37_0.25;28;55.56;2.4871794871794872;3;0.048803091049194336;0.25
johnson8-2-4_adjacent_38_0.25;28;55.56;0.5;1;0.00015997886657714844;0.25
johnson8-2-4_adjacent_39_0.25;28;55.56;0.5;1;0.00013899803161621094;0.25
johnson8-2-4_adjacent_40_0.25;28;55.56;0.5789473684210527;1;0.00013017654418945312;0.25
johnson8-2-4_adjacent_41_0.25;28;55.56;0.5;1;0.0001289844512939453;0.25
johnson8-2-4_adjacent_42_0.25;28;55.56;0.6571428571428571;1;0.0001850128173828125;0.25
johnson8-2-4_adjacent_43_0.25;28;55.56;1.6283185840707965;9;0.029552936553955078;0.25
johnson8-2-4_adjacent_44_0.25;28;55.56;0.5;1;0.00015783309936523438;0.25
johnson8-2-4_adjacent_45_0.25;28;55.56;1.3700980392156863;14;1.3517417907714844;0.25
johnson8-2-4_adjacent_46_0.25;28;55.56;0.5;1;0.00015926361083984375;0.25
johnson8-2-4_adjacent_47_0.25;28;55.56;0.5;1;0.00019669532775878906;0.25
johnson8-2-4_adjacent_48_0.25;28;55.56;0.8723404255319149;1;0.00013184547424316406;0.25
johnson8-2-4_adjacent_49_0.25;28;55.56;1.7908496732026145;39;10.211235046386719;0.25
johnson8-2-4_adjacent_50_0.25;28;55.56;0.5;1;0.0001590251922607422;0.25
johnson8-2-4_adjacent_51_0.25;28;55.56;1.3995680345572354;33;7.157786130905151;0.25
johnson8-2-4_adjacent_52_0.25;28;55.56;0.5;1;0.00016689300537109375;0.25
johnson8-2-4_adjacent_53_0.25;28;55.56;0.5;1;0.00016021728515625;0.25
johnson8-2-4_adjacent_54_0.25;28;55.56;0.5;1;0.0001399517059326172;0.25
johnson8-2-4_adjacent_55_0.25;28;55.56;1.125;1;0.00018715858459472656;0.25
johnson8-2-4_adjacent_56_0.25;28;55.56;0.5;1;0.00012803077697753906;0.25
johnson8-2-4_adjacent_57_0.25;28;55.56;2.2391799544419135;32;10.454361200332642;0.25
johnson8-2-4_adjacent_58_0.25;28;55.56;1.919431279620853;19;2.2034549713134766;0.25
johnson8-2-4_adjacent_59_0.25;28;55.56;1.7140902872777017;23;2.5104079246520996;0.25
johnson8-2-4_adjacent_60_0.25;28;55.56;0.5;1;0.00016999244689941406;0.25
