;|V|;D(%);ƒ;c;t(sec);α
p_hat1000-1_adjacent_1_0.25;1000;24.48;1.9622641509433962;20;4.373952865600586;0.25
p_hat1000-1_adjacent_2_0.25;1000;24.48;1.0375234521575984;14;3.275886058807373;0.25
p_hat1000-1_adjacent_3_0.25;1000;24.48;0.752411575562701;15;1.559251070022583;0.25
p_hat1000-1_adjacent_4_0.25;1000;24.48;1.4297994269340975;16;2.0151689052581787;0.25
p_hat1000-1_adjacent_5_0.25;1000;24.48;0.5;1;0.00016570091247558594;0.25
p_hat1000-1_adjacent_6_0.25;1000;24.48;0.8537735849056604;10;0.8902022838592529;0.25
p_hat1000-1_adjacent_7_0.25;1000;24.48;1.048;11;1.020388126373291;0.25
p_hat1000-1_adjacent_8_0.25;1000;24.48;1.456989247311828;18;2.177683115005493;0.25
p_hat1000-1_adjacent_9_0.25;1000;24.48;2.303951367781155;18;2.2576658725738525;0.25
p_hat1000-1_adjacent_10_0.25;1000;24.48;1.4566037735849056;15;1.91982102394104;0.25
p_hat1000-1_adjacent_11_0.25;1000;24.48;1.115264797507788;17;2.959843873977661;0.25
p_hat1000-1_adjacent_12_0.25;1000;24.48;1.7212885154061626;26;8.172855138778687;0.25
p_hat1000-1_adjacent_13_0.25;1000;24.48;1.9577464788732395;15;1.57486891746521;0.25
p_hat1000-1_adjacent_14_0.25;1000;24.48;1.712;16;4.362216234207153;0.25
p_hat1000-1_adjacent_15_0.25;1000;24.48;0.952;16;2.623192071914673;0.25
p_hat1000-1_adjacent_16_0.25;1000;24.48;0.5;1;0.0002238750457763672;0.25
p_hat1000-1_adjacent_17_0.25;1000;24.48;0.5;1;0.00013971328735351562;0.25
p_hat1000-1_adjacent_18_0.25;1000;24.48;0.5;1;0.00013017654418945312;0.25
p_hat1000-1_adjacent_19_0.25;1000;24.48;1.6269430051813472;10;1.0804989337921143;0.25
p_hat1000-1_adjacent_20_0.25;1000;24.48;0.5;1;0.00021791458129882812;0.25
p_hat1000-1_adjacent_21_0.25;1000;24.48;1.103059581320451;22;4.248201131820679;0.25
p_hat1000-1_adjacent_22_0.25;1000;24.48;1.3468559837728196;18;5.480366945266724;0.25
p_hat1000-1_adjacent_23_0.25;1000;24.48;1.5159362549800797;19;4.441833972930908;0.25
p_hat1000-1_adjacent_24_0.25;1000;24.48;0.5;1;0.00016617774963378906;0.25
p_hat1000-1_adjacent_25_0.25;1000;24.48;1.0666666666666667;20;2.5135412216186523;0.25
p_hat1000-1_adjacent_26_0.25;1000;24.48;1.4196597353497165;19;4.4282801151275635;0.25
p_hat1000-1_adjacent_27_0.25;1000;24.48;1.0212314225053079;17;2.2374351024627686;0.25
p_hat1000-1_adjacent_28_0.25;1000;24.48;1.2746913580246915;21;4.299885034561157;0.25
p_hat1000-1_adjacent_29_0.25;1000;24.48;0.5;1;0.0001621246337890625;0.25
p_hat1000-1_adjacent_30_0.25;1000;24.48;1.4161220043572984;22;3.5504798889160156;0.25
p_hat1000-1_adjacent_31_0.25;1000;24.48;1.4298780487804879;24;5.321454286575317;0.25
p_hat1000-1_adjacent_32_0.25;1000;24.48;1.2602739726027397;24;6.7862229347229;0.25
p_hat1000-1_adjacent_33_0.25;1000;24.48;1.0208333333333333;11;1.0746901035308838;0.25
p_hat1000-1_adjacent_34_0.25;1000;24.48;1.0242214532871972;25;6.515614986419678;0.25
p_hat1000-1_adjacent_35_0.25;1000;24.48;1.4175257731958764;20;3.5821549892425537;0.25
p_hat1000-1_adjacent_36_0.25;1000;24.48;1.5644654088050314;19;4.220288991928101;0.25
p_hat1000-1_adjacent_37_0.25;1000;24.48;1.0224215246636772;19;2.648776054382324;0.25
p_hat1000-1_adjacent_38_0.25;1000;24.48;1.4984193888303476;29;10.897733926773071;0.25
p_hat1000-1_adjacent_39_0.25;1000;24.48;1.5016501650165017;14;2.277924060821533;0.25
p_hat1000-1_adjacent_40_0.25;1000;24.48;0.5;1;0.0001609325408935547;0.25
p_hat1000-1_adjacent_41_0.25;1000;24.48;1.1790123456790123;17;3.005100965499878;0.25
p_hat1000-1_adjacent_42_0.25;1000;24.48;1.8470588235294119;15;2.3608572483062744;0.25
p_hat1000-1_adjacent_43_0.25;1000;24.48;1.0332541567695963;15;3.0710787773132324;0.25
p_hat1000-1_adjacent_44_0.25;1000;24.48;2.0853658536585367;16;7.103665113449097;0.25
p_hat1000-1_adjacent_45_0.25;1000;24.48;1.6233269598470363;14;3.4606308937072754;0.25
p_hat1000-1_adjacent_46_0.25;1000;24.48;2.389705882352941;15;1.6273679733276367;0.25
p_hat1000-1_adjacent_47_0.25;1000;24.48;1.1174698795180722;18;2.7063729763031006;0.25
p_hat1000-1_adjacent_48_0.25;1000;24.48;1.5205479452054795;26;7.990523099899292;0.25
p_hat1000-1_adjacent_49_0.25;1000;24.48;1.6372315035799523;33;15.82921314239502;0.25
p_hat1000-1_adjacent_50_0.25;1000;24.48;0.5;1;0.000164031982421875;0.25
p_hat1000-1_adjacent_51_0.25;1000;24.48;1.0;1;0.0001392364501953125;0.25
p_hat1000-1_adjacent_52_0.25;1000;24.48;1.0557491289198606;23;4.2063069343566895;0.25
p_hat1000-1_adjacent_53_0.25;1000;24.48;1.88468809073724;22;5.59477686882019;0.25
p_hat1000-1_adjacent_54_0.25;1000;24.48;1.1681818181818182;12;1.4660429954528809;0.25
p_hat1000-1_adjacent_55_0.25;1000;24.48;0.5;1;0.00015687942504882812;0.25
p_hat1000-1_adjacent_56_0.25;1000;24.48;1.37109375;16;2.5729851722717285;0.25
p_hat1000-1_adjacent_57_0.25;1000;24.48;1.5689655172413792;18;2.303744077682495;0.25
p_hat1000-1_adjacent_58_0.25;1000;24.48;1.6774716369529983;22;5.777179718017578;0.25
p_hat1000-1_adjacent_59_0.25;1000;24.48;1.5238095238095237;26;7.480111122131348;0.25
p_hat1000-1_adjacent_60_0.25;1000;24.48;2.1454545454545455;22;6.218484163284302;0.25
p_hat1000-1_adjacent_61_0.25;1000;24.48;2.3779193205944797;26;6.963787078857422;0.25
p_hat1000-1_adjacent_62_0.25;1000;24.48;1.8098360655737704;19;4.630604028701782;0.25
p_hat1000-1_adjacent_63_0.25;1000;24.48;2.226950354609929;21;4.516290187835693;0.25
p_hat1000-1_adjacent_64_0.25;1000;24.48;1.9219858156028369;17;2.9296562671661377;0.25
p_hat1000-1_adjacent_65_0.25;1000;24.48;0.5;1;0.00015592575073242188;0.25
p_hat1000-1_adjacent_66_0.25;1000;24.48;1.0042918454935623;18;2.5341949462890625;0.25
p_hat1000-1_adjacent_67_0.25;1000;24.48;1.2248995983935742;22;4.353052854537964;0.25
p_hat1000-1_adjacent_68_0.25;1000;24.48;1.893181818181818;21;4.052106857299805;0.25
p_hat1000-1_adjacent_69_0.25;1000;24.48;1.1361256544502618;13;1.2222678661346436;0.25
p_hat1000-1_adjacent_70_0.25;1000;24.48;1.2272727272727273;13;1.4321579933166504;0.25
p_hat1000-1_adjacent_71_0.25;1000;24.48;1.8477272727272727;13;1.5591437816619873;0.25
p_hat1000-1_adjacent_72_0.25;1000;24.48;2.0530973451327434;22;4.359363079071045;0.25
