;|V|;D(%);ƒ;c;t(sec);α
p_hat1000-1_adjacent_1_0.25;1000;24.48;2.5093283582089554;12;1.242711067199707;0.25
p_hat1000-1_adjacent_2_0.25;1000;24.48;2.5093283582089554;12;1.1089229583740234;0.25
p_hat1000-1_adjacent_3_0.25;1000;24.48;2.5093283582089554;12;1.176828145980835;0.25
p_hat1000-1_adjacent_4_0.25;1000;24.48;2.5093283582089554;12;1.1699838638305664;0.25
p_hat1000-1_adjacent_5_0.25;1000;24.48;1.5446224256292906;13;1.0628249645233154;0.25
p_hat1000-1_adjacent_6_0.25;1000;24.48;2.5093283582089554;12;1.2273881435394287;0.25
p_hat1000-1_adjacent_7_0.25;1000;24.48;2.5093283582089554;12;1.145932674407959;0.25
p_hat1000-1_adjacent_8_0.25;1000;24.48;1.1051779935275081;15;1.2915141582489014;0.25
p_hat1000-1_adjacent_9_0.25;1000;24.48;2.5093283582089554;12;1.2341251373291016;0.25
p_hat1000-1_adjacent_10_0.25;1000;24.48;2.2362637362637363;13;1.1886250972747803;0.25
p_hat1000-1_adjacent_11_0.25;1000;24.48;2.5093283582089554;12;1.1741688251495361;0.25
p_hat1000-1_adjacent_12_0.25;1000;24.48;2.5093283582089554;12;1.1452500820159912;0.25
p_hat1000-1_adjacent_13_0.25;1000;24.48;2.5093283582089554;12;1.3664898872375488;0.25
p_hat1000-1_adjacent_14_0.25;1000;24.48;1.310091743119266;15;1.070789098739624;0.25
p_hat1000-1_adjacent_15_0.25;1000;24.48;2.993723849372385;11;1.1175997257232666;0.25
p_hat1000-1_adjacent_16_0.25;1000;24.48;2.5093283582089554;12;1.2946429252624512;0.25
p_hat1000-1_adjacent_17_0.25;1000;24.48;2.5093283582089554;12;1.4636778831481934;0.25
p_hat1000-1_adjacent_18_0.25;1000;24.48;2.993723849372385;11;1.3656668663024902;0.25
p_hat1000-1_adjacent_19_0.25;1000;24.48;2.5093283582089554;12;1.051145315170288;0.25
p_hat1000-1_adjacent_20_0.25;1000;24.48;2.5093283582089554;12;1.1141431331634521;0.25
p_hat1000-1_adjacent_21_0.25;1000;24.48;2.5093283582089554;12;1.3229382038116455;0.25
p_hat1000-1_adjacent_22_0.25;1000;24.48;2.5093283582089554;12;1.109807014465332;0.25
p_hat1000-1_adjacent_23_0.25;1000;24.48;1.17196261682243;13;1.1938087940216064;0.25
p_hat1000-1_adjacent_24_0.25;1000;24.48;2.2362637362637363;13;0.9183170795440674;0.25
p_hat1000-1_adjacent_25_0.25;1000;24.48;2.993723849372385;11;0.9734489917755127;0.25
p_hat1000-1_adjacent_26_0.25;1000;24.48;2.5093283582089554;12;1.1899189949035645;0.25
p_hat1000-1_adjacent_27_0.25;1000;24.48;2.5093283582089554;12;1.2495100498199463;0.25
p_hat1000-1_adjacent_28_0.25;1000;24.48;2.5093283582089554;12;1.0915231704711914;0.25
p_hat1000-1_adjacent_29_0.25;1000;24.48;2.5093283582089554;12;1.1910297870635986;0.25
p_hat1000-1_adjacent_30_0.25;1000;24.48;1.5424164524421593;11;1.188615083694458;0.25
p_hat1000-1_adjacent_31_0.25;1000;24.48;2.5093283582089554;12;1.2312889099121094;0.25
p_hat1000-1_adjacent_32_0.25;1000;24.48;1.17196261682243;13;1.0495481491088867;0.25
p_hat1000-1_adjacent_33_0.25;1000;24.48;2.5093283582089554;12;1.0888240337371826;0.25
p_hat1000-1_adjacent_34_0.25;1000;24.48;2.5093283582089554;12;1.2938952445983887;0.25
p_hat1000-1_adjacent_35_0.25;1000;24.48;1.1051779935275081;15;1.2895281314849854;0.25
p_hat1000-1_adjacent_36_0.25;1000;24.48;2.5093283582089554;12;1.1825718879699707;0.25
p_hat1000-1_adjacent_37_0.25;1000;24.48;2.5093283582089554;12;1.0939488410949707;0.25
p_hat1000-1_adjacent_38_0.25;1000;24.48;1.1051779935275081;15;1.0089170932769775;0.25
p_hat1000-1_adjacent_39_0.25;1000;24.48;2.5093283582089554;12;1.0825269222259521;0.25
p_hat1000-1_adjacent_40_0.25;1000;24.48;2.5093283582089554;12;1.1453957557678223;0.25
