;|V|;D(%);ƒ;c;t(sec);α
random-1_ratio_1_0.25;100;45.78;1.1523809523809523;19;2.733825922012329;0.25
random-1_ratio_2_0.25;100;45.78;1.4580152671755726;5;4.059041976928711;0.25
random-1_ratio_3_0.25;100;45.78;6.545454545454546;3;2.116879940032959;0.25
random-1_ratio_4_0.25;100;45.78;1.294663573085847;20;6.031392812728882;0.25
random-1_ratio_5_0.25;100;45.78;1.0067911714770799;13;1.402284860610962;0.25
random-1_ratio_6_0.25;100;45.78;1.6253731343283582;18;4.21087908744812;0.25
random-1_ratio_7_0.25;100;45.78;0.2647058823529412;3;3.2141847610473633;0.25
random-1_ratio_8_0.25;100;45.78;1.2987012987012987;4;3.260223150253296;0.25
random-1_ratio_9_0.25;100;45.78;1.2781065088757397;11;2.7690019607543945;0.25
random-1_ratio_10_0.25;100;45.78;2.4411764705882355;3;2.335637092590332;0.25
random-1_ratio_11_0.25;100;45.78;1.0923379174852652;11;0.5648667812347412;0.25
random-1_ratio_12_0.25;100;45.78;1.2563451776649746;10;0.45062708854675293;0.25
random-1_ratio_13_0.25;100;45.78;1.1369047619047619;7;0.8296897411346436;0.25
random-1_ratio_14_0.25;100;45.78;0.45263157894736844;5;2.175854206085205;0.25
random-1_ratio_15_0.25;100;45.78;0.6666666666666666;2;1.154494047164917;0.25
random-1_ratio_16_0.25;100;45.78;1.1842105263157894;3;1.9717819690704346;0.25
random-1_ratio_17_0.25;100;45.78;0.5;2;1.0761349201202393;0.25
random-1_ratio_18_0.25;100;45.78;1.1665004985044864;25;6.569721937179565;0.25
random-1_ratio_19_0.25;100;45.78;0.9741060419235512;16;1.6839470863342285;0.25
random-1_ratio_20_0.25;100;45.78;2.8529411764705883;5;2.4447920322418213;0.25
random-1_ratio_21_0.25;100;45.78;4.1;3;2.5130088329315186;0.25
random-1_ratio_22_0.25;100;45.78;1.2058047493403694;19;4.186491966247559;0.25
random-1_ratio_23_0.25;100;45.78;1.0825439783491204;17;1.7917280197143555;0.25
random-1_ratio_24_0.25;100;45.78;1.488262910798122;9;1.5742237567901611;0.25
random-1_ratio_25_0.25;100;45.78;0.949438202247191;11;0.8728749752044678;0.25
random-1_ratio_26_0.25;100;45.78;1.2813370473537604;17;3.8681640625;0.25
random-1_ratio_27_0.25;100;45.78;0.5;2;1.3835268020629883;0.25
random-1_ratio_28_0.25;100;45.78;0.7931034482758621;4;4.423433780670166;0.25
random-1_ratio_29_0.25;100;45.78;1.228813559322034;12;2.0809757709503174;0.25
random-1_ratio_30_0.25;100;45.78;2.0;10;1.555783987045288;0.25
random-1_ratio_31_0.25;100;45.78;2.0;5;5.736906051635742;0.25
random-1_ratio_32_0.25;100;45.78;1.4289340101522843;10;0.06024885177612305;0.25
random-1_ratio_33_0.25;100;45.78;2.303921568627451;12;12.703958988189697;0.25
random-1_ratio_34_0.25;100;45.78;0.7904761904761904;7;6.317807197570801;0.25
random-1_ratio_35_0.25;100;45.78;1.516260162601626;19;10.85579514503479;0.25
random-1_ratio_36_0.25;100;45.78;0.573170731707317;3;2.330594778060913;0.25
random-1_ratio_37_0.25;100;45.78;1.9953917050691243;12;1.789736032485962;0.25
random-1_ratio_38_0.25;100;45.78;1.3157894736842106;6;1.9434068202972412;0.25
random-1_ratio_39_0.25;100;45.78;0.3055555555555556;3;1.8679399490356445;0.25
random-1_ratio_40_0.25;100;45.78;0.2619047619047619;5;3.7196831703186035;0.25
random-1_ratio_41_0.25;100;45.78;0.7349397590361446;6;0.011090993881225586;0.25
random-1_ratio_42_0.25;100;45.78;1.6203703703703705;4;2.7409887313842773;0.25
random-1_ratio_43_0.25;100;45.78;0.13924050632911392;3;1.8213460445404053;0.25
random-1_ratio_44_0.25;100;45.78;0.6893203883495146;8;5.6389360427856445;0.25
random-1_ratio_45_0.25;100;45.78;0.45263157894736844;5;1.8678388595581055;0.25
random-1_ratio_46_0.25;100;45.78;1.1858190709046454;20;1.9577760696411133;0.25
random-1_ratio_47_0.25;100;45.78;1.8242894056847545;11;1.6340398788452148;0.25
random-1_ratio_48_0.25;100;45.78;0.6755555555555556;4;0.016659975051879883;0.25
random-1_ratio_49_0.25;100;45.78;1.657079646017699;11;1.5122029781341553;0.25
random-1_ratio_50_0.25;100;45.78;1.2430555555555556;7;3.624845027923584;0.25
random-1_ratio_51_0.25;100;45.78;0.5;3;0.8967993259429932;0.25
random-1_ratio_52_0.25;100;45.78;0.9090909090909091;3;1.817162036895752;0.25
random-1_ratio_53_0.25;100;45.78;1.825358851674641;14;1.1616261005401611;0.25
random-1_ratio_54_0.25;100;45.78;1.7794486215538847;14;1.3881251811981201;0.25
random-1_ratio_55_0.25;100;45.78;1.0728793309438471;18;1.570613145828247;0.25
random-1_ratio_56_0.25;100;45.78;1.3035714285714286;8;3.624181032180786;0.25
random-1_ratio_57_0.25;100;45.78;0.8431372549019608;3;1.8339378833770752;0.25
random-1_ratio_58_0.25;100;45.78;1.1914893617021276;7;3.6282448768615723;0.25
random-1_ratio_59_0.25;100;45.78;1.2345679012345678;3;1.8273210525512695;0.25
random-1_ratio_60_0.25;100;45.78;1.7555555555555555;3;1.8246970176696777;0.25
random-1_ratio_61_0.25;100;45.78;1.2545454545454546;4;2.725473165512085;0.25
random-1_ratio_62_0.25;100;45.78;0.5853658536585366;5;1.8321878910064697;0.25
random-1_ratio_63_0.25;100;45.78;1.1020942408376964;9;1.1168551445007324;0.25
random-1_ratio_64_0.25;100;45.78;1.1105919003115265;12;1.1456849575042725;0.25
random-1_ratio_65_0.25;100;45.78;0.6338028169014085;4;2.7570109367370605;0.25
random-1_ratio_66_0.25;100;45.78;1.0612244897959184;3;1.8286149501800537;0.25
random-1_ratio_67_0.25;100;45.78;1.9098360655737705;6;3.635632276535034;0.25
random-1_ratio_68_0.25;100;45.78;0.6176470588235294;5;1.8168063163757324;0.25
random-1_ratio_69_0.25;100;45.78;0.5;2;0.9063560962677002;0.25
random-1_ratio_70_0.25;100;45.78;1.7709923664122138;14;1.5889127254486084;0.25
random-1_ratio_71_0.25;100;45.78;0.9150943396226415;5;2.7199368476867676;0.25
random-1_ratio_72_0.25;100;45.78;2.3115384615384613;11;1.3836400508880615;0.25
random-1_ratio_73_0.25;100;45.78;0.9150943396226415;5;2.7163069248199463;0.25
random-1_ratio_74_0.25;100;45.78;0.375;3;1.8269381523132324;0.25
random-1_ratio_75_0.25;100;45.78;1.6427184466019418;13;1.858994960784912;0.25
random-1_ratio_76_0.25;100;45.78;0.5;4;0.8966000080108643;0.25
random-1_ratio_77_0.25;100;45.78;3.8333333333333335;4;1.8232169151306152;0.25
random-1_ratio_78_0.25;100;45.78;1.4068965517241379;12;1.3182799816131592;0.25
random-1_ratio_79_0.25;100;45.78;0.918918918918919;11;1.407881259918213;0.25
random-1_ratio_80_0.25;100;45.78;1.9924242424242424;12;0.8046879768371582;0.25
random-1_ratio_81_0.25;100;45.78;2.047970479704797;8;1.1718099117279053;0.25
random-1_ratio_82_0.25;100;45.78;1.8681318681318682;4;2.7599589824676514;0.25
random-1_ratio_83_0.25;100;45.78;0.9265536723163842;5;3.609802007675171;0.25
random-1_ratio_84_0.25;100;45.78;1.3921901528013583;12;0.9032599925994873;0.25
random-1_ratio_85_0.25;100;45.78;1.1040974529346623;20;1.951751947402954;0.25
random-1_ratio_86_0.25;100;45.78;0.5376344086021505;4;1.8158481121063232;0.25
random-1_ratio_87_0.25;100;45.78;1.08843537414966;7;3.6399459838867188;0.25
random-1_ratio_88_0.25;100;45.78;1.1555555555555554;28;3.3409159183502197;0.25
random-1_ratio_89_0.25;100;45.78;1.436842105263158;6;4.510227918624878;0.25
random-1_ratio_90_0.25;100;45.78;2.3714285714285714;10;2.749605894088745;0.25
random-1_ratio_91_0.25;100;45.78;2.102777777777778;13;2.2849230766296387;0.25
random-1_ratio_92_0.25;100;45.78;0.6815642458100558;6;0.01656484603881836;0.25
random-1_ratio_93_0.25;100;45.78;1.4528301886792452;3;0.002329111099243164;0.25
random-1_ratio_94_0.25;100;45.78;1.2365079365079366;17;1.3805930614471436;0.25
random-1_ratio_95_0.25;100;45.78;0.8783783783783784;8;2.7465813159942627;0.25
random-1_ratio_96_0.25;100;45.78;1.0;4;2.729602813720703;0.25
random-1_ratio_97_0.25;100;45.78;1.0300429184549356;10;1.1945719718933105;0.25
random-1_ratio_98_0.25;100;45.78;0.7086614173228346;4;0.008864641189575195;0.25
random-1_ratio_99_0.25;100;45.78;1.2834331337325349;11;1.3543639183044434;0.25
random-1_ratio_100_0.25;100;45.78;0.8551401869158879;7;3.622673988342285;0.25
random-1_ratio_1_0.5;100;45.78;1.2316017316017316;11;1.554631233215332;0.5
random-1_ratio_2_0.5;100;45.78;1.675;3;1.8325560092926025;0.5
random-1_ratio_3_0.5;100;45.78;1.4251781472684086;9;0.4374070167541504;0.5
random-1_ratio_4_0.5;100;45.78;0.65625;4;2.724141836166382;0.5
random-1_ratio_5_0.5;100;45.78;1.604810996563574;7;0.015290260314941406;0.5
random-1_ratio_6_0.5;100;45.78;0.7873134328358209;6;4.518046140670776;0.5
random-1_ratio_7_0.5;100;45.78;0.6666666666666666;2;0.8993809223175049;0.5
random-1_ratio_8_0.5;100;45.78;4.5;3;1.8149182796478271;0.5
random-1_ratio_9_0.5;100;45.78;0.5;2;0.8994929790496826;0.5
random-1_ratio_10_0.5;100;45.78;0.15;3;1.8324580192565918;0.5
random-1_ratio_11_0.5;100;45.78;1.0678925035360678;16;1.1972708702087402;0.5
random-1_ratio_12_0.5;100;45.78;1.2384219554030875;13;1.5686430931091309;0.5
random-1_ratio_13_0.5;100;45.78;1.7755102040816326;3;1.8242747783660889;0.5
random-1_ratio_14_0.5;100;45.78;0.7808896210873146;10;0.8990719318389893;0.5
random-1_ratio_15_0.5;100;45.78;1.1296296296296295;18;6.362757921218872;0.5
random-1_ratio_16_0.5;100;45.78;1.0285714285714285;5;2.7164809703826904;0.5
random-1_ratio_17_0.5;100;45.78;0.9895833333333334;5;0.011976957321166992;0.5
random-1_ratio_18_0.5;100;45.78;1.0748299319727892;10;0.5119669437408447;0.5
random-1_ratio_19_0.5;100;45.78;0.877742946708464;7;0.018429994583129883;0.5
random-1_ratio_20_0.5;100;45.78;0.5825242718446602;5;3.61069393157959;0.5
random-1_ratio_21_0.5;100;45.78;1.0555555555555556;4;1.8112828731536865;0.5
random-1_ratio_22_0.5;100;45.78;0.15384615384615385;4;1.8223097324371338;0.5
random-1_ratio_23_0.5;100;45.78;0.5867768595041323;6;4.4945290088653564;0.5
random-1_ratio_24_0.5;100;45.78;1.4586776859504131;11;0.9437971115112305;0.5
random-1_ratio_25_0.5;100;45.78;1.167816091954023;21;2.4372060298919678;0.5
random-1_ratio_26_0.5;100;45.78;0.5625;9;3.6223490238189697;0.5
random-1_ratio_27_0.5;100;45.78;1.1420289855072463;6;0.014951944351196289;0.5
random-1_ratio_28_0.5;100;45.78;0.9774436090225563;7;2.7133491039276123;0.5
random-1_ratio_29_0.5;100;45.78;1.467680608365019;21;1.952815055847168;0.5
random-1_ratio_30_0.5;100;45.78;1.0402750491159136;20;1.7651429176330566;0.5
random-1_ratio_31_0.5;100;45.78;1.0533333333333332;3;1.8186829090118408;0.5
random-1_ratio_32_0.5;100;45.78;1.4213075060532687;10;0.6887860298156738;0.5
random-1_ratio_33_0.5;100;45.78;0.5;2;0.8942639827728271;0.5
random-1_ratio_34_0.5;100;45.78;2.0588235294117645;8;0.8294100761413574;0.5
random-1_ratio_35_0.5;100;45.78;1.0921052631578947;4;1.8164441585540771;0.5
random-1_ratio_36_0.5;100;45.78;0.68;3;1.8249940872192383;0.5
random-1_ratio_37_0.5;100;45.78;0.8805436337625179;26;2.841928005218506;0.5
random-1_ratio_38_0.5;100;45.78;0.8217054263565892;4;2.7053091526031494;0.5
random-1_ratio_39_0.5;100;45.78;1.041407867494824;19;1.465162992477417;0.5
random-1_ratio_40_0.5;100;45.78;1.234192037470726;12;1.2123398780822754;0.5
random-1_ratio_41_0.5;100;45.78;0.5;2;0.9396679401397705;0.5
random-1_ratio_42_0.5;100;45.78;0.9168399168399168;9;0.02120494842529297;0.5
random-1_ratio_43_0.5;100;45.78;6.0;3;1.8163647651672363;0.5
random-1_ratio_44_0.5;100;45.78;1.2660550458715596;5;0.010325908660888672;0.5
random-1_ratio_45_0.5;100;45.78;1.4518828451882846;10;0.7472822666168213;0.5
random-1_ratio_46_0.5;100;45.78;1.2497945768282663;24;1.5346438884735107;0.5
random-1_ratio_47_0.5;100;45.78;0.8395303326810176;8;0.00946664810180664;0.5
random-1_ratio_48_0.5;100;45.78;1.3071428571428572;7;2.7412431240081787;0.5
random-1_ratio_49_0.5;100;45.78;0.5;2;0.8992733955383301;0.5
random-1_ratio_50_0.5;100;45.78;0.8429172510518934;13;1.4369637966156006;0.5
random-1_ratio_51_0.5;100;45.78;2.3714285714285714;5;0.015636920928955078;0.5
random-1_ratio_52_0.5;100;45.78;1.3503937007874016;11;1.801832914352417;0.5
random-1_ratio_53_0.5;100;45.78;4.5;3;1.8407843112945557;0.5
random-1_ratio_54_0.5;100;45.78;0.625;6;1.8287882804870605;0.5
random-1_ratio_55_0.5;100;45.78;0.9416785206258891;12;0.6834897994995117;0.5
random-1_ratio_56_0.5;100;45.78;1.6203703703703705;4;2.7306361198425293;0.5
random-1_ratio_57_0.5;100;45.78;0.8203781512605042;15;0.7234621047973633;0.5
random-1_ratio_58_0.5;100;45.78;1.309667673716012;13;1.1351969242095947;0.5
random-1_ratio_59_0.5;100;45.78;1.321223709369025;13;1.5250871181488037;0.5
random-1_ratio_60_0.5;100;45.78;1.1936708860759493;19;1.6495308876037598;0.5
random-1_ratio_61_0.5;100;45.78;0.2537313432835821;9;2.7187037467956543;0.5
random-1_ratio_62_0.5;100;45.78;1.2395982783357244;19;1.8206839561462402;0.5
random-1_ratio_63_0.5;100;45.78;0.9590017825311943;10;0.7853832244873047;0.5
random-1_ratio_64_0.5;100;45.78;6.0;3;1.8241519927978516;0.5
random-1_ratio_65_0.5;100;45.78;2.181184668989547;9;0.8054578304290771;0.5
random-1_ratio_66_0.5;100;45.78;2.5517241379310347;3;1.8212249279022217;0.5
random-1_ratio_67_0.5;100;45.78;3.325;4;2.728890895843506;0.5
random-1_ratio_68_0.5;100;45.78;1.8073394495412844;3;0.006360054016113281;0.5
random-1_ratio_69_0.5;100;45.78;0.6872037914691943;7;4.5094239711761475;0.5
random-1_ratio_70_0.5;100;45.78;0.8163265306122449;3;1.8104760646820068;0.5
random-1_ratio_71_0.5;100;45.78;0.5;3;0.9251420497894287;0.5
random-1_ratio_72_0.5;100;45.78;1.0185185185185186;11;0.04308509826660156;0.5
random-1_ratio_73_0.5;100;45.78;0.7433628318584071;6;2.7485527992248535;0.5
random-1_ratio_74_0.5;100;45.78;1.6209850107066381;11;1.0897626876831055;0.5
random-1_ratio_75_0.5;100;45.78;0.8838951310861424;11;4.571014881134033;0.5
random-1_ratio_76_0.5;100;45.78;0.22772277227722773;7;2.8384697437286377;0.5
random-1_ratio_77_0.5;100;45.78;1.1343283582089552;4;3.9357330799102783;0.5
random-1_ratio_78_0.5;100;45.78;1.096774193548387;6;0.020093917846679688;0.5
random-1_ratio_79_0.5;100;45.78;0.7979274611398963;6;3.610690116882324;0.5
random-1_ratio_80_0.5;100;45.78;1.3001383125864454;17;2.1659059524536133;0.5
random-1_ratio_81_0.5;100;45.78;0.22972972972972974;3;1.819056749343872;0.5
random-1_ratio_82_0.5;100;45.78;1.0617760617760619;5;0.007776975631713867;0.5
random-1_ratio_83_0.5;100;45.78;0.9774436090225563;7;2.7378671169281006;0.5
random-1_ratio_84_0.5;100;45.78;0.65;8;0.3561859130859375;0.5
random-1_ratio_85_0.5;100;45.78;1.006896551724138;4;0.019870281219482422;0.5
random-1_ratio_86_0.5;100;45.78;1.4666666666666666;4;0.014035940170288086;0.5
random-1_ratio_87_0.5;100;45.78;2.235294117647059;5;1.8631107807159424;0.5
random-1_ratio_88_0.5;100;45.78;0.8210382513661202;15;1.381681203842163;0.5
random-1_ratio_89_0.5;100;45.78;1.2138613861386138;11;1.0291988849639893;0.5
random-1_ratio_90_0.5;100;45.78;0.43;6;2.723698854446411;0.5
random-1_ratio_91_0.5;100;45.78;1.361904761904762;5;3.6210367679595947;0.5
random-1_ratio_92_0.5;100;45.78;0.9130028063610851;23;2.0318777561187744;0.5
random-1_ratio_93_0.5;100;45.78;0.6234567901234568;5;3.7523579597473145;0.5
random-1_ratio_94_0.5;100;45.78;0.6907216494845361;9;1.8461740016937256;0.5
random-1_ratio_95_0.5;100;45.78;1.220715166461159;21;1.7112319469451904;0.5
random-1_ratio_96_0.5;100;45.78;1.7348066298342542;6;0.4896690845489502;0.5
random-1_ratio_97_0.5;100;45.78;1.8863636363636365;4;1.8222661018371582;0.5
random-1_ratio_98_0.5;100;45.78;0.6666666666666666;2;0.9001238346099854;0.5
random-1_ratio_99_0.5;100;45.78;0.837620578778135;15;0.9351150989532471;0.5
random-1_ratio_100_0.5;100;45.78;1.2447552447552448;13;0.894751787185669;0.5
random-1_ratio_1_0.75;100;45.78;1.090717299578059;11;0.6261248588562012;0.75
random-1_ratio_2_0.75;100;45.78;0.8648648648648649;3;1.827091932296753;0.75
random-1_ratio_3_0.75;100;45.78;2.736842105263158;3;1.8407642841339111;0.75
random-1_ratio_4_0.75;100;45.78;0.8;4;1.9053678512573242;0.75
random-1_ratio_5_0.75;100;45.78;1.0855855855855856;11;0.03711509704589844;0.75
random-1_ratio_6_0.75;100;45.78;1.0275689223057645;9;0.2459862232208252;0.75
random-1_ratio_7_0.75;100;45.78;0.8054794520547945;11;0.7616539001464844;0.75
random-1_ratio_8_0.75;100;45.78;0.6372549019607843;3;1.8188388347625732;0.75
random-1_ratio_9_0.75;100;45.78;1.38;7;5.681026220321655;0.75
random-1_ratio_10_0.75;100;45.78;4.842105263157895;3;1.8173072338104248;0.75
random-1_ratio_11_0.75;100;45.78;1.2011070110701108;12;0.6246788501739502;0.75
random-1_ratio_12_0.75;100;45.78;0.6142857142857143;4;2.704813241958618;0.75
random-1_ratio_13_0.75;100;45.78;1.2003205128205128;11;0.26662397384643555;0.75
random-1_ratio_14_0.75;100;45.78;0.9759036144578314;8;0.3130228519439697;0.75
random-1_ratio_15_0.75;100;45.78;1.7555555555555555;3;1.817641019821167;0.75
random-1_ratio_16_0.75;100;45.78;1.0661157024793388;7;5.442065954208374;0.75
random-1_ratio_17_0.75;100;45.78;1.1178821178821179;18;1.6869571208953857;0.75
random-1_ratio_18_0.75;100;45.78;0.5;6;0.906790018081665;0.75
random-1_ratio_19_0.75;100;45.78;0.8532110091743119;6;1.835352897644043;0.75
random-1_ratio_20_0.75;100;45.78;4.742857142857143;8;2.911431074142456;0.75
random-1_ratio_21_0.75;100;45.78;0.6866028708133971;8;0.33984994888305664;0.75
random-1_ratio_22_0.75;100;45.78;0.8974358974358975;3;1.9910149574279785;0.75
random-1_ratio_23_0.75;100;45.78;1.098901098901099;3;1.830714225769043;0.75
random-1_ratio_24_0.75;100;45.78;1.348747591522158;12;0.6375360488891602;0.75
random-1_ratio_25_0.75;100;45.78;0.8622222222222222;5;3.6733739376068115;0.75
random-1_ratio_26_0.75;100;45.78;0.6730769230769231;6;4.586480140686035;0.75
random-1_ratio_27_0.75;100;45.78;1.1818181818181819;7;2.7470600605010986;0.75
random-1_ratio_28_0.75;100;45.78;0.9250972762645915;19;1.5823628902435303;0.75
random-1_ratio_29_0.75;100;45.78;0.8173913043478261;4;2.70208477973938;0.75
random-1_ratio_30_0.75;100;45.78;1.122969837587007;10;0.657012939453125;0.75
