;|V|;D(%);ƒ;c;t(sec);α
random-1_ratio_1_0.25;100;45.78;1.688;14;0.04173111915588379;0.25
random-1_ratio_2_0.25;100;45.78;2.216417910447761;14;0.026168107986450195;0.25
random-1_ratio_3_0.25;100;45.78;1.688;14;0.057325124740600586;0.25
random-1_ratio_4_0.25;100;45.78;2.216417910447761;14;0.03232312202453613;0.25
random-1_ratio_5_0.25;100;45.78;1.688;14;0.0366368293762207;0.25
random-1_ratio_6_0.25;100;45.78;1.688;14;0.024013042449951172;0.25
random-1_ratio_7_0.25;100;45.78;1.688;14;0.1346139907836914;0.25
random-1_ratio_8_0.25;100;45.78;1.688;14;0.04463696479797363;0.25
random-1_ratio_9_0.25;100;45.78;1.688;14;0.1263868808746338;0.25
random-1_ratio_10_0.25;100;45.78;2.707692307692308;13;0.033586740493774414;0.25
random-1_ratio_11_0.25;100;45.78;1.688;14;0.03759312629699707;0.25
random-1_ratio_12_0.25;100;45.78;3.0289256198347108;10;0.013256072998046875;0.25
random-1_ratio_13_0.25;100;45.78;2.7774294670846396;13;0.026206016540527344;0.25
random-1_ratio_14_0.25;100;45.78;1.688;14;0.04403090476989746;0.25
random-1_ratio_15_0.25;100;45.78;2.216417910447761;14;0.03200411796569824;0.25
random-1_ratio_16_0.25;100;45.78;2.7774294670846396;13;0.05036115646362305;0.25
random-1_ratio_17_0.25;100;45.78;1.688;14;0.05711698532104492;0.25
random-1_ratio_18_0.25;100;45.78;1.688;14;0.04158186912536621;0.25
random-1_ratio_19_0.25;100;45.78;1.0068376068376068;13;0.04604005813598633;0.25
random-1_ratio_20_0.25;100;45.78;1.0338409475465313;13;0.03145480155944824;0.25
random-1_ratio_21_0.25;100;45.78;2.216417910447761;14;0.027723073959350586;0.25
random-1_ratio_22_0.25;100;45.78;1.688;14;0.03459525108337402;0.25
random-1_ratio_23_0.25;100;45.78;1.688;14;0.13544583320617676;0.25
random-1_ratio_24_0.25;100;45.78;1.688;14;0.05386710166931152;0.25
random-1_ratio_25_0.25;100;45.78;1.688;14;0.04886889457702637;0.25
random-1_ratio_26_0.25;100;45.78;2.216417910447761;14;0.06049990653991699;0.25
random-1_ratio_27_0.25;100;45.78;1.688;14;0.1379072666168213;0.25
random-1_ratio_28_0.25;100;45.78;1.688;14;0.1261310577392578;0.25
random-1_ratio_29_0.25;100;45.78;2.216417910447761;14;0.033467769622802734;0.25
random-1_ratio_30_0.25;100;45.78;1.9727047146401986;13;0.03739213943481445;0.25
random-1_ratio_31_0.25;100;45.78;2.707692307692308;13;0.03629493713378906;0.25
random-1_ratio_32_0.25;100;45.78;1.1549079754601228;13;0.10620379447937012;0.25
random-1_ratio_33_0.25;100;45.78;1.6484560570071258;12;0.03373098373413086;0.25
random-1_ratio_34_0.25;100;45.78;0.9191780821917809;14;0.03374505043029785;0.25
random-1_ratio_35_0.25;100;45.78;1.767094017094017;12;0.02871417999267578;0.25
random-1_ratio_36_0.25;100;45.78;2.216417910447761;14;0.051512956619262695;0.25
random-1_ratio_37_0.25;100;45.78;1.688;14;0.0985269546508789;0.25
random-1_ratio_38_0.25;100;45.78;1.688;14;0.0662841796875;0.25
random-1_ratio_39_0.25;100;45.78;1.688;14;0.04129195213317871;0.25
random-1_ratio_40_0.25;100;45.78;1.688;14;0.06198692321777344;0.25
random-1_ratio_41_0.25;100;45.78;1.688;14;0.14517903327941895;0.25
random-1_ratio_42_0.25;100;45.78;1.688;14;0.12917304039001465;0.25
random-1_ratio_43_0.25;100;45.78;1.7860696517412935;12;0.03248429298400879;0.25
random-1_ratio_44_0.25;100;45.78;1.688;14;0.032659053802490234;0.25
random-1_ratio_45_0.25;100;45.78;1.688;14;0.05363583564758301;0.25
random-1_ratio_46_0.25;100;45.78;2.216417910447761;14;0.02817988395690918;0.25
random-1_ratio_47_0.25;100;45.78;2.7774294670846396;13;0.03973102569580078;0.25
random-1_ratio_48_0.25;100;45.78;1.688;14;0.04308676719665527;0.25
random-1_ratio_49_0.25;100;45.78;1.688;14;0.1560359001159668;0.25
random-1_ratio_50_0.25;100;45.78;2.7774294670846396;13;0.04380607604980469;0.25
random-1_ratio_51_0.25;100;45.78;1.9727047146401986;13;0.03695416450500488;0.25
random-1_ratio_52_0.25;100;45.78;1.688;14;0.058988094329833984;0.25
random-1_ratio_53_0.25;100;45.78;1.688;14;0.06263923645019531;0.25
random-1_ratio_54_0.25;100;45.78;2.7774294670846396;13;0.07143688201904297;0.25
random-1_ratio_55_0.25;100;45.78;2.7774294670846396;13;0.03139209747314453;0.25
random-1_ratio_56_0.25;100;45.78;2.216417910447761;14;0.13943791389465332;0.25
random-1_ratio_57_0.25;100;45.78;2.216417910447761;14;0.13948416709899902;0.25
random-1_ratio_58_0.25;100;45.78;2.216417910447761;14;0.16282010078430176;0.25
random-1_ratio_59_0.25;100;45.78;1.688;14;0.027575969696044922;0.25
