;|V|;D(%);ƒ;c;t(sec);α
random-10_ratio_1_0.25;500;50.06;0.6588235294117647;5;4.103729009628296;0.25
random-10_ratio_2_0.25;500;50.06;0.9705882352941176;8;0.44082021713256836;0.25
random-10_ratio_3_0.25;500;50.06;0.9659090909090909;5;4.9313061237335205;0.25
random-10_ratio_4_0.25;500;50.06;1.0524781341107872;7;0.19255399703979492;0.25
random-10_ratio_5_0.25;500;50.06;1.1296296296296295;4;3.5843288898468018;0.25
random-10_ratio_6_0.25;500;50.06;0.5;3;1.1893670558929443;0.25
random-10_ratio_7_0.25;500;50.06;0.9623430962343096;13;0.6416640281677246;0.25
random-10_ratio_8_0.25;500;50.06;0.7846153846153846;4;2.3917229175567627;0.25
random-10_ratio_9_0.25;500;50.06;1.105263157894737;5;3.586668014526367;0.25
random-10_ratio_10_0.25;500;50.06;1.1614583333333333;7;0.3312540054321289;0.25
random-10_ratio_11_0.25;500;50.06;0.8260869565217391;5;4.8710620403289795;0.25
random-10_ratio_12_0.25;500;50.06;1.3214285714285714;3;2.4654109477996826;0.25
random-10_ratio_13_0.25;500;50.06;0.8341902313624678;11;0.6831657886505127;0.25
random-10_ratio_14_0.25;500;50.06;1.1891891891891893;3;2.3885650634765625;0.25
random-10_ratio_15_0.25;500;50.06;0.9004329004329005;15;0.9351999759674072;0.25
random-10_ratio_16_0.25;500;50.06;0.9269776876267748;10;0.5552792549133301;0.25
random-10_ratio_17_0.25;500;50.06;0.9903381642512077;18;1.4291529655456543;0.25
random-10_ratio_18_0.25;500;50.06;0.9135802469135802;4;3.6927759647369385;0.25
random-10_ratio_19_0.25;500;50.06;1.0273722627737227;8;0.2504770755767822;0.25
random-10_ratio_20_0.25;500;50.06;0.9835466179159049;10;0.5336670875549316;0.25
random-10_ratio_21_0.25;500;50.06;1.1214642262895174;11;0.6249148845672607;0.25
random-10_ratio_22_0.25;500;50.06;0.9671052631578947;12;0.6656808853149414;0.25
random-10_ratio_23_0.25;500;50.06;0.5;3;1.2327790260314941;0.25
random-10_ratio_24_0.25;500;50.06;0.8904593639575972;11;0.6020832061767578;0.25
random-10_ratio_25_0.25;500;50.06;0.96875;7;0.3934919834136963;0.25
random-10_ratio_26_0.25;500;50.06;0.5;3;2.4091179370880127;0.25
random-10_ratio_27_0.25;500;50.06;0.964406779661017;11;0.5803627967834473;0.25
random-10_ratio_28_0.25;500;50.06;0.9797752808988764;9;0.5447559356689453;0.25
random-10_ratio_29_0.25;500;50.06;1.186046511627907;6;3.58823299407959;0.25
random-10_ratio_30_0.25;500;50.06;0.6831683168316832;3;2.3948380947113037;0.25
