;|V|;D(%);ƒ;c;t(sec);α
random-9_ratio_1_0.25;400;48.8;0.9670148433205058;28;1.7519030570983887;0.25
random-9_ratio_2_0.25;400;48.8;0.9670148433205058;28;2.2434260845184326;0.25
random-9_ratio_3_0.25;400;48.8;0.9670148433205058;28;2.271120071411133;0.25
random-9_ratio_4_0.25;400;48.8;0.9670148433205058;28;1.7540900707244873;0.25
random-9_ratio_5_0.25;400;48.8;0.9670148433205058;28;3.850135087966919;0.25
random-9_ratio_6_0.25;400;48.8;0.9670148433205058;28;3.393975257873535;0.25
random-9_ratio_7_0.25;400;48.8;0.9670148433205058;28;2.3003897666931152;0.25
random-9_ratio_8_0.25;400;48.8;0.9670148433205058;28;2.061753988265991;0.25
random-9_ratio_9_0.25;400;48.8;0.9670148433205058;28;2.2163870334625244;0.25
random-9_ratio_10_0.25;400;48.8;0.9670148433205058;28;2.2391839027404785;0.25
random-9_ratio_11_0.25;400;48.8;0.9670148433205058;28;1.9001421928405762;0.25
random-9_ratio_12_0.25;400;48.8;0.9670148433205058;28;1.686467170715332;0.25
random-9_ratio_13_0.25;400;48.8;0.9670148433205058;28;2.6797187328338623;0.25
random-9_ratio_14_0.25;400;48.8;0.9670148433205058;28;2.1595141887664795;0.25
random-9_ratio_15_0.25;400;48.8;0.9670148433205058;28;1.776451826095581;0.25
random-9_ratio_16_0.25;400;48.8;0.9670148433205058;28;1.9941377639770508;0.25
random-9_ratio_17_0.25;400;48.8;0.9670148433205058;28;2.1421399116516113;0.25
random-9_ratio_18_0.25;400;48.8;0.9670148433205058;28;2.0591678619384766;0.25
random-9_ratio_19_0.25;400;48.8;0.9670148433205058;28;1.9504029750823975;0.25
random-9_ratio_20_0.25;400;48.8;0.9635157545605307;29;2.4520440101623535;0.25
random-9_ratio_21_0.25;400;48.8;0.9670148433205058;28;2.2031919956207275;0.25
random-9_ratio_22_0.25;400;48.8;0.9670148433205058;28;2.126923084259033;0.25
random-9_ratio_23_0.25;400;48.8;0.9670148433205058;28;1.7138590812683105;0.25
random-9_ratio_24_0.25;400;48.8;0.9670148433205058;28;1.9903521537780762;0.25
random-9_ratio_25_0.25;400;48.8;0.9670148433205058;28;2.146728038787842;0.25
random-9_ratio_26_0.25;400;48.8;0.9670148433205058;28;2.128218173980713;0.25
random-9_ratio_27_0.25;400;48.8;0.9670148433205058;28;2.173603057861328;0.25
random-9_ratio_28_0.25;400;48.8;0.9670148433205058;28;2.383936882019043;0.25
random-9_ratio_29_0.25;400;48.8;0.9670148433205058;28;2.1032111644744873;0.25
random-9_ratio_30_0.25;400;48.8;0.9670148433205058;28;2.193413019180298;0.25
random-9_ratio_31_0.25;400;48.8;0.9670148433205058;28;2.1533732414245605;0.25
random-9_ratio_32_0.25;400;48.8;0.9670148433205058;28;2.185054063796997;0.25
random-9_ratio_33_0.25;400;48.8;0.9670148433205058;28;2.0638749599456787;0.25
random-9_ratio_34_0.25;400;48.8;0.9670148433205058;28;2.5729196071624756;0.25
random-9_ratio_35_0.25;400;48.8;0.9670148433205058;28;1.8867578506469727;0.25
random-9_ratio_36_0.25;400;48.8;0.9670148433205058;28;1.9036240577697754;0.25
random-9_ratio_37_0.25;400;48.8;0.9670148433205058;28;2.194190740585327;0.25
random-9_ratio_38_0.25;400;48.8;0.9670148433205058;28;1.959399938583374;0.25
random-9_ratio_39_0.25;400;48.8;0.9670148433205058;28;2.192223310470581;0.25
random-9_ratio_40_0.25;400;48.8;0.9670148433205058;28;2.287240743637085;0.25
random-9_ratio_41_0.25;400;48.8;0.9670148433205058;28;2.1401689052581787;0.25
random-9_ratio_42_0.25;400;48.8;0.9670148433205058;28;2.060157060623169;0.25
random-9_ratio_43_0.25;400;48.8;0.9670148433205058;28;2.0753591060638428;0.25
random-9_ratio_44_0.25;400;48.8;0.9670148433205058;28;2.420754909515381;0.25
random-9_ratio_45_0.25;400;48.8;0.9670148433205058;28;2.2890830039978027;0.25
random-9_ratio_46_0.25;400;48.8;0.9670148433205058;28;1.9488470554351807;0.25
random-9_ratio_47_0.25;400;48.8;0.9670148433205058;28;2.2053439617156982;0.25
random-9_ratio_48_0.25;400;48.8;0.9670148433205058;28;2.668649196624756;0.25
random-9_ratio_49_0.25;400;48.8;0.9670148433205058;28;1.9144790172576904;0.25
random-9_ratio_50_0.25;400;48.8;0.9670148433205058;28;2.180076837539673;0.25
random-9_ratio_51_0.25;400;48.8;0.9670148433205058;28;2.560817003250122;0.25
random-9_ratio_52_0.25;400;48.8;0.9670148433205058;28;2.108945846557617;0.25
random-9_ratio_53_0.25;400;48.8;0.9670148433205058;28;2.2786381244659424;0.25
random-9_ratio_54_0.25;400;48.8;0.9670148433205058;28;2.284118890762329;0.25
random-9_ratio_55_0.25;400;48.8;0.9670148433205058;28;1.877488136291504;0.25
random-9_ratio_56_0.25;400;48.8;0.9670148433205058;28;1.7640068531036377;0.25
random-9_ratio_57_0.25;400;48.8;0.9670148433205058;28;1.7014789581298828;0.25
random-9_ratio_58_0.25;400;48.8;0.9670148433205058;28;2.0836260318756104;0.25
random-9_ratio_59_0.25;400;48.8;0.9670148433205058;28;2.3717410564422607;0.25
random-9_ratio_60_0.25;400;48.8;0.9670148433205058;28;1.8604590892791748;0.25
random-9_ratio_61_0.25;400;48.8;0.9670148433205058;28;1.976966142654419;0.25
random-9_ratio_62_0.25;400;48.8;0.9670148433205058;28;1.8206710815429688;0.25
random-9_ratio_63_0.25;400;48.8;0.9670148433205058;28;2.2614500522613525;0.25
random-9_ratio_64_0.25;400;48.8;0.9670148433205058;28;2.2759530544281006;0.25
random-9_ratio_65_0.25;400;48.8;0.9670148433205058;28;2.2899599075317383;0.25
random-9_ratio_66_0.25;400;48.8;0.9670148433205058;28;1.9211270809173584;0.25
random-9_ratio_67_0.25;400;48.8;0.9670148433205058;28;2.561497926712036;0.25
random-9_ratio_68_0.25;400;48.8;0.9670148433205058;28;2.1758201122283936;0.25
random-9_ratio_69_0.25;400;48.8;0.9670148433205058;28;2.3294618129730225;0.25
random-9_ratio_70_0.25;400;48.8;0.9670148433205058;28;2.0035219192504883;0.25
random-9_ratio_71_0.25;400;48.8;0.9670148433205058;28;1.744480848312378;0.25
random-9_ratio_72_0.25;400;48.8;0.9670148433205058;28;2.1005988121032715;0.25
random-9_ratio_73_0.25;400;48.8;0.9670148433205058;28;1.9510679244995117;0.25
random-9_ratio_74_0.25;400;48.8;0.9670148433205058;28;1.8615076541900635;0.25
random-9_ratio_75_0.25;400;48.8;0.9670148433205058;28;2.1079699993133545;0.25
random-9_ratio_76_0.25;400;48.8;0.9670148433205058;28;2.388978958129883;0.25
random-9_ratio_77_0.25;400;48.8;0.9670148433205058;28;1.9616169929504395;0.25
random-9_ratio_78_0.25;400;48.8;0.9670148433205058;28;2.4013521671295166;0.25
random-9_ratio_79_0.25;400;48.8;0.9670148433205058;28;1.8126177787780762;0.25
random-9_ratio_80_0.25;400;48.8;0.9670148433205058;28;2.4110612869262695;0.25
random-9_ratio_81_0.25;400;48.8;0.9670148433205058;28;2.06170916557312;0.25
random-9_ratio_82_0.25;400;48.8;0.9670148433205058;28;2.0297493934631348;0.25
random-9_ratio_83_0.25;400;48.8;0.9670148433205058;28;2.1072680950164795;0.25
random-9_ratio_84_0.25;400;48.8;0.9670148433205058;28;2.518937826156616;0.25
random-9_ratio_85_0.25;400;48.8;0.9670148433205058;28;2.016907215118408;0.25
random-9_ratio_86_0.25;400;48.8;0.9670148433205058;28;1.899904727935791;0.25
random-9_ratio_87_0.25;400;48.8;0.9670148433205058;28;2.321276903152466;0.25
random-9_ratio_88_0.25;400;48.8;0.9670148433205058;28;2.0150630474090576;0.25
random-9_ratio_89_0.25;400;48.8;0.9670148433205058;28;2.2419888973236084;0.25
random-9_ratio_90_0.25;400;48.8;0.9670148433205058;28;2.1796979904174805;0.25
random-9_ratio_91_0.25;400;48.8;0.9670148433205058;28;2.00780987739563;0.25
random-9_ratio_92_0.25;400;48.8;0.9670148433205058;28;2.0281989574432373;0.25
random-9_ratio_93_0.25;400;48.8;0.9670148433205058;28;1.8449110984802246;0.25
random-9_ratio_94_0.25;400;48.8;0.9670148433205058;28;1.849280834197998;0.25
random-9_ratio_95_0.25;400;48.8;0.9670148433205058;28;2.2565219402313232;0.25
random-9_ratio_96_0.25;400;48.8;0.9670148433205058;28;1.9836528301239014;0.25
random-9_ratio_97_0.25;400;48.8;0.9670148433205058;28;1.9592649936676025;0.25
random-9_ratio_98_0.25;400;48.8;0.9670148433205058;28;2.1802868843078613;0.25
random-9_ratio_99_0.25;400;48.8;0.9670148433205058;28;1.8101482391357422;0.25
random-9_ratio_100_0.25;400;48.8;0.9670148433205058;28;2.202633857727051;0.25
random-9_ratio_1_0.5;400;48.8;0.9670148433205058;28;2.047137975692749;0.5
random-9_ratio_2_0.5;400;48.8;0.9670148433205058;28;2.345529079437256;0.5
random-9_ratio_3_0.5;400;48.8;0.9670148433205058;28;2.33725905418396;0.5
random-9_ratio_4_0.5;400;48.8;0.9670148433205058;28;2.076911211013794;0.5
random-9_ratio_5_0.5;400;48.8;0.9670148433205058;28;2.3614068031311035;0.5
random-9_ratio_6_0.5;400;48.8;0.9670148433205058;28;2.2085378170013428;0.5
random-9_ratio_7_0.5;400;48.8;0.9670148433205058;28;2.3901569843292236;0.5
random-9_ratio_8_0.5;400;48.8;0.9670148433205058;28;2.1698882579803467;0.5
