;|V|;D(%);ƒ;c;t(sec);α
market-3_ratio_1_0.25;500;22.21;2.6582278481012658;3;2.372631072998047;0.25
market-3_ratio_2_0.25;500;22.21;0.7179372197309416;6;3.488173246383667;0.25
market-3_ratio_3_0.25;500;22.21;0.9946441446080955;9;5.623327016830444;0.25
market-3_ratio_4_0.25;500;22.21;0.5;2;1.074336051940918;0.25
market-3_ratio_5_0.25;500;22.21;1.638157894736842;8;0.048284292221069336;0.25
market-3_ratio_6_0.25;500;22.21;1.5158424637252;10;0.0520319938659668;0.25
market-3_ratio_7_0.25;500;22.21;0.44376899696048633;3;2.141590118408203;0.25
market-3_ratio_8_0.25;500;22.21;0.8797653958944281;3;2.1459689140319824;0.25
market-3_ratio_9_0.25;500;22.21;2.1894367640146086;69;0.6234307289123535;0.25
market-3_ratio_10_0.25;500;22.21;1.4871719872973421;14;0.07154679298400879;0.25
market-3_ratio_11_0.25;500;22.21;1.592365895387882;62;0.4190351963043213;0.25
market-3_ratio_12_0.25;500;22.21;0.6716072255673923;4;3.2184221744537354;0.25
market-3_ratio_13_0.25;500;22.21;0.9267966871493454;7;0.043456077575683594;0.25
market-3_ratio_14_0.25;500;22.21;1.0087269386817728;13;0.09361886978149414;0.25
market-3_ratio_15_0.25;500;22.21;1.1262608282900202;8;4.289948225021362;0.25
market-3_ratio_16_0.25;500;22.21;0.9859154929577465;3;2.1432528495788574;0.25
market-3_ratio_17_0.25;500;22.21;0.8789769820971867;11;0.0585780143737793;0.25
market-3_ratio_18_0.25;500;22.21;0.7192418344897613;7;3.3071107864379883;0.25
market-3_ratio_19_0.25;500;22.21;0.813984314591848;9;5.427558183670044;0.25
market-3_ratio_20_0.25;500;22.21;0.8672364672364675;6;3.214606761932373;0.25
market-3_ratio_21_0.25;500;22.21;0.7087323943661972;9;0.03804969787597656;0.25
market-3_ratio_22_0.25;500;22.21;1.1558247142079476;11;0.06659889221191406;0.25
market-3_ratio_23_0.25;500;22.21;1.1574260138838144;19;0.13201904296875;0.25
market-3_ratio_24_0.25;500;22.21;1.0863145939806929;6;3.2110583782196045;0.25
market-3_ratio_25_0.25;500;22.21;1.1740458015267177;3;2.135938882827759;0.25
market-3_ratio_26_0.25;500;22.21;1.1262608282900202;8;4.3456361293792725;0.25
market-3_ratio_27_0.25;500;22.21;0.8060130808478582;18;0.11401605606079102;0.25
market-3_ratio_28_0.25;500;22.21;0.41753774680603956;5;2.221116065979004;0.25
market-3_ratio_29_0.25;500;22.21;1.7670664206642068;4;3.2247419357299805;0.25
market-3_ratio_30_0.25;500;22.21;0.8713318284424381;9;4.284256935119629;0.25
market-3_ratio_31_0.25;500;22.21;0.9930094372596993;5;4.285776853561401;0.25
market-3_ratio_32_0.25;500;22.21;1.0215567531529532;10;0.05123496055603027;0.25
market-3_ratio_33_0.25;500;22.21;0.5849056603773585;4;2.1424100399017334;0.25
market-3_ratio_34_0.25;500;22.21;0.38485273492286115;6;3.280510902404785;0.25
market-3_ratio_35_0.25;500;22.21;0.5144385026737969;3;2.2222681045532227;0.25
market-3_ratio_36_0.25;500;22.21;0.5;6;1.0950639247894287;0.25
market-3_ratio_37_0.25;500;22.21;1.7862230673778885;82;0.7652769088745117;0.25
market-3_ratio_38_0.25;500;22.21;0.9828204362115326;6;5.892735958099365;0.25
market-3_ratio_39_0.25;500;22.21;0.6666666666666666;2;1.1553480625152588;0.25
market-3_ratio_40_0.25;500;22.21;0.7126495946467636;9;0.05218791961669922;0.25
market-3_ratio_41_0.25;500;22.21;2.9538341158059467;5;2.258869171142578;0.25
market-3_ratio_42_0.25;500;22.21;0.6235390946502058;4;3.2947511672973633;0.25
market-3_ratio_43_0.25;500;22.21;0.5;6;1.0761489868164062;0.25
market-3_ratio_44_0.25;500;22.21;0.5;2;1.078127145767212;0.25
market-3_ratio_45_0.25;500;22.21;0.5;2;1.0786659717559814;0.25
market-3_ratio_46_0.25;500;22.21;1.525890246000344;4;3.2215991020202637;0.25
market-3_ratio_47_0.25;500;22.21;1.5320062451209993;3;2.155160903930664;0.25
market-3_ratio_48_0.25;500;22.21;1.031853281853282;3;2.1478688716888428;0.25
market-3_ratio_49_0.25;500;22.21;1.9514661274014156;4;3.224437952041626;0.25
market-3_ratio_50_0.25;500;22.21;1.63750034966013;21;0.11796283721923828;0.25
market-3_ratio_51_0.25;500;22.21;0.7556644779432163;10;0.06863784790039062;0.25
market-3_ratio_52_0.25;500;22.21;1.2696101023135773;9;0.04382586479187012;0.25
market-3_ratio_53_0.25;500;22.21;0.9859154929577465;3;2.177475929260254;0.25
market-3_ratio_54_0.25;500;22.21;0.893894446360814;11;0.056797027587890625;0.25
market-3_ratio_55_0.25;500;22.21;0.9430158935262956;10;0.05973458290100098;0.25
market-3_ratio_56_0.25;500;22.21;1.1459197087673172;11;0.06607794761657715;0.25
market-3_ratio_57_0.25;500;22.21;1.2576430624510058;4;3.326993227005005;0.25
market-3_ratio_58_0.25;500;22.21;1.7794023373933625;26;0.15315890312194824;0.25
market-3_ratio_59_0.25;500;22.21;0.7953689759036146;3;2.1456069946289062;0.25
market-3_ratio_60_0.25;500;22.21;0.5700154559505409;4;3.2294790744781494;0.25
market-3_ratio_61_0.25;500;22.21;1.2715654952076676;4;3.2190849781036377;0.25
market-3_ratio_62_0.25;500;22.21;0.6698113207547169;5;2.152752161026001;0.25
market-3_ratio_63_0.25;500;22.21;1.0029805058804575;19;8.711852073669434;0.25
market-3_ratio_64_0.25;500;22.21;0.8208105147864183;7;0.03366398811340332;0.25
market-3_ratio_65_0.25;500;22.21;0.943214909726267;9;0.07512116432189941;0.25
market-3_ratio_66_0.25;500;22.21;1.128343296567596;18;0.1165618896484375;0.25
market-3_ratio_67_0.25;500;22.21;0.8755197505197506;6;5.569554090499878;0.25
market-3_ratio_68_0.25;500;22.21;1.0916414904330312;3;2.1516029834747314;0.25
market-3_ratio_69_0.25;500;22.21;1.1548892759392884;8;7.704866170883179;0.25
market-3_ratio_70_0.25;500;22.21;0.961611950668751;7;0.023541688919067383;0.25
market-3_ratio_71_0.25;500;22.21;2.5188577586206895;4;2.1471080780029297;0.25
market-3_ratio_72_0.25;500;22.21;1.2514448739186457;32;0.1944270133972168;0.25
market-3_ratio_73_0.25;500;22.21;1.1074656846334117;9;7.510148286819458;0.25
market-3_ratio_74_0.25;500;22.21;0.9451240824886403;8;0.030798673629760742;0.25
market-3_ratio_75_0.25;500;22.21;1.412891703198571;12;8.553807973861694;0.25
market-3_ratio_76_0.25;500;22.21;0.8579062424095215;5;3.3352859020233154;0.25
market-3_ratio_77_0.25;500;22.21;0.7488507137672392;8;0.06302022933959961;0.25
market-3_ratio_78_0.25;500;22.21;0.7126113098409317;11;0.06023120880126953;0.25
market-3_ratio_79_0.25;500;22.21;0.5958115183246072;4;2.1437301635742188;0.25
market-3_ratio_80_0.25;500;22.21;1.0082107625967274;10;0.0694730281829834;0.25
market-3_ratio_81_0.25;500;22.21;0.5;2;1.0784177780151367;0.25
market-3_ratio_82_0.25;500;22.21;1.501313649443263;7;0.03335404396057129;0.25
market-3_ratio_83_0.25;500;22.21;0.4205163043478261;3;2.149651050567627;0.25
market-3_ratio_84_0.25;500;22.21;1.2355559025608993;17;0.11552286148071289;0.25
market-3_ratio_85_0.25;500;22.21;0.8398518357119512;15;0.07647585868835449;0.25
market-3_ratio_86_0.25;500;22.21;2.367476240760295;12;8.633368968963623;0.25
market-3_ratio_87_0.25;500;22.21;0.7029475392103839;9;6.574750900268555;0.25
market-3_ratio_88_0.25;500;22.21;1.0317419131638126;8;0.03640484809875488;0.25
market-3_ratio_89_0.25;500;22.21;0.5003174603174603;4;2.1581227779388428;0.25
market-3_ratio_90_0.25;500;22.21;0.5039128955427016;3;2.1481058597564697;0.25
market-3_ratio_91_0.25;500;22.21;1.4705993215228046;16;0.06993889808654785;0.25
market-3_ratio_92_0.25;500;22.21;1.525890246000344;4;3.2159857749938965;0.25
market-3_ratio_93_0.25;500;22.21;1.031853281853282;3;2.198235034942627;0.25
market-3_ratio_94_0.25;500;22.21;0.6666666666666666;2;1.115800142288208;0.25
market-3_ratio_95_0.25;500;22.21;0.8713318284424381;9;4.367647886276245;0.25
market-3_ratio_96_0.25;500;22.21;1.0811796315250768;12;0.07172822952270508;0.25
market-3_ratio_97_0.25;500;22.21;2.5070609392965593;31;0.2263329029083252;0.25
market-3_ratio_98_0.25;500;22.21;0.7607730314591281;12;0.08715486526489258;0.25
market-3_ratio_99_0.25;500;22.21;1.9999172767506306;27;0.17838597297668457;0.25
market-3_ratio_100_0.25;500;22.21;0.5465279730109643;9;0.04187583923339844;0.25
market-3_ratio_1_0.5;500;22.21;0.9793951478896642;14;0.12118887901306152;0.5
market-3_ratio_2_0.5;500;22.21;1.2896642527978932;8;0.041155099868774414;0.5
market-3_ratio_3_0.5;500;22.21;1.6409844836811125;23;0.17494606971740723;0.5
market-3_ratio_4_0.5;500;22.21;0.676923076923077;5;2.148204803466797;0.5
market-3_ratio_5_0.5;500;22.21;1.0614821591948764;6;5.36028528213501;0.5
market-3_ratio_6_0.5;500;22.21;1.4406355578801537;44;0.30699706077575684;0.5
market-3_ratio_7_0.5;500;22.21;0.8608540925266904;3;2.149390935897827;0.5
market-3_ratio_8_0.5;500;22.21;0.5;2;1.0713319778442383;0.5
market-3_ratio_9_0.5;500;22.21;0.7239819004524887;4;2.162346124649048;0.5
market-3_ratio_10_0.5;500;22.21;0.7673226971002679;6;5.549643039703369;0.5
market-3_ratio_11_0.5;500;22.21;1.6820402724311516;23;0.10695219039916992;0.5
market-3_ratio_12_0.5;500;22.21;0.8273195876288658;3;2.14844012260437;0.5
market-3_ratio_13_0.5;500;22.21;1.0872835540233488;9;0.05186581611633301;0.5
market-3_ratio_14_0.5;500;22.21;1.2755434782608697;6;3.2279889583587646;0.5
market-3_ratio_15_0.5;500;22.21;0.5;2;1.0708000659942627;0.5
market-3_ratio_16_0.5;500;22.21;1.6951035198572395;31;0.23172998428344727;0.5
market-3_ratio_17_0.5;500;22.21;0.650800457404231;6;3.230670690536499;0.5
market-3_ratio_18_0.5;500;22.21;0.8547297297297299;7;0.028760910034179688;0.5
market-3_ratio_19_0.5;500;22.21;1.5464539406922986;11;0.05418539047241211;0.5
market-3_ratio_20_0.5;500;22.21;0.722992437882607;8;0.04489707946777344;0.5
market-3_ratio_21_0.5;500;22.21;0.5145888594164456;5;3.221540927886963;0.5
market-3_ratio_22_0.5;500;22.21;0.7436746987951807;7;3.221850872039795;0.5
market-3_ratio_23_0.5;500;22.21;1.7400519510842607;104;1.1623387336730957;0.5
market-3_ratio_24_0.5;500;22.21;0.8204745312759251;8;0.034590959548950195;0.5
market-3_ratio_25_0.5;500;22.21;0.6666666666666666;2;1.1136322021484375;0.5
market-3_ratio_26_0.5;500;22.21;2.2029654724336374;33;0.24430298805236816;0.5
market-3_ratio_27_0.5;500;22.21;0.9562802712302227;11;0.06257486343383789;0.5
market-3_ratio_28_0.5;500;22.21;0.8579062424095215;5;3.2838709354400635;0.5
market-3_ratio_29_0.5;500;22.21;0.8671228800952095;11;0.05736494064331055;0.5
market-3_ratio_30_0.5;500;22.21;1.2345195729537366;8;0.04786992073059082;0.5
market-3_ratio_31_0.5;500;22.21;0.9448504983388706;4;3.2302510738372803;0.5
