;|V|;D(%);ƒ;c;t(sec);α
market-3_ratio_1_0.25;500;22.21;1.3302564102564107;8;0.44635701179504395;0.25
market-3_ratio_2_0.25;500;22.21;1.3302564102564107;8;0.4297831058502197;0.25
market-3_ratio_3_0.25;500;22.21;1.3302564102564107;8;0.4733262062072754;0.25
market-3_ratio_4_0.25;500;22.21;1.3302564102564107;8;0.45959901809692383;0.25
market-3_ratio_5_0.25;500;22.21;1.3302564102564107;8;0.43220019340515137;0.25
market-3_ratio_6_0.25;500;22.21;1.3302564102564107;8;0.4717528820037842;0.25
market-3_ratio_7_0.25;500;22.21;1.3302564102564107;8;0.4674520492553711;0.25
market-3_ratio_8_0.25;500;22.21;1.3302564102564107;8;0.43228697776794434;0.25
market-3_ratio_9_0.25;500;22.21;1.3302564102564107;8;0.4426710605621338;0.25
market-3_ratio_10_0.25;500;22.21;1.3302564102564107;8;0.3808929920196533;0.25
market-3_ratio_11_0.25;500;22.21;1.3302564102564107;8;0.40177202224731445;0.25
market-3_ratio_12_0.25;500;22.21;1.3302564102564107;8;0.45316195487976074;0.25
market-3_ratio_13_0.25;500;22.21;1.3302564102564107;8;0.443958044052124;0.25
market-3_ratio_14_0.25;500;22.21;1.3302564102564107;8;0.4672279357910156;0.25
market-3_ratio_15_0.25;500;22.21;1.3302564102564107;8;0.3730759620666504;0.25
market-3_ratio_16_0.25;500;22.21;1.3302564102564107;8;0.4312121868133545;0.25
market-3_ratio_17_0.25;500;22.21;1.3302564102564107;8;0.4442288875579834;0.25
market-3_ratio_18_0.25;500;22.21;1.3302564102564107;8;0.43289923667907715;0.25
market-3_ratio_19_0.25;500;22.21;1.3302564102564107;8;0.4351968765258789;0.25
market-3_ratio_20_0.25;500;22.21;1.3302564102564107;8;0.43265509605407715;0.25
market-3_ratio_21_0.25;500;22.21;1.3302564102564107;8;0.44077324867248535;0.25
market-3_ratio_22_0.25;500;22.21;1.3302564102564107;8;0.4653310775756836;0.25
market-3_ratio_23_0.25;500;22.21;1.3302564102564107;8;0.364224910736084;0.25
market-3_ratio_24_0.25;500;22.21;1.3302564102564107;8;0.4300060272216797;0.25
market-3_ratio_25_0.25;500;22.21;1.3302564102564107;8;0.4094059467315674;0.25
market-3_ratio_26_0.25;500;22.21;1.3302564102564107;8;0.4780690670013428;0.25
market-3_ratio_27_0.25;500;22.21;1.3302564102564107;8;0.4184880256652832;0.25
market-3_ratio_28_0.25;500;22.21;1.3302564102564107;8;0.47362709045410156;0.25
market-3_ratio_29_0.25;500;22.21;1.3302564102564107;8;0.427722692489624;0.25
market-3_ratio_30_0.25;500;22.21;1.3302564102564107;8;0.4034848213195801;0.25
market-3_ratio_31_0.25;500;22.21;1.3302564102564107;8;0.390913724899292;0.25
market-3_ratio_32_0.25;500;22.21;1.3302564102564107;8;0.4339570999145508;0.25
market-3_ratio_33_0.25;500;22.21;1.3302564102564107;8;0.4604909420013428;0.25
market-3_ratio_34_0.25;500;22.21;1.3302564102564107;8;0.4503772258758545;0.25
market-3_ratio_35_0.25;500;22.21;1.3302564102564107;8;0.4869828224182129;0.25
market-3_ratio_36_0.25;500;22.21;1.3302564102564107;8;0.42566704750061035;0.25
market-3_ratio_37_0.25;500;22.21;1.3302564102564107;8;0.49170517921447754;0.25
market-3_ratio_38_0.25;500;22.21;1.3302564102564107;8;0.40778017044067383;0.25
market-3_ratio_39_0.25;500;22.21;1.3302564102564107;8;0.45072484016418457;0.25
market-3_ratio_40_0.25;500;22.21;1.3302564102564107;8;0.39467501640319824;0.25
market-3_ratio_41_0.25;500;22.21;1.3302564102564107;8;0.4245421886444092;0.25
market-3_ratio_42_0.25;500;22.21;1.3302564102564107;8;0.4204237461090088;0.25
market-3_ratio_43_0.25;500;22.21;1.3302564102564107;8;0.45525598526000977;0.25
market-3_ratio_44_0.25;500;22.21;1.3025333634924223;8;0.4213399887084961;0.25
market-3_ratio_45_0.25;500;22.21;1.3302564102564107;8;0.4579007625579834;0.25
market-3_ratio_46_0.25;500;22.21;1.3302564102564107;8;0.4550349712371826;0.25
market-3_ratio_47_0.25;500;22.21;1.3302564102564107;8;0.4466519355773926;0.25
market-3_ratio_48_0.25;500;22.21;1.3302564102564107;8;0.4003560543060303;0.25
market-3_ratio_49_0.25;500;22.21;1.3302564102564107;8;0.3837890625;0.25
market-3_ratio_50_0.25;500;22.21;1.3302564102564107;8;0.4668009281158447;0.25
market-3_ratio_51_0.25;500;22.21;1.3302564102564107;8;0.507847785949707;0.25
market-3_ratio_52_0.25;500;22.21;1.3302564102564107;8;0.4148070812225342;0.25
market-3_ratio_53_0.25;500;22.21;1.3302564102564107;8;0.4439249038696289;0.25
market-3_ratio_54_0.25;500;22.21;1.3302564102564107;8;0.42537903785705566;0.25
market-3_ratio_55_0.25;500;22.21;1.3302564102564107;8;0.4689760208129883;0.25
market-3_ratio_56_0.25;500;22.21;1.3302564102564107;8;0.42269301414489746;0.25
market-3_ratio_57_0.25;500;22.21;1.3302564102564107;8;0.4609379768371582;0.25
market-3_ratio_58_0.25;500;22.21;1.3302564102564107;8;0.4424757957458496;0.25
market-3_ratio_59_0.25;500;22.21;1.3302564102564107;8;0.4372999668121338;0.25
market-3_ratio_60_0.25;500;22.21;1.3302564102564107;8;0.44553399085998535;0.25
market-3_ratio_61_0.25;500;22.21;1.3302564102564107;8;0.4041149616241455;0.25
market-3_ratio_62_0.25;500;22.21;1.3302564102564107;8;0.4653618335723877;0.25
market-3_ratio_63_0.25;500;22.21;1.3302564102564107;8;0.4444758892059326;0.25
market-3_ratio_64_0.25;500;22.21;1.3302564102564107;8;0.4742860794067383;0.25
market-3_ratio_65_0.25;500;22.21;1.3302564102564107;8;0.4203226566314697;0.25
market-3_ratio_66_0.25;500;22.21;1.3302564102564107;8;0.4223651885986328;0.25
market-3_ratio_67_0.25;500;22.21;1.3302564102564107;8;0.46600914001464844;0.25
market-3_ratio_68_0.25;500;22.21;1.3302564102564107;8;0.47035908699035645;0.25
market-3_ratio_69_0.25;500;22.21;1.3302564102564107;8;0.38861918449401855;0.25
market-3_ratio_70_0.25;500;22.21;1.3302564102564107;8;0.4533731937408447;0.25
market-3_ratio_71_0.25;500;22.21;1.3302564102564107;8;0.43909502029418945;0.25
market-3_ratio_72_0.25;500;22.21;1.3302564102564107;8;0.4851830005645752;0.25
market-3_ratio_73_0.25;500;22.21;1.3302564102564107;8;0.482407808303833;0.25
market-3_ratio_74_0.25;500;22.21;1.3302564102564107;8;0.38769102096557617;0.25
market-3_ratio_75_0.25;500;22.21;1.3302564102564107;8;0.4664943218231201;0.25
market-3_ratio_76_0.25;500;22.21;1.3302564102564107;8;0.47076416015625;0.25
market-3_ratio_77_0.25;500;22.21;1.3302564102564107;8;0.4138948917388916;0.25
market-3_ratio_78_0.25;500;22.21;1.3302564102564107;8;0.4539511203765869;0.25
market-3_ratio_79_0.25;500;22.21;1.3302564102564107;8;0.49119114875793457;0.25
market-3_ratio_80_0.25;500;22.21;1.3302564102564107;8;0.46619701385498047;0.25
market-3_ratio_81_0.25;500;22.21;1.3302564102564107;8;0.47965407371520996;0.25
market-3_ratio_82_0.25;500;22.21;1.3302564102564107;8;0.4770538806915283;0.25
market-3_ratio_83_0.25;500;22.21;1.3302564102564107;8;0.46997714042663574;0.25
market-3_ratio_84_0.25;500;22.21;1.3302564102564107;8;0.4082150459289551;0.25
market-3_ratio_85_0.25;500;22.21;1.3302564102564107;8;0.409135103225708;0.25
market-3_ratio_86_0.25;500;22.21;1.3302564102564107;8;0.41092991828918457;0.25
market-3_ratio_87_0.25;500;22.21;1.3302564102564107;8;0.3716280460357666;0.25
market-3_ratio_88_0.25;500;22.21;1.3302564102564107;8;0.4230210781097412;0.25
market-3_ratio_89_0.25;500;22.21;1.3302564102564107;8;0.4280967712402344;0.25
market-3_ratio_90_0.25;500;22.21;1.3302564102564107;8;0.37352824211120605;0.25
market-3_ratio_91_0.25;500;22.21;1.3302564102564107;8;0.3859987258911133;0.25
