;|V|;D(%);ƒ;c;t(sec);α
wind-2005_ratio_1_0.25;500;8.43;90391.75;4;0.030692100524902344;0.25
wind-2005_ratio_2_0.25;500;8.43;90391.75;4;0.0728449821472168;0.25
wind-2005_ratio_3_0.25;500;8.43;90391.75;4;0.058602094650268555;0.25
wind-2005_ratio_4_0.25;500;8.43;90391.75;4;0.03812003135681152;0.25
wind-2005_ratio_5_0.25;500;8.43;89314.25;4;0.05215716361999512;0.25
wind-2005_ratio_6_0.25;500;8.43;89314.25;4;0.02688884735107422;0.25
wind-2005_ratio_7_0.25;500;8.43;89271.75757575757;4;0.028801918029785156;0.25
wind-2005_ratio_8_0.25;500;8.43;90391.75;4;0.04229617118835449;0.25
wind-2005_ratio_9_0.25;500;8.43;90391.75;4;0.07287406921386719;0.25
wind-2005_ratio_10_0.25;500;8.43;89773.75;4;0.04484200477600098;0.25
wind-2005_ratio_11_0.25;500;8.43;89264.0;4;0.03715205192565918;0.25
wind-2005_ratio_12_0.25;500;8.43;90391.75;4;0.026998043060302734;0.25
wind-2005_ratio_13_0.25;500;8.43;89773.75;4;0.02990102767944336;0.25
wind-2005_ratio_14_0.25;500;8.43;89314.25;4;0.03014969825744629;0.25
wind-2005_ratio_15_0.25;500;8.43;90391.75;4;0.035501718521118164;0.25
wind-2005_ratio_16_0.25;500;8.43;90391.75;4;0.0279691219329834;0.25
wind-2005_ratio_17_0.25;500;8.43;89773.75;4;0.0363011360168457;0.25
wind-2005_ratio_18_0.25;500;8.43;90391.75;4;0.028547048568725586;0.25
wind-2005_ratio_19_0.25;500;8.43;90391.75;4;0.041289329528808594;0.25
wind-2005_ratio_20_0.25;500;8.43;88373.0;4;0.03465390205383301;0.25
wind-2005_ratio_21_0.25;500;8.43;89033.5;4;0.034723758697509766;0.25
wind-2005_ratio_22_0.25;500;8.43;90391.75;4;0.051361799240112305;0.25
wind-2005_ratio_23_0.25;500;8.43;92427.33333333333;3;0.01733994483947754;0.25
wind-2005_ratio_24_0.25;500;8.43;90391.75;4;0.013803958892822266;0.25
wind-2005_ratio_25_0.25;500;8.43;90391.75;4;0.019771099090576172;0.25
wind-2005_ratio_26_0.25;500;8.43;89264.0;4;0.040704965591430664;0.25
wind-2005_ratio_27_0.25;500;8.43;90391.75;4;0.032128095626831055;0.25
wind-2005_ratio_28_0.25;500;8.43;89678.54545454546;4;0.018344879150390625;0.25
wind-2005_ratio_29_0.25;500;8.43;88606.25;4;0.036016225814819336;0.25
wind-2005_ratio_30_0.25;500;8.43;89773.75;4;0.019381999969482422;0.25
wind-2005_ratio_31_0.25;500;8.43;90391.75;4;0.06073498725891113;0.25
wind-2005_ratio_32_0.25;500;8.43;89773.75;4;0.03040790557861328;0.25
wind-2005_ratio_33_0.25;500;8.43;89773.75;4;0.023640871047973633;0.25
wind-2005_ratio_34_0.25;500;8.43;89773.75;4;0.023397207260131836;0.25
wind-2005_ratio_35_0.25;500;8.43;89033.5;4;0.026970863342285156;0.25
wind-2005_ratio_36_0.25;500;8.43;89314.25;4;0.045423030853271484;0.25
wind-2005_ratio_37_0.25;500;8.43;89033.5;4;0.024512052536010742;0.25
wind-2005_ratio_38_0.25;500;8.43;90391.75;4;0.04930686950683594;0.25
wind-2005_ratio_39_0.25;500;8.43;89314.25;4;0.03698897361755371;0.25
wind-2005_ratio_40_0.25;500;8.43;89678.54545454546;4;0.03294706344604492;0.25
wind-2005_ratio_41_0.25;500;8.43;90391.75;4;0.05528593063354492;0.25
wind-2005_ratio_42_0.25;500;8.43;90391.75;4;0.03551006317138672;0.25
