;|V|;D(%);ƒ;c;t(sec);α
wind-2006_ratio_1_0.25;500;7.76;28856.40404040404;8;6.848351001739502;0.25
wind-2006_ratio_2_0.25;500;7.76;49360.0;6;6.665755033493042;0.25
wind-2006_ratio_3_0.25;500;7.76;21368.615384615383;5;3.863927125930786;0.25
wind-2006_ratio_4_0.25;500;7.76;85223.59550561798;21;0.024428844451904297;0.25
wind-2006_ratio_5_0.25;500;7.76;47879.78082191781;7;7.482907056808472;0.25
wind-2006_ratio_6_0.25;500;7.76;17027.2;3;2.5703020095825195;0.25
wind-2006_ratio_7_0.25;500;7.76;0.5;2;1.2895140647888184;0.25
wind-2006_ratio_8_0.25;500;7.76;87151.59235668789;37;0.07781791687011719;0.25
wind-2006_ratio_9_0.25;500;7.76;85396.54237288136;14;0.011533260345458984;0.25
wind-2006_ratio_10_0.25;500;7.76;22483.5;3;2.5941741466522217;0.25
wind-2006_ratio_11_0.25;500;7.76;21842.18181818182;3;2.5515918731689453;0.25
wind-2006_ratio_12_0.25;500;7.76;85399.71929824562;20;0.018664836883544922;0.25
wind-2006_ratio_13_0.25;500;7.76;84115.3982300885;40;0.054013967514038086;0.25
wind-2006_ratio_14_0.25;500;7.76;17330.4;3;2.475337028503418;0.25
wind-2006_ratio_15_0.25;500;7.76;84926.58064516129;22;0.030761003494262695;0.25
wind-2006_ratio_16_0.25;500;7.76;39434.63736263736;8;7.62600302696228;0.25
wind-2006_ratio_17_0.25;500;7.76;84853.65779467681;31;0.05079507827758789;0.25
wind-2006_ratio_18_0.25;500;7.76;21424.625;5;3.831131935119629;0.25
wind-2006_ratio_19_0.25;500;7.76;0.5;2;1.2335281372070312;0.25
wind-2006_ratio_20_0.25;500;7.76;84652.77828054299;26;0.02887105941772461;0.25
wind-2006_ratio_21_0.25;500;7.76;84805.22905027933;21;0.018681049346923828;0.25
wind-2006_ratio_22_0.25;500;7.76;83735.01234567902;19;0.018507003784179688;0.25
wind-2006_ratio_23_0.25;500;7.76;21559.5;3;2.4745841026306152;0.25
wind-2006_ratio_24_0.25;500;7.76;9326.72542766019;473;95.97749900817871;0.25
wind-2006_ratio_25_0.25;500;7.76;84687.23981900452;26;0.03575420379638672;0.25
wind-2006_ratio_26_0.25;500;7.76;0.6666666666666666;2;1.2848718166351318;0.25
wind-2006_ratio_27_0.25;500;7.76;17083.2;3;2.51835298538208;0.25
wind-2006_ratio_28_0.25;500;7.76;34562.73170731707;4;3.71382212638855;0.25
wind-2006_ratio_29_0.25;500;7.76;42977.432835820895;6;6.422562122344971;0.25
wind-2006_ratio_30_0.25;500;7.76;85478.0;19;0.02639007568359375;0.25
wind-2006_ratio_31_0.25;500;7.76;13764.737929109684;512;141.54195094108582;0.25
wind-2006_ratio_32_0.25;500;7.76;12982.17543859649;4;2.4741220474243164;0.25
wind-2006_ratio_33_0.25;500;7.76;28635.88888888889;6;5.143148183822632;0.25
wind-2006_ratio_34_0.25;500;7.76;21458.75;3;2.570695161819458;0.25
wind-2006_ratio_35_0.25;500;7.76;37432.62608695652;10;8.782420873641968;0.25
wind-2006_ratio_36_0.25;500;7.76;35191.8;4;3.8611228466033936;0.25
wind-2006_ratio_37_0.25;500;7.76;34915.4;4;3.8545000553131104;0.25
wind-2006_ratio_38_0.25;500;7.76;21589.75;3;2.5435798168182373;0.25
wind-2006_ratio_39_0.25;500;7.76;85084.22222222222;17;0.019433021545410156;0.25
wind-2006_ratio_40_0.25;500;7.76;85514.77625570777;26;0.042799949645996094;0.25
wind-2006_ratio_41_0.25;500;7.76;85726.72131147541;29;0.040934085845947266;0.25
wind-2006_ratio_42_0.25;500;7.76;85773.43315508022;22;0.029356002807617188;0.25
wind-2006_ratio_43_0.25;500;7.76;46463.32710280374;10;10.152962923049927;0.25
wind-2006_ratio_44_0.25;500;7.76;22066.424242424244;3;2.5653090476989746;0.25
wind-2006_ratio_45_0.25;500;7.76;84859.15076923076;38;0.06674385070800781;0.25
wind-2006_ratio_46_0.25;500;7.76;24709.785714285714;9;6.2762486934661865;0.25
wind-2006_ratio_47_0.25;500;7.76;85910.5401459854;16;0.0166168212890625;0.25
wind-2006_ratio_48_0.25;500;7.76;13403.609022556391;19;7.686056137084961;0.25
wind-2006_ratio_49_0.25;500;7.76;21868.848484848484;3;2.4827821254730225;0.25
wind-2006_ratio_50_0.25;500;7.76;86076.04705882353;10;0.009001970291137695;0.25
wind-2006_ratio_51_0.25;500;7.76;20013.69230769231;8;5.1354310512542725;0.25
wind-2006_ratio_52_0.25;500;7.76;0.5;3;1.2812268733978271;0.25
wind-2006_ratio_53_0.25;500;7.76;42639.836734693876;5;5.04819393157959;0.25
wind-2006_ratio_54_0.25;500;7.76;22299.878787878788;3;2.475713014602661;0.25
wind-2006_ratio_55_0.25;500;7.76;21693.53846153846;5;3.8510801792144775;0.25
wind-2006_ratio_56_0.25;500;7.76;84756.50574712643;41;0.08162689208984375;0.25
wind-2006_ratio_57_0.25;500;7.76;83126.43137254902;42;0.07981586456298828;0.25
wind-2006_ratio_58_0.25;500;7.76;87250.70866141732;15;0.015856027603149414;0.25
wind-2006_ratio_59_0.25;500;7.76;86391.23144104803;27;0.04927396774291992;0.25
wind-2006_ratio_60_0.25;500;7.76;24856.41739130435;9;6.411877870559692;0.25
wind-2006_ratio_61_0.25;500;7.76;84232.14545454546;32;0.050534963607788086;0.25
wind-2006_ratio_62_0.25;500;7.76;0.5;4;1.2352252006530762;0.25
wind-2006_ratio_63_0.25;500;7.76;0.5;3;1.2375550270080566;0.25
wind-2006_ratio_64_0.25;500;7.76;85036.8813559322;21;0.02268695831298828;0.25
wind-2006_ratio_65_0.25;500;7.76;29603.333333333332;4;3.7992138862609863;0.25
wind-2006_ratio_66_0.25;500;7.76;17073.086419753086;6;3.865095853805542;0.25
wind-2006_ratio_67_0.25;500;7.76;83391.25423728813;42;0.07631683349609375;0.25
wind-2006_ratio_68_0.25;500;7.76;85857.88717948718;23;0.027472257614135742;0.25
wind-2006_ratio_69_0.25;500;7.76;84939.11312217194;26;0.036148786544799805;0.25
wind-2006_ratio_70_0.25;500;7.76;84495.32530120482;39;0.0666818618774414;0.25
wind-2006_ratio_71_0.25;500;7.76;0.6666666666666666;2;1.283329963684082;0.25
wind-2006_ratio_72_0.25;500;7.76;85822.69896193771;34;0.0570831298828125;0.25
wind-2006_ratio_73_0.25;500;7.76;43379.07692307692;6;6.272958755493164;0.25
wind-2006_ratio_74_0.25;500;7.76;84246.68094218416;55;0.12888216972351074;0.25
wind-2006_ratio_75_0.25;500;7.76;85222.65968586388;45;0.08793926239013672;0.25
wind-2006_ratio_76_0.25;500;7.76;85036.23529411765;18;0.01969313621520996;0.25
wind-2006_ratio_77_0.25;500;7.76;86489.6507936508;15;0.011928081512451172;0.25
wind-2006_ratio_78_0.25;500;7.76;24709.785714285714;9;6.387749910354614;0.25
