;|V|;D(%);ƒ;c;t(sec);α
c-fat500-1_ratio_1_0.25;501;3.96;0.6666666666666666;2;0.03298306465148926;0.25
c-fat500-1_ratio_2_0.25;501;3.96;0.5185185185185185;14;0.8181149959564209;0.25
c-fat500-1_ratio_3_0.25;501;3.96;0.6666666666666666;2;0.19089794158935547;0.25
c-fat500-1_ratio_4_0.25;501;3.96;0.6666666666666666;2;0.022099018096923828;0.25
c-fat500-1_ratio_5_0.25;501;3.96;0.6666666666666666;2;0.2844209671020508;0.25
c-fat500-1_ratio_6_0.25;501;3.96;0.6666666666666666;2;0.30750393867492676;0.25
c-fat500-1_ratio_7_0.25;501;3.96;0.6666666666666666;2;0.16694116592407227;0.25
c-fat500-1_ratio_8_0.25;501;3.96;1.0;2;0.0020647048950195312;0.25
c-fat500-1_ratio_9_0.25;501;3.96;0.5;3;0.046259164810180664;0.25
c-fat500-1_ratio_10_0.25;501;3.96;0.5;2;0.03383779525756836;0.25
c-fat500-1_ratio_11_0.25;501;3.96;0.5;3;0.04305887222290039;0.25
c-fat500-1_ratio_12_0.25;501;3.96;0.5172413793103449;15;1.1012401580810547;0.25
c-fat500-1_ratio_13_0.25;501;3.96;0.5;3;0.02757096290588379;0.25
c-fat500-1_ratio_14_0.25;501;3.96;0.5;3;0.05431199073791504;0.25
c-fat500-1_ratio_15_0.25;501;3.96;0.5;3;0.025860071182250977;0.25
c-fat500-1_ratio_16_0.25;501;3.96;0.5;3;0.06316184997558594;0.25
c-fat500-1_ratio_17_0.25;501;3.96;0.5151515151515151;17;1.3583040237426758;0.25
c-fat500-1_ratio_18_0.25;501;3.96;0.5263157894736842;10;0.49434399604797363;0.25
c-fat500-1_ratio_19_0.25;501;3.96;0.5;3;0.026295900344848633;0.25
c-fat500-1_ratio_20_0.25;501;3.96;0.5142857142857142;18;1.0476539134979248;0.25
c-fat500-1_ratio_21_0.25;501;3.96;0.5;2;0.0243380069732666;0.25
c-fat500-1_ratio_22_0.25;501;3.96;0.5;3;0.044426918029785156;0.25
c-fat500-1_ratio_23_0.25;501;3.96;0.5142857142857142;18;0.9495651721954346;0.25
c-fat500-1_ratio_24_0.25;501;3.96;0.5217391304347826;12;0.44161367416381836;0.25
c-fat500-1_ratio_25_0.25;501;3.96;0.5;3;0.02733016014099121;0.25
c-fat500-1_ratio_26_0.25;501;3.96;0.5;2;0.024531841278076172;0.25
c-fat500-1_ratio_27_0.25;501;3.96;0.5;3;0.030659198760986328;0.25
c-fat500-1_ratio_28_0.25;501;3.96;0.5;2;0.0252988338470459;0.25
c-fat500-1_ratio_29_0.25;501;3.96;0.5;3;0.033718109130859375;0.25
c-fat500-1_ratio_30_0.25;501;3.96;0.5;2;0.02286696434020996;0.25
c-fat500-1_ratio_31_0.25;501;3.96;0.5142857142857142;18;1.0889887809753418;0.25
