;|V|;D(%);ƒ;c;t(sec);α
email_ratio_1_0.25;1134;1.02;0.5;5;0.007486104965209961;0.25
email_ratio_2_0.25;1134;1.02;0.5;5;0.007966995239257812;0.25
email_ratio_3_0.25;1134;1.02;0.5;7;0.013625860214233398;0.25
email_ratio_4_0.25;1134;1.02;0.5;6;0.00799107551574707;0.25
email_ratio_5_0.25;1134;1.02;0.5;3;0.005743980407714844;0.25
email_ratio_6_0.25;1134;1.02;0.5;5;0.007483243942260742;0.25
email_ratio_7_0.25;1134;1.02;0.5;5;0.006074190139770508;0.25
email_ratio_8_0.25;1134;1.02;0.5;8;0.017519235610961914;0.25
email_ratio_9_0.25;1134;1.02;0.5;3;0.005612850189208984;0.25
email_ratio_10_0.25;1134;1.02;0.5;15;0.08618378639221191;0.25
email_ratio_11_0.25;1134;1.02;0.5;2;0.004008054733276367;0.25
email_ratio_12_0.25;1134;1.02;0.5;7;0.017527103424072266;0.25
email_ratio_13_0.25;1134;1.02;0.5;3;0.005063772201538086;0.25
email_ratio_14_0.25;1134;1.02;0.5;6;0.009797096252441406;0.25
email_ratio_15_0.25;1134;1.02;0.5;4;0.007197856903076172;0.25
email_ratio_16_0.25;1134;1.02;0.5;5;0.014685869216918945;0.25
email_ratio_17_0.25;1134;1.02;0.5;5;0.007039785385131836;0.25
email_ratio_18_0.25;1134;1.02;0.5;32;0.18559694290161133;0.25
email_ratio_19_0.25;1134;1.02;0.5;4;0.005071878433227539;0.25
email_ratio_20_0.25;1134;1.02;0.5;3;0.004952907562255859;0.25
email_ratio_21_0.25;1134;1.02;0.5;13;0.06761407852172852;0.25
email_ratio_22_0.25;1134;1.02;0.5;8;0.02696514129638672;0.25
email_ratio_23_0.25;1134;1.02;0.5;2;0.0063250064849853516;0.25
email_ratio_24_0.25;1134;1.02;0.5;3;0.007057905197143555;0.25
email_ratio_25_0.25;1134;1.02;0.5;9;0.02015089988708496;0.25
email_ratio_26_0.25;1134;1.02;0.5;2;0.006217002868652344;0.25
