;|V|;D(%);ƒ;c;t(sec);α
football_ratio_1_0.25;116;10.91;0.6666666666666666;2;0.3184781074523926;0.25
football_ratio_2_0.25;116;10.91;0.6666666666666666;2;0.36475086212158203;0.25
football_ratio_3_0.25;116;10.91;0.5;2;0.9413449764251709;0.25
football_ratio_4_0.25;116;10.91;0.6;3;1.26422119140625;0.25
football_ratio_5_0.25;116;10.91;0.5;8;0.936187744140625;0.25
football_ratio_6_0.25;116;10.91;0.6666666666666666;2;0.309920072555542;0.25
football_ratio_7_0.25;116;10.91;0.6666666666666666;2;0.6194798946380615;0.25
football_ratio_8_0.25;116;10.91;0.6666666666666666;2;0.3122859001159668;0.25
football_ratio_9_0.25;116;10.91;0.5;3;0.9262299537658691;0.25
football_ratio_10_0.25;116;10.91;0.6666666666666666;2;0.31345629692077637;0.25
football_ratio_11_0.25;116;10.91;0.5;4;0.9288272857666016;0.25
football_ratio_12_0.25;116;10.91;0.6666666666666666;2;0.323793888092041;0.25
football_ratio_13_0.25;116;10.91;0.5;1;0.00020503997802734375;0.25
football_ratio_14_0.25;116;10.91;0.6666666666666666;2;0.6168739795684814;0.25
football_ratio_15_0.25;116;10.91;0.5;18;1.6858398914337158;0.25
football_ratio_16_0.25;116;10.91;0.6666666666666666;2;0.31686925888061523;0.25
football_ratio_17_0.25;116;10.91;0.6666666666666666;2;0.6275961399078369;0.25
football_ratio_18_0.25;116;10.91;0.6666666666666666;2;0.9307310581207275;0.25
football_ratio_19_0.25;116;10.91;0.6666666666666666;2;0.31375694274902344;0.25
football_ratio_20_0.25;116;10.91;0.6666666666666666;2;0.6212007999420166;0.25
football_ratio_21_0.25;116;10.91;0.5714285714285714;4;1.5657079219818115;0.25
football_ratio_22_0.25;116;10.91;0.5;3;1.2343230247497559;0.25
football_ratio_23_0.25;116;10.91;0.6666666666666666;2;0.6251270771026611;0.25
football_ratio_24_0.25;116;10.91;0.5;8;0.9351439476013184;0.25
football_ratio_25_0.25;116;10.91;0.5;9;2.4955878257751465;0.25
football_ratio_26_0.25;116;10.91;0.6666666666666666;2;0.6236481666564941;0.25
football_ratio_27_0.25;116;10.91;0.5;6;1.2449588775634766;0.25
football_ratio_28_0.25;116;10.91;0.5;4;1.240386962890625;0.25
football_ratio_29_0.25;116;10.91;0.6666666666666666;2;0.6213467121124268;0.25
football_ratio_30_0.25;116;10.91;0.5;8;1.565608024597168;0.25
football_ratio_31_0.25;116;10.91;0.6666666666666666;2;0.6208000183105469;0.25
football_ratio_32_0.25;116;10.91;0.6666666666666666;2;0.3164339065551758;0.25
football_ratio_33_0.25;116;10.91;0.5;3;1.2377629280090332;0.25
football_ratio_34_0.25;116;10.91;0.6666666666666666;2;0.3121919631958008;0.25
football_ratio_35_0.25;116;10.91;0.5;24;1.348367691040039;0.25
football_ratio_36_0.25;116;10.91;0.6666666666666666;2;0.3095738887786865;0.25
football_ratio_37_0.25;116;10.91;0.5;5;0.9312520027160645;0.25
football_ratio_38_0.25;116;10.91;0.5;3;1.2394170761108398;0.25
football_ratio_39_0.25;116;10.91;0.5;13;0.9466891288757324;0.25
football_ratio_40_0.25;116;10.91;0.6666666666666666;2;0.3130052089691162;0.25
football_ratio_41_0.25;116;10.91;0.5;5;1.2475650310516357;0.25
football_ratio_42_0.25;116;10.91;0.6;3;1.5587959289550781;0.25
football_ratio_43_0.25;116;10.91;0.5;6;1.3137140274047852;0.25
football_ratio_44_0.25;116;10.91;0.6;3;1.7092041969299316;0.25
football_ratio_45_0.25;116;10.91;0.6666666666666666;2;0.6391797065734863;0.25
