;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_ratio_1_0.25;29;58.62;0.5;13;0.33612895011901855;0.25
johnson8-2-4_ratio_2_0.25;29;58.62;0.5;14;0.35747504234313965;0.25
johnson8-2-4_ratio_3_0.25;29;58.62;0.5;11;0.3547799587249756;0.25
johnson8-2-4_ratio_4_0.25;29;58.62;0.5;15;0.318281888961792;0.25
johnson8-2-4_ratio_5_0.25;29;58.62;0.5;12;0.28528785705566406;0.25
johnson8-2-4_ratio_6_0.25;29;58.62;0.5;15;0.489177942276001;0.25
johnson8-2-4_ratio_7_0.25;29;58.62;0.5;10;0.3033571243286133;0.25
johnson8-2-4_ratio_8_0.25;29;58.62;0.5;14;0.39002490043640137;0.25
johnson8-2-4_ratio_9_0.25;29;58.62;0.5;12;0.2786118984222412;0.25
johnson8-2-4_ratio_10_0.25;29;58.62;0.5;11;0.21851706504821777;0.25
johnson8-2-4_ratio_11_0.25;29;58.62;0.5;14;0.29540491104125977;0.25
johnson8-2-4_ratio_12_0.25;29;58.62;0.5;16;0.5276129245758057;0.25
johnson8-2-4_ratio_13_0.25;29;58.62;0.5;15;0.46973514556884766;0.25
johnson8-2-4_ratio_14_0.25;29;58.62;0.5;11;0.24781513214111328;0.25
johnson8-2-4_ratio_15_0.25;29;58.62;0.5;12;0.3704359531402588;0.25
johnson8-2-4_ratio_16_0.25;29;58.62;0.5;16;0.40232014656066895;0.25
johnson8-2-4_ratio_17_0.25;29;58.62;0.5;15;0.5184850692749023;0.25
johnson8-2-4_ratio_18_0.25;29;58.62;0.5;16;0.42547607421875;0.25
johnson8-2-4_ratio_19_0.25;29;58.62;0.5;15;0.43903326988220215;0.25
johnson8-2-4_ratio_20_0.25;29;58.62;0.5;12;0.2912790775299072;0.25
johnson8-2-4_ratio_21_0.25;29;58.62;0.5;12;0.30872011184692383;0.25
johnson8-2-4_ratio_22_0.25;29;58.62;0.5;15;0.5108511447906494;0.25
johnson8-2-4_ratio_23_0.25;29;58.62;0.5;11;0.20428109169006348;0.25
johnson8-2-4_ratio_24_0.25;29;58.62;0.5;14;0.4379880428314209;0.25
johnson8-2-4_ratio_25_0.25;29;58.62;0.5;14;0.4671480655670166;0.25
johnson8-2-4_ratio_26_0.25;29;58.62;0.5;13;0.2881810665130615;0.25
