;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_ratio_1_0.25;29;58.62;0.5555555555555556;5;0.012307882308959961;0.25
johnson8-2-4_ratio_2_0.25;29;58.62;0.5555555555555556;5;0.011196136474609375;0.25
johnson8-2-4_ratio_3_0.25;29;58.62;0.5555555555555556;5;0.01128697395324707;0.25
johnson8-2-4_ratio_4_0.25;29;58.62;0.5555555555555556;5;0.011543035507202148;0.25
johnson8-2-4_ratio_5_0.25;29;58.62;0.5555555555555556;5;0.010588884353637695;0.25
johnson8-2-4_ratio_6_0.25;29;58.62;0.5555555555555556;5;0.010279178619384766;0.25
johnson8-2-4_ratio_7_0.25;29;58.62;0.5555555555555556;5;0.009687185287475586;0.25
johnson8-2-4_ratio_8_0.25;29;58.62;0.5555555555555556;5;0.009160757064819336;0.25
johnson8-2-4_ratio_9_0.25;29;58.62;0.5555555555555556;5;0.011155843734741211;0.25
johnson8-2-4_ratio_10_0.25;29;58.62;0.5555555555555556;5;0.00997304916381836;0.25
johnson8-2-4_ratio_11_0.25;29;58.62;0.5555555555555556;5;0.009924173355102539;0.25
johnson8-2-4_ratio_12_0.25;29;58.62;0.5555555555555556;5;0.009966135025024414;0.25
johnson8-2-4_ratio_13_0.25;29;58.62;0.5555555555555556;5;0.009270191192626953;0.25
johnson8-2-4_ratio_14_0.25;29;58.62;0.5555555555555556;5;0.009989738464355469;0.25
johnson8-2-4_ratio_15_0.25;29;58.62;0.5555555555555556;5;0.009950876235961914;0.25
johnson8-2-4_ratio_16_0.25;29;58.62;0.5555555555555556;5;0.009715080261230469;0.25
johnson8-2-4_ratio_17_0.25;29;58.62;0.5555555555555556;5;0.00923919677734375;0.25
johnson8-2-4_ratio_18_0.25;29;58.62;0.5555555555555556;5;0.01014399528503418;0.25
johnson8-2-4_ratio_19_0.25;29;58.62;0.5555555555555556;5;0.010032176971435547;0.25
johnson8-2-4_ratio_20_0.25;29;58.62;0.5555555555555556;5;0.01067495346069336;0.25
johnson8-2-4_ratio_21_0.25;29;58.62;0.5555555555555556;5;0.012501001358032227;0.25
johnson8-2-4_ratio_22_0.25;29;58.62;0.5555555555555556;5;0.010601997375488281;0.25
johnson8-2-4_ratio_23_0.25;29;58.62;0.5555555555555556;5;0.011516094207763672;0.25
johnson8-2-4_ratio_24_0.25;29;58.62;0.5555555555555556;5;0.012178182601928711;0.25
johnson8-2-4_ratio_25_0.25;29;58.62;0.5555555555555556;5;0.012578010559082031;0.25
johnson8-2-4_ratio_26_0.25;29;58.62;0.5555555555555556;5;0.011425971984863281;0.25
johnson8-2-4_ratio_27_0.25;29;58.62;0.5555555555555556;5;0.012839794158935547;0.25
johnson8-2-4_ratio_28_0.25;29;58.62;0.5555555555555556;5;0.012928009033203125;0.25
johnson8-2-4_ratio_29_0.25;29;58.62;0.5555555555555556;5;0.009827852249145508;0.25
johnson8-2-4_ratio_30_0.25;29;58.62;0.5555555555555556;5;0.009322881698608398;0.25
johnson8-2-4_ratio_31_0.25;29;58.62;0.5555555555555556;5;0.010581016540527344;0.25
johnson8-2-4_ratio_32_0.25;29;58.62;0.5555555555555556;5;0.010604143142700195;0.25
johnson8-2-4_ratio_33_0.25;29;58.62;0.5555555555555556;5;0.01168680191040039;0.25
johnson8-2-4_ratio_34_0.25;29;58.62;0.5555555555555556;5;0.01041722297668457;0.25
johnson8-2-4_ratio_35_0.25;29;58.62;0.5555555555555556;5;0.010502099990844727;0.25
johnson8-2-4_ratio_36_0.25;29;58.62;0.5555555555555556;5;0.009777069091796875;0.25
johnson8-2-4_ratio_37_0.25;29;58.62;0.5555555555555556;5;0.01190495491027832;0.25
johnson8-2-4_ratio_38_0.25;29;58.62;0.5555555555555556;5;0.013852834701538086;0.25
johnson8-2-4_ratio_39_0.25;29;58.62;0.5555555555555556;5;0.012135028839111328;0.25
johnson8-2-4_ratio_40_0.25;29;58.62;0.5555555555555556;5;0.012706995010375977;0.25
johnson8-2-4_ratio_41_0.25;29;58.62;0.5555555555555556;5;0.013521909713745117;0.25
johnson8-2-4_ratio_42_0.25;29;58.62;0.5555555555555556;5;0.014724016189575195;0.25
johnson8-2-4_ratio_43_0.25;29;58.62;0.5555555555555556;5;0.020553112030029297;0.25
johnson8-2-4_ratio_44_0.25;29;58.62;0.5555555555555556;5;0.012728691101074219;0.25
johnson8-2-4_ratio_45_0.25;29;58.62;0.5555555555555556;5;0.010495901107788086;0.25
johnson8-2-4_ratio_46_0.25;29;58.62;0.5555555555555556;5;0.01147317886352539;0.25
johnson8-2-4_ratio_47_0.25;29;58.62;0.5555555555555556;5;0.009725809097290039;0.25
johnson8-2-4_ratio_48_0.25;29;58.62;0.5555555555555556;5;0.01050424575805664;0.25
johnson8-2-4_ratio_49_0.25;29;58.62;0.5555555555555556;5;0.010408878326416016;0.25
johnson8-2-4_ratio_50_0.25;29;58.62;0.5555555555555556;5;0.011779069900512695;0.25
johnson8-2-4_ratio_51_0.25;29;58.62;0.5555555555555556;5;0.01069021224975586;0.25
johnson8-2-4_ratio_52_0.25;29;58.62;0.5555555555555556;5;0.010466814041137695;0.25
johnson8-2-4_ratio_53_0.25;29;58.62;0.5555555555555556;5;0.009386062622070312;0.25
johnson8-2-4_ratio_54_0.25;29;58.62;0.5555555555555556;5;0.010874032974243164;0.25
johnson8-2-4_ratio_55_0.25;29;58.62;0.5555555555555556;5;0.010118961334228516;0.25
johnson8-2-4_ratio_56_0.25;29;58.62;0.5555555555555556;5;0.011347055435180664;0.25
johnson8-2-4_ratio_57_0.25;29;58.62;0.5555555555555556;5;0.011790990829467773;0.25
johnson8-2-4_ratio_58_0.25;29;58.62;0.5555555555555556;5;0.011378288269042969;0.25
johnson8-2-4_ratio_59_0.25;29;58.62;0.5555555555555556;5;0.012440919876098633;0.25
johnson8-2-4_ratio_60_0.25;29;58.62;0.5555555555555556;5;0.011292219161987305;0.25
johnson8-2-4_ratio_61_0.25;29;58.62;0.5555555555555556;5;0.015738248825073242;0.25
johnson8-2-4_ratio_62_0.25;29;58.62;0.5555555555555556;5;0.016835927963256836;0.25
