;|V|;D(%);ƒ;c;t(sec);α
karate_ratio_1_0.25;35;18.82;0.5454545454545454;6;0.014428138732910156;0.25
karate_ratio_2_0.25;35;18.82;0.5454545454545454;6;0.01934981346130371;0.25
karate_ratio_3_0.25;35;18.82;0.5454545454545454;6;0.016058921813964844;0.25
karate_ratio_4_0.25;35;18.82;0.5454545454545454;6;0.01686692237854004;0.25
karate_ratio_5_0.25;35;18.82;0.5454545454545454;6;0.015001058578491211;0.25
karate_ratio_6_0.25;35;18.82;0.5454545454545454;6;0.01165628433227539;0.25
karate_ratio_7_0.25;35;18.82;0.5454545454545454;6;0.01143503189086914;0.25
karate_ratio_8_0.25;35;18.82;0.5454545454545454;6;0.01173090934753418;0.25
karate_ratio_9_0.25;35;18.82;0.5454545454545454;6;0.012238025665283203;0.25
karate_ratio_10_0.25;35;18.82;0.5454545454545454;6;0.014892101287841797;0.25
karate_ratio_11_0.25;35;18.82;0.5454545454545454;6;0.013716936111450195;0.25
karate_ratio_12_0.25;35;18.82;0.5454545454545454;6;0.015780925750732422;0.25
karate_ratio_13_0.25;35;18.82;0.5454545454545454;6;0.016451120376586914;0.25
karate_ratio_14_0.25;35;18.82;0.5454545454545454;6;0.016232967376708984;0.25
karate_ratio_15_0.25;35;18.82;0.5454545454545454;6;0.015058040618896484;0.25
karate_ratio_16_0.25;35;18.82;0.5454545454545454;6;0.014652013778686523;0.25
karate_ratio_17_0.25;35;18.82;0.5454545454545454;6;0.012148857116699219;0.25
karate_ratio_18_0.25;35;18.82;0.5454545454545454;6;0.012663125991821289;0.25
karate_ratio_19_0.25;35;18.82;0.5454545454545454;6;0.012312173843383789;0.25
karate_ratio_20_0.25;35;18.82;0.5454545454545454;6;0.012045145034790039;0.25
karate_ratio_21_0.25;35;18.82;0.5454545454545454;6;0.011914968490600586;0.25
karate_ratio_22_0.25;35;18.82;0.5454545454545454;6;0.011713743209838867;0.25
karate_ratio_23_0.25;35;18.82;0.5454545454545454;6;0.011404991149902344;0.25
karate_ratio_24_0.25;35;18.82;0.5454545454545454;6;0.011624813079833984;0.25
karate_ratio_25_0.25;35;18.82;0.5454545454545454;6;0.011848211288452148;0.25
karate_ratio_26_0.25;35;18.82;0.5454545454545454;6;0.014471769332885742;0.25
karate_ratio_27_0.25;35;18.82;0.5454545454545454;6;0.013245820999145508;0.25
karate_ratio_28_0.25;35;18.82;0.5454545454545454;6;0.015542030334472656;0.25
karate_ratio_29_0.25;35;18.82;0.5454545454545454;6;0.01384878158569336;0.25
karate_ratio_30_0.25;35;18.82;0.5454545454545454;6;0.014636993408203125;0.25
karate_ratio_31_0.25;35;18.82;0.5454545454545454;6;0.01509404182434082;0.25
karate_ratio_32_0.25;35;18.82;0.5454545454545454;6;0.013592004776000977;0.25
karate_ratio_33_0.25;35;18.82;0.5454545454545454;6;0.01159214973449707;0.25
karate_ratio_34_0.25;35;18.82;0.5454545454545454;6;0.011852025985717773;0.25
karate_ratio_35_0.25;35;18.82;0.5454545454545454;6;0.012087106704711914;0.25
karate_ratio_36_0.25;35;18.82;0.5454545454545454;6;0.011555194854736328;0.25
karate_ratio_37_0.25;35;18.82;0.5454545454545454;6;0.011478900909423828;0.25
karate_ratio_38_0.25;35;18.82;0.5454545454545454;6;0.0114288330078125;0.25
karate_ratio_39_0.25;35;18.82;0.5454545454545454;6;0.011641979217529297;0.25
karate_ratio_40_0.25;35;18.82;0.5454545454545454;6;0.011938095092773438;0.25
karate_ratio_41_0.25;35;18.82;0.5454545454545454;6;0.011968851089477539;0.25
karate_ratio_42_0.25;35;18.82;0.5454545454545454;6;0.012705087661743164;0.25
karate_ratio_43_0.25;35;18.82;0.5454545454545454;6;0.016788244247436523;0.25
karate_ratio_44_0.25;35;18.82;0.5454545454545454;6;0.01567673683166504;0.25
karate_ratio_45_0.25;35;18.82;0.5454545454545454;6;0.013723134994506836;0.25
karate_ratio_46_0.25;35;18.82;0.5454545454545454;6;0.013367891311645508;0.25
karate_ratio_47_0.25;35;18.82;0.5454545454545454;6;0.016362905502319336;0.25
karate_ratio_48_0.25;35;18.82;0.5454545454545454;6;0.013974905014038086;0.25
karate_ratio_49_0.25;35;18.82;0.5454545454545454;6;0.015469789505004883;0.25
karate_ratio_50_0.25;35;18.82;0.5454545454545454;6;0.012226104736328125;0.25
karate_ratio_51_0.25;35;18.82;0.5454545454545454;6;0.01585698127746582;0.25
karate_ratio_52_0.25;35;18.82;0.5454545454545454;6;0.011589288711547852;0.25
karate_ratio_53_0.25;35;18.82;0.5454545454545454;6;0.01360011100769043;0.25
karate_ratio_54_0.25;35;18.82;0.5454545454545454;6;0.012634038925170898;0.25
karate_ratio_55_0.25;35;18.82;0.5454545454545454;6;0.012046098709106445;0.25
karate_ratio_56_0.25;35;18.82;0.5454545454545454;6;0.012343883514404297;0.25
karate_ratio_57_0.25;35;18.82;0.5454545454545454;6;0.013722896575927734;0.25
karate_ratio_58_0.25;35;18.82;0.5454545454545454;6;0.01853203773498535;0.25
karate_ratio_59_0.25;35;18.82;0.5454545454545454;6;0.01571798324584961;0.25
karate_ratio_60_0.25;35;18.82;0.5454545454545454;6;0.015021800994873047;0.25
karate_ratio_61_0.25;35;18.82;0.5454545454545454;6;0.01400899887084961;0.25
karate_ratio_62_0.25;35;18.82;0.5454545454545454;6;0.014768123626708984;0.25
karate_ratio_63_0.25;35;18.82;0.5454545454545454;6;0.024532079696655273;0.25
karate_ratio_64_0.25;35;18.82;0.5454545454545454;6;0.011772871017456055;0.25
karate_ratio_65_0.25;35;18.82;0.5454545454545454;6;0.011737823486328125;0.25
