;|V|;D(%);ƒ;c;t(sec);α
p_hat1000-1_ratio_1_0.25;1001;24.63;0.5;21;1.4218251705169678;0.25
p_hat1000-1_ratio_2_0.25;1001;24.63;0.5;14;0.9994232654571533;0.25
p_hat1000-1_ratio_3_0.25;1001;24.63;0.5;15;1.360605001449585;0.25
p_hat1000-1_ratio_4_0.25;1001;24.63;0.5;14;0.7866308689117432;0.25
p_hat1000-1_ratio_5_0.25;1001;24.63;0.5;19;1.0582551956176758;0.25
p_hat1000-1_ratio_6_0.25;1001;24.63;0.5;15;1.043360948562622;0.25
p_hat1000-1_ratio_7_0.25;1001;24.63;0.5;15;1.4957671165466309;0.25
p_hat1000-1_ratio_8_0.25;1001;24.63;0.5;18;1.3886799812316895;0.25
p_hat1000-1_ratio_9_0.25;1001;24.63;0.5;24;1.8596279621124268;0.25
p_hat1000-1_ratio_10_0.25;1001;24.63;0.5;22;1.6697039604187012;0.25
p_hat1000-1_ratio_11_0.25;1001;24.63;0.5;15;1.0584220886230469;0.25
p_hat1000-1_ratio_12_0.25;1001;24.63;0.5;13;0.6285851001739502;0.25
p_hat1000-1_ratio_13_0.25;1001;24.63;0.5;12;0.9586942195892334;0.25
p_hat1000-1_ratio_14_0.25;1001;24.63;0.5;14;1.1287832260131836;0.25
p_hat1000-1_ratio_15_0.25;1001;24.63;0.5;19;1.1408171653747559;0.25
p_hat1000-1_ratio_16_0.25;1001;24.63;0.5;14;0.6929681301116943;0.25
p_hat1000-1_ratio_17_0.25;1001;24.63;0.5;14;1.3971631526947021;0.25
p_hat1000-1_ratio_18_0.25;1001;24.63;0.5;14;0.9720792770385742;0.25
p_hat1000-1_ratio_19_0.25;1001;24.63;0.5;21;1.889153003692627;0.25
p_hat1000-1_ratio_20_0.25;1001;24.63;0.5;15;1.337921142578125;0.25
p_hat1000-1_ratio_21_0.25;1001;24.63;0.5;14;1.0538148880004883;0.25
p_hat1000-1_ratio_22_0.25;1001;24.63;0.5;14;0.521420955657959;0.25
p_hat1000-1_ratio_23_0.25;1001;24.63;0.5;12;0.8101370334625244;0.25
p_hat1000-1_ratio_24_0.25;1001;24.63;0.5;16;0.9446671009063721;0.25
p_hat1000-1_ratio_25_0.25;1001;24.63;0.5238095238095238;11;0.5126361846923828;0.25
p_hat1000-1_ratio_26_0.25;1001;24.63;0.5;22;1.3343369960784912;0.25
p_hat1000-1_ratio_27_0.25;1001;24.63;0.5;19;1.6035211086273193;0.25
p_hat1000-1_ratio_28_0.25;1001;24.63;0.5;16;1.0430421829223633;0.25
p_hat1000-1_ratio_29_0.25;1001;24.63;0.5;13;1.1577599048614502;0.25
p_hat1000-1_ratio_30_0.25;1001;24.63;0.5;15;0.5947630405426025;0.25
p_hat1000-1_ratio_31_0.25;1001;24.63;0.5;14;1.074253797531128;0.25
p_hat1000-1_ratio_32_0.25;1001;24.63;0.5;16;1.0519559383392334;0.25
p_hat1000-1_ratio_33_0.25;1001;24.63;0.5;22;1.9131708145141602;0.25
p_hat1000-1_ratio_34_0.25;1001;24.63;0.5;14;0.5230369567871094;0.25
p_hat1000-1_ratio_35_0.25;1001;24.63;0.5;19;1.6546080112457275;0.25
p_hat1000-1_ratio_36_0.25;1001;24.63;0.5;18;0.9577169418334961;0.25
p_hat1000-1_ratio_37_0.25;1001;24.63;0.5;20;1.1783649921417236;0.25
p_hat1000-1_ratio_38_0.25;1001;24.63;0.5;16;1.5965399742126465;0.25
p_hat1000-1_ratio_39_0.25;1001;24.63;0.5;18;1.20375394821167;0.25
p_hat1000-1_ratio_40_0.25;1001;24.63;0.5;15;0.49944186210632324;0.25
p_hat1000-1_ratio_41_0.25;1001;24.63;0.5;14;0.47778892517089844;0.25
p_hat1000-1_ratio_42_0.25;1001;24.63;0.5;16;1.0025300979614258;0.25
p_hat1000-1_ratio_43_0.25;1001;24.63;0.5;19;1.7344870567321777;0.25
p_hat1000-1_ratio_44_0.25;1001;24.63;0.5;18;1.5752449035644531;0.25
p_hat1000-1_ratio_45_0.25;1001;24.63;0.5;24;1.7228412628173828;0.25
p_hat1000-1_ratio_46_0.25;1001;24.63;0.5;16;1.197188138961792;0.25
p_hat1000-1_ratio_47_0.25;1001;24.63;0.5;19;1.4231441020965576;0.25
p_hat1000-1_ratio_48_0.25;1001;24.63;0.5;11;0.5552511215209961;0.25
p_hat1000-1_ratio_49_0.25;1001;24.63;0.5;11;0.7619781494140625;0.25
p_hat1000-1_ratio_50_0.25;1001;24.63;0.6666666666666666;2;0.18113398551940918;0.25
p_hat1000-1_ratio_51_0.25;1001;24.63;0.5;13;0.9484920501708984;0.25
p_hat1000-1_ratio_52_0.25;1001;24.63;0.5;20;1.7385749816894531;0.25
p_hat1000-1_ratio_53_0.25;1001;24.63;0.5;18;1.2372980117797852;0.25
p_hat1000-1_ratio_54_0.25;1001;24.63;0.5;23;1.4711029529571533;0.25
p_hat1000-1_ratio_55_0.25;1001;24.63;0.5;13;0.5601770877838135;0.25
p_hat1000-1_ratio_56_0.25;1001;24.63;0.5;16;1.4341840744018555;0.25
p_hat1000-1_ratio_57_0.25;1001;24.63;0.5;18;1.2435591220855713;0.25
p_hat1000-1_ratio_58_0.25;1001;24.63;0.5;10;0.3598511219024658;0.25
p_hat1000-1_ratio_59_0.25;1001;24.63;0.5;16;1.2158870697021484;0.25
p_hat1000-1_ratio_60_0.25;1001;24.63;0.5;11;0.865419864654541;0.25
p_hat1000-1_ratio_61_0.25;1001;24.63;0.5;18;1.505465030670166;0.25
p_hat1000-1_ratio_62_0.25;1001;24.63;0.5;25;1.7610619068145752;0.25
p_hat1000-1_ratio_63_0.25;1001;24.63;0.5;14;0.5741491317749023;0.25
p_hat1000-1_ratio_64_0.25;1001;24.63;0.5;13;0.4935908317565918;0.25
p_hat1000-1_ratio_65_0.25;1001;24.63;0.5;10;0.7132523059844971;0.25
p_hat1000-1_ratio_66_0.25;1001;24.63;0.5;15;0.7898492813110352;0.25
p_hat1000-1_ratio_67_0.25;1001;24.63;0.5;16;1.1581978797912598;0.25
p_hat1000-1_ratio_68_0.25;1001;24.63;0.5;20;1.2295401096343994;0.25
p_hat1000-1_ratio_69_0.25;1001;24.63;0.5;15;1.1063597202301025;0.25
p_hat1000-1_ratio_70_0.25;1001;24.63;0.5;16;1.0573370456695557;0.25
p_hat1000-1_ratio_71_0.25;1001;24.63;0.5;25;1.58840012550354;0.25
p_hat1000-1_ratio_72_0.25;1001;24.63;0.5;13;0.5237367153167725;0.25
p_hat1000-1_ratio_73_0.25;1001;24.63;0.5;22;1.6965489387512207;0.25
p_hat1000-1_ratio_74_0.25;1001;24.63;0.5;13;0.9125909805297852;0.25
p_hat1000-1_ratio_75_0.25;1001;24.63;0.5;16;1.5790550708770752;0.25
p_hat1000-1_ratio_76_0.25;1001;24.63;0.5;20;1.5978789329528809;0.25
p_hat1000-1_ratio_77_0.25;1001;24.63;0.5;22;1.223660945892334;0.25
p_hat1000-1_ratio_78_0.25;1001;24.63;0.5;23;1.6081628799438477;0.25
p_hat1000-1_ratio_79_0.25;1001;24.63;0.5;25;1.8859081268310547;0.25
p_hat1000-1_ratio_80_0.25;1001;24.63;0.5;14;0.6839449405670166;0.25
p_hat1000-1_ratio_81_0.25;1001;24.63;0.5;16;1.051778793334961;0.25
p_hat1000-1_ratio_82_0.25;1001;24.63;0.5;16;0.7453742027282715;0.25
p_hat1000-1_ratio_83_0.25;1001;24.63;0.5;22;1.7571649551391602;0.25
p_hat1000-1_ratio_84_0.25;1001;24.63;0.5;15;0.8337900638580322;0.25
p_hat1000-1_ratio_85_0.25;1001;24.63;0.5;15;1.1594140529632568;0.25
p_hat1000-1_ratio_86_0.25;1001;24.63;0.5;15;1.0235819816589355;0.25
p_hat1000-1_ratio_87_0.25;1001;24.63;0.5;13;0.6430001258850098;0.25
p_hat1000-1_ratio_88_0.25;1001;24.63;0.5;14;1.039341926574707;0.25
p_hat1000-1_ratio_89_0.25;1001;24.63;0.5;17;0.9641728401184082;0.25
p_hat1000-1_ratio_90_0.25;1001;24.63;0.5;12;0.47693538665771484;0.25
p_hat1000-1_ratio_91_0.25;1001;24.63;0.5;13;1.103846788406372;0.25
p_hat1000-1_ratio_92_0.25;1001;24.63;0.5;21;1.2193751335144043;0.25
p_hat1000-1_ratio_93_0.25;1001;24.63;0.5;21;1.1962671279907227;0.25
p_hat1000-1_ratio_94_0.25;1001;24.63;0.5;16;0.9910030364990234;0.25
p_hat1000-1_ratio_95_0.25;1001;24.63;0.5;14;1.2150561809539795;0.25
p_hat1000-1_ratio_96_0.25;1001;24.63;0.5;14;0.9790127277374268;0.25
p_hat1000-1_ratio_97_0.25;1001;24.63;0.5;24;1.5643911361694336;0.25
p_hat1000-1_ratio_98_0.25;1001;24.63;0.5;19;1.1090161800384521;0.25
p_hat1000-1_ratio_99_0.25;1001;24.63;0.5;15;1.0665831565856934;0.25
p_hat1000-1_ratio_100_0.25;1001;24.63;0.5;25;2.4651830196380615;0.25
p_hat1000-1_ratio_1_0.5;1001;24.63;0.5;21;1.8421211242675781;0.5
p_hat1000-1_ratio_2_0.5;1001;24.63;0.5;13;0.6712510585784912;0.5
p_hat1000-1_ratio_3_0.5;1001;24.63;0.5;12;0.7231729030609131;0.5
p_hat1000-1_ratio_4_0.5;1001;24.63;0.5;15;0.8593752384185791;0.5
p_hat1000-1_ratio_5_0.5;1001;24.63;0.5;18;1.570699691772461;0.5
p_hat1000-1_ratio_6_0.5;1001;24.63;0.5;18;1.1704399585723877;0.5
p_hat1000-1_ratio_7_0.5;1001;24.63;0.5;11;0.6503171920776367;0.5
p_hat1000-1_ratio_8_0.5;1001;24.63;0.5;17;1.2396869659423828;0.5
p_hat1000-1_ratio_9_0.5;1001;24.63;0.5;17;1.50357985496521;0.5
p_hat1000-1_ratio_10_0.5;1001;24.63;0.5;10;0.6888818740844727;0.5
p_hat1000-1_ratio_11_0.5;1001;24.63;0.5;17;1.175412893295288;0.5
p_hat1000-1_ratio_12_0.5;1001;24.63;0.5;17;1.0175862312316895;0.5
p_hat1000-1_ratio_13_0.5;1001;24.63;0.5;19;1.1981236934661865;0.5
p_hat1000-1_ratio_14_0.5;1001;24.63;0.5;15;0.658034086227417;0.5
p_hat1000-1_ratio_15_0.5;1001;24.63;0.5;17;1.1474318504333496;0.5
p_hat1000-1_ratio_16_0.5;1001;24.63;0.5;17;0.8752231597900391;0.5
p_hat1000-1_ratio_17_0.5;1001;24.63;0.5;15;0.5818932056427002;0.5
p_hat1000-1_ratio_18_0.5;1001;24.63;0.5;15;1.0689361095428467;0.5
p_hat1000-1_ratio_19_0.5;1001;24.63;0.5;20;1.300050973892212;0.5
p_hat1000-1_ratio_20_0.5;1001;24.63;0.5;20;1.3014018535614014;0.5
p_hat1000-1_ratio_21_0.5;1001;24.63;0.5;14;0.5706889629364014;0.5
p_hat1000-1_ratio_22_0.5;1001;24.63;0.5;17;1.2421748638153076;0.5
