;|V|;D(%);ƒ;c;t(sec);α
c-fat500-1_ratio_1_0.25;500;3.57;1.2161458333333333;7;1.2482807636260986;0.25
c-fat500-1_ratio_2_0.25;500;3.57;0.0851063829787234;3;1.7650833129882812;0.25
c-fat500-1_ratio_3_0.25;500;3.57;2.969924812030075;6;0.9851469993591309;0.25
c-fat500-1_ratio_4_0.25;500;3.57;0.6666666666666666;2;0.8843791484832764;0.25
c-fat500-1_ratio_5_0.25;500;3.57;0.926829268292683;3;1.775705099105835;0.25
c-fat500-1_ratio_6_0.25;500;3.57;0.5;2;0.8816530704498291;0.25
c-fat500-1_ratio_7_0.25;500;3.57;1.7985347985347986;7;1.2008907794952393;0.25
c-fat500-1_ratio_8_0.25;500;3.57;0.375;3;1.7626290321350098;0.25
c-fat500-1_ratio_9_0.25;500;3.57;2.736842105263158;3;1.7625939846038818;0.25
c-fat500-1_ratio_10_0.25;500;3.57;1.3554817275747508;8;1.3322031497955322;0.25
c-fat500-1_ratio_11_0.25;500;3.57;2.3157894736842106;3;1.7719099521636963;0.25
c-fat500-1_ratio_12_0.25;500;3.57;0.8550295857988166;6;0.755181074142456;0.25
c-fat500-1_ratio_13_0.25;500;3.57;0.32142857142857145;3;1.7663640975952148;0.25
c-fat500-1_ratio_14_0.25;500;3.57;13.6;3;1.7804160118103027;0.25
c-fat500-1_ratio_15_0.25;500;3.57;1.1168384879725086;7;1.830475091934204;0.25
c-fat500-1_ratio_16_0.25;500;3.57;1.025974025974026;4;1.7641539573669434;0.25
c-fat500-1_ratio_17_0.25;500;3.57;1.322505800464037;11;1.2541871070861816;0.25
c-fat500-1_ratio_18_0.25;500;3.57;0.9297752808988764;8;0.8570418357849121;0.25
c-fat500-1_ratio_19_0.25;500;3.57;2.2439024390243905;3;1.7788059711456299;0.25
c-fat500-1_ratio_20_0.25;500;3.57;1.4536082474226804;6;0.9815165996551514;0.25
c-fat500-1_ratio_21_0.25;500;3.57;1.6944444444444444;7;1.0025520324707031;0.25
c-fat500-1_ratio_22_0.25;500;3.57;0.8181818181818182;3;1.7735631465911865;0.25
