;|V|;D(%);ƒ;c;t(sec);α
email_ratio_1_0.25;1133;0.85;6.065420560747664;2;0.00041222572326660156;0.25
email_ratio_2_0.25;1133;0.85;0.3905579399141631;4;0.001277923583984375;0.25
email_ratio_3_0.25;1133;0.85;1.0731261425959782;3;0.0009248256683349609;0.25
email_ratio_4_0.25;1133;0.85;1.223529411764706;3;0.001077890396118164;0.25
email_ratio_5_0.25;1133;0.85;0.6173044925124792;18;0.030219078063964844;0.25
email_ratio_6_0.25;1133;0.85;0.8439024390243902;3;0.0014641284942626953;0.25
email_ratio_7_0.25;1133;0.85;0.4453224573030844;20;0.06005215644836426;0.25
email_ratio_8_0.25;1133;0.85;0.7379310344827587;4;0.003718852996826172;0.25
email_ratio_9_0.25;1133;0.85;0.43217984339479665;5;0.0016851425170898438;0.25
email_ratio_10_0.25;1133;0.85;0.9133858267716536;3;0.0025479793548583984;0.25
email_ratio_11_0.25;1133;0.85;0.8907878282617757;4;0.002694845199584961;0.25
email_ratio_12_0.25;1133;0.85;0.6458635703918723;8;0.013477087020874023;0.25
email_ratio_13_0.25;1133;0.85;1.2354266403829908;14;0.0230410099029541;0.25
email_ratio_14_0.25;1133;0.85;2.478527607361963;3;0.0012967586517333984;0.25
email_ratio_15_0.25;1133;0.85;0.2952598515134209;2;0.0004680156707763672;0.25
email_ratio_16_0.25;1133;0.85;1.0383463151587777;6;0.004199981689453125;0.25
email_ratio_17_0.25;1133;0.85;0.3912102186620481;17;0.029293060302734375;0.25
email_ratio_18_0.25;1133;0.85;0.44801167457132435;7;0.008928060531616211;0.25
email_ratio_19_0.25;1133;0.85;2.6085918854415273;8;0.0071370601654052734;0.25
email_ratio_20_0.25;1133;0.85;1.467899891186072;2;0.00037598609924316406;0.25
email_ratio_21_0.25;1133;0.85;0.4817073170731707;9;0.007521867752075195;0.25
email_ratio_22_0.25;1133;0.85;1.22265778126225;5;0.0036132335662841797;0.25
email_ratio_23_0.25;1133;0.85;0.6811495039343141;13;0.03209805488586426;0.25
email_ratio_24_0.25;1133;0.85;0.25027563395810365;6;0.011263132095336914;0.25
email_ratio_25_0.25;1133;0.85;1.0124223602484472;14;0.031877756118774414;0.25
email_ratio_26_0.25;1133;0.85;0.016129032258064516;7;0.006384134292602539;0.25
email_ratio_27_0.25;1133;0.85;0.7727983324648254;15;0.026427030563354492;0.25
email_ratio_28_0.25;1133;0.85;2.3303964757709252;2;0.0002651214599609375;0.25
email_ratio_29_0.25;1133;0.85;0.8260869565217391;2;0.00036597251892089844;0.25
email_ratio_30_0.25;1133;0.85;7.158273381294964;1;0.0001232624053955078;0.25
email_ratio_31_0.25;1133;0.85;1.97117903930131;3;0.0009191036224365234;0.25
email_ratio_32_0.25;1133;0.85;1.2949658487224893;8;0.00946187973022461;0.25
email_ratio_33_0.25;1133;0.85;1.1291776192264364;5;0.013618946075439453;0.25
email_ratio_34_0.25;1133;0.85;0.5318409880355075;7;0.011379241943359375;0.25
email_ratio_35_0.25;1133;0.85;1.031044776119403;3;0.0009419918060302734;0.25
