;|V|;D(%);ƒ;c;t(sec);α
email_ratio_1_0.25;1133;0.85;1.0192307692307692;5;0.008500099182128906;0.25
email_ratio_2_0.25;1133;0.85;1.4107142857142858;5;0.0115509033203125;0.25
email_ratio_3_0.25;1133;0.85;0.5172018348623854;7;0.008518218994140625;0.25
email_ratio_4_0.25;1133;0.85;0.5172018348623854;7;0.0036401748657226562;0.25
email_ratio_5_0.25;1133;0.85;0.13315013739695228;8;0.003979921340942383;0.25
email_ratio_6_0.25;1133;0.85;0.3948339483394834;5;0.002933979034423828;0.25
email_ratio_7_0.25;1133;0.85;0.1317365269461078;3;0.0049631595611572266;0.25
email_ratio_8_0.25;1133;0.85;8.325657894736842;5;0.0022127628326416016;0.25
email_ratio_9_0.25;1133;0.85;0.13315013739695228;8;0.01136016845703125;0.25
email_ratio_10_0.25;1133;0.85;8.174757281553399;5;0.0033299922943115234;0.25
email_ratio_11_0.25;1133;0.85;1.155893536121673;9;0.006742000579833984;0.25
email_ratio_12_0.25;1133;0.85;0.030596788851863073;6;0.01422882080078125;0.25
email_ratio_13_0.25;1133;0.85;1.554054054054054;3;0.002802133560180664;0.25
email_ratio_14_0.25;1133;0.85;0.23844193665817257;6;0.008512020111083984;0.25
email_ratio_15_0.25;1133;0.85;1.3076923076923077;5;0.0035250186920166016;0.25
email_ratio_16_0.25;1133;0.85;1.2139789144865287;5;0.002655029296875;0.25
email_ratio_17_0.25;1133;0.85;0.44550669216061184;4;0.007049083709716797;0.25
email_ratio_18_0.25;1133;0.85;0.5180722891566265;4;0.002313852310180664;0.25
email_ratio_19_0.25;1133;0.85;0.6775147928994083;3;0.0010020732879638672;0.25
email_ratio_20_0.25;1133;0.85;1.8406813627254508;5;0.006084918975830078;0.25
email_ratio_21_0.25;1133;0.85;1.4532179556517035;12;0.0063800811767578125;0.25
email_ratio_22_0.25;1133;0.85;0.5172018348623854;7;0.005789041519165039;0.25
email_ratio_23_0.25;1133;0.85;2.7119476268412437;2;0.0006420612335205078;0.25
email_ratio_24_0.25;1133;0.85;0.2830957230142566;5;0.004960060119628906;0.25
email_ratio_25_0.25;1133;0.85;1.234923137564052;5;0.002418994903564453;0.25
email_ratio_26_0.25;1133;0.85;0.008747220163083765;6;0.011833906173706055;0.25
email_ratio_27_0.25;1133;0.85;1.8406813627254508;5;0.0041120052337646484;0.25
email_ratio_28_0.25;1133;0.85;1.4107142857142858;5;0.00953817367553711;0.25
email_ratio_29_0.25;1133;0.85;0.32123834886817576;7;0.002877950668334961;0.25
email_ratio_30_0.25;1133;0.85;0.46827794561933533;3;0.0014629364013671875;0.25
email_ratio_31_0.25;1133;0.85;0.2852285606346808;6;0.01757216453552246;0.25
email_ratio_32_0.25;1133;0.85;15.016949152542374;5;0.004831075668334961;0.25
email_ratio_33_0.25;1133;0.85;3.3615384615384616;3;0.0062029361724853516;0.25
email_ratio_34_0.25;1133;0.85;0.5180722891566265;4;0.0029189586639404297;0.25
email_ratio_35_0.25;1133;0.85;1.3723849372384938;3;0.0035130977630615234;0.25
email_ratio_36_0.25;1133;0.85;0.5172018348623854;7;0.0034818649291992188;0.25
email_ratio_37_0.25;1133;0.85;0.3948339483394834;5;0.012398242950439453;0.25
email_ratio_38_0.25;1133;0.85;1.0192307692307692;5;0.003701925277709961;0.25
email_ratio_39_0.25;1133;0.85;1.4532179556517035;12;0.0046460628509521484;0.25
email_ratio_40_0.25;1133;0.85;1.4532179556517035;12;0.008144140243530273;0.25
email_ratio_41_0.25;1133;0.85;0.37406958629046216;7;0.012074947357177734;0.25
email_ratio_42_0.25;1133;0.85;2.988276670574443;3;0.0010120868682861328;0.25
email_ratio_43_0.25;1133;0.85;1.4532179556517035;12;0.009337902069091797;0.25
email_ratio_44_0.25;1133;0.85;8.325657894736842;5;0.005429983139038086;0.25
email_ratio_45_0.25;1133;0.85;15.016949152542374;5;0.0022759437561035156;0.25
email_ratio_46_0.25;1133;0.85;1.4532179556517035;12;0.009294986724853516;0.25
email_ratio_47_0.25;1133;0.85;1.4532179556517035;12;0.02478313446044922;0.25
email_ratio_48_0.25;1133;0.85;1.622976098689283;3;0.002195119857788086;0.25
email_ratio_49_0.25;1133;0.85;0.8219794344473008;5;0.0029180049896240234;0.25
email_ratio_50_0.25;1133;0.85;1.113699906803355;6;0.0032401084899902344;0.25
email_ratio_51_0.25;1133;0.85;0.33529584927877537;4;0.007803916931152344;0.25
email_ratio_52_0.25;1133;0.85;1.0912863070539418;4;0.0030100345611572266;0.25
email_ratio_53_0.25;1133;0.85;0.2807357212003872;7;0.0170590877532959;0.25
