;|V|;D(%);ƒ;c;t(sec);α
football_ratio_1_0.25;115;9.35;1.1497359428393912;7;0.002413034439086914;0.25
football_ratio_2_0.25;115;9.35;1.397463002114165;2;0.0003628730773925781;0.25
football_ratio_3_0.25;115;9.35;2.271153846153846;3;0.0005011558532714844;0.25
football_ratio_4_0.25;115;9.35;1.7726161369193154;4;0.0007469654083251953;0.25
football_ratio_5_0.25;115;9.35;0.8429035752979415;3;0.0005099773406982422;0.25
football_ratio_6_0.25;115;9.35;1.133310946944258;13;0.008266925811767578;0.25
football_ratio_7_0.25;115;9.35;0.5827526132404182;15;0.01066899299621582;0.25
football_ratio_8_0.25;115;9.35;1.1026355260338547;20;0.014074087142944336;0.25
football_ratio_9_0.25;115;9.35;1.6727272727272726;7;0.0036840438842773438;0.25
football_ratio_10_0.25;115;9.35;1.0232558139534884;6;0.0038590431213378906;0.25
football_ratio_11_0.25;115;9.35;0.7017114914425427;6;0.0026810169219970703;0.25
football_ratio_12_0.25;115;9.35;0.9220481467329003;16;0.00892019271850586;0.25
football_ratio_13_0.25;115;9.35;0.5536265432098766;8;0.0034332275390625;0.25
football_ratio_14_0.25;115;9.35;0.7883559135847675;7;0.002964019775390625;0.25
football_ratio_15_0.25;115;9.35;3.0165289256198347;3;0.0005271434783935547;0.25
football_ratio_16_0.25;115;9.35;1.6484018264840183;5;0.0012660026550292969;0.25
football_ratio_17_0.25;115;9.35;0.785264483627204;5;0.0013210773468017578;0.25
football_ratio_18_0.25;115;9.35;1.0437205315045006;6;0.0013589859008789062;0.25
football_ratio_19_0.25;115;9.35;0.8240058020065273;16;0.014818906784057617;0.25
football_ratio_20_0.25;115;9.35;0.8651315789473685;2;0.00152587890625;0.25
football_ratio_21_0.25;115;9.35;0.44678590401983354;9;0.0061168670654296875;0.25
football_ratio_22_0.25;115;9.35;0.8566978193146417;3;0.0005788803100585938;0.25
football_ratio_23_0.25;115;9.35;0.6470588235294118;2;0.0004839897155761719;0.25
football_ratio_24_0.25;115;9.35;2.960419091967404;3;0.0005199909210205078;0.25
football_ratio_25_0.25;115;9.35;1.5563570784490532;5;0.006411075592041016;0.25
football_ratio_26_0.25;115;9.35;0.3858093126385809;2;0.00033402442932128906;0.25
football_ratio_27_0.25;115;9.35;1.63312693498452;3;0.00043320655822753906;0.25
football_ratio_28_0.25;115;9.35;2.1636363636363636;6;0.0042188167572021484;0.25
football_ratio_29_0.25;115;9.35;2.314174378957623;6;0.0013020038604736328;0.25
football_ratio_30_0.25;115;9.35;0.8054474708171206;8;0.0033791065216064453;0.25
football_ratio_31_0.25;115;9.35;0.6470588235294118;2;0.0005037784576416016;0.25
football_ratio_32_0.25;115;9.35;0.9362436548223351;12;0.03620004653930664;0.25
football_ratio_33_0.25;115;9.35;1.3873684210526316;3;0.0029549598693847656;0.25
football_ratio_34_0.25;115;9.35;0.14285714285714285;3;0.002961874008178711;0.25
football_ratio_35_0.25;115;9.35;1.3352553542009884;5;0.0015270709991455078;0.25
football_ratio_36_0.25;115;9.35;0.5339342523860021;6;0.004674196243286133;0.25
football_ratio_37_0.25;115;9.35;1.0097255991663772;6;0.0014111995697021484;0.25
football_ratio_38_0.25;115;9.35;1.2019417475728156;3;0.00044417381286621094;0.25
football_ratio_39_0.25;115;9.35;1.1053164556962025;11;0.013102054595947266;0.25
football_ratio_40_0.25;115;9.35;0.9518072289156626;3;0.0008349418640136719;0.25
football_ratio_41_0.25;115;9.35;2.0773405698778835;2;0.00025081634521484375;0.25
football_ratio_42_0.25;115;9.35;0.8424045491470349;2;0.0003292560577392578;0.25
football_ratio_43_0.25;115;9.35;0.8618751848565513;12;0.009813070297241211;0.25
football_ratio_44_0.25;115;9.35;2.135135135135135;4;0.004615068435668945;0.25
