;|V|;D(%);ƒ;c;t(sec);α
johnson8-2-4_ratio_1_0.25;28;55.56;0.8767123287671232;3;1.7639741897583008;0.25
johnson8-2-4_ratio_2_0.25;28;55.56;1.0432098765432098;6;2.6524672508239746;0.25
johnson8-2-4_ratio_3_0.25;28;55.56;1.3091482649842272;8;0.4355142116546631;0.25
johnson8-2-4_ratio_4_0.25;28;55.56;0.6666666666666666;2;0.8819818496704102;0.25
johnson8-2-4_ratio_5_0.25;28;55.56;0.953125;3;1.7685511112213135;0.25
johnson8-2-4_ratio_6_0.25;28;55.56;0.9372822299651568;11;1.312004804611206;0.25
johnson8-2-4_ratio_7_0.25;28;55.56;1.5687022900763359;7;0.9083809852600098;0.25
johnson8-2-4_ratio_8_0.25;28;55.56;1.0714285714285714;8;0.3927650451660156;0.25
johnson8-2-4_ratio_9_0.25;28;55.56;1.8633093525179856;8;3.530012845993042;0.25
johnson8-2-4_ratio_10_0.25;28;55.56;0.6666666666666666;2;0.8786642551422119;0.25
johnson8-2-4_ratio_11_0.25;28;55.56;1.0942028985507246;10;1.1266779899597168;0.25
johnson8-2-4_ratio_12_0.25;28;55.56;1.7338709677419355;10;1.4903030395507812;0.25
johnson8-2-4_ratio_13_0.25;28;55.56;0.6666666666666666;2;0.884946346282959;0.25
johnson8-2-4_ratio_14_0.25;28;55.56;0.47244094488188976;4;2.6449148654937744;0.25
johnson8-2-4_ratio_15_0.25;28;55.56;6.769230769230769;3;1.7713792324066162;0.25
johnson8-2-4_ratio_16_0.25;28;55.56;0.6666666666666666;2;0.8916571140289307;0.25
johnson8-2-4_ratio_17_0.25;28;55.56;1.10828025477707;7;1.181873083114624;0.25
johnson8-2-4_ratio_18_0.25;28;55.56;0.9230769230769231;7;0.9167289733886719;0.25
johnson8-2-4_ratio_19_0.25;28;55.56;1.2874493927125505;7;1.1188101768493652;0.25
johnson8-2-4_ratio_20_0.25;28;55.56;1.4075471698113207;5;0.755479097366333;0.25
johnson8-2-4_ratio_21_0.25;28;55.56;0.13924050632911392;3;1.761186122894287;0.25
johnson8-2-4_ratio_22_0.25;28;55.56;1.8181818181818181;3;1.7752130031585693;0.25
johnson8-2-4_ratio_23_0.25;28;55.56;0.6666666666666666;2;0.8777279853820801;0.25
johnson8-2-4_ratio_24_0.25;28;55.56;1.900735294117647;7;0.8864059448242188;0.25
johnson8-2-4_ratio_25_0.25;28;55.56;1.2121212121212122;6;0.9014217853546143;0.25
johnson8-2-4_ratio_26_0.25;28;55.56;0.9233983286908078;12;1.0676548480987549;0.25
johnson8-2-4_ratio_27_0.25;28;55.56;0.9620853080568721;6;3.5419230461120605;0.25
johnson8-2-4_ratio_28_0.25;28;55.56;0.6363636363636364;7;2.649585247039795;0.25
johnson8-2-4_ratio_29_0.25;28;55.56;1.7435897435897436;4;2.640120029449463;0.25
johnson8-2-4_ratio_30_0.25;28;55.56;8.6;3;1.7786040306091309;0.25
johnson8-2-4_ratio_31_0.25;28;55.56;1.6379746835443039;9;1.0407752990722656;0.25
johnson8-2-4_ratio_32_0.25;28;55.56;1.2285714285714286;4;2.648952007293701;0.25
johnson8-2-4_ratio_33_0.25;28;55.56;1.2592592592592593;9;0.5018880367279053;0.25
johnson8-2-4_ratio_34_0.25;28;55.56;4.6875;3;1.756546974182129;0.25
johnson8-2-4_ratio_35_0.25;28;55.56;1.0197740112994351;7;1.1413660049438477;0.25
johnson8-2-4_ratio_36_0.25;28;55.56;1.3125;4;2.654633045196533;0.25
johnson8-2-4_ratio_37_0.25;28;55.56;1.9823008849557522;5;3.5583229064941406;0.25
johnson8-2-4_ratio_38_0.25;28;55.56;1.035799522673031;9;0.9399900436401367;0.25
johnson8-2-4_ratio_39_0.25;28;55.56;1.3795620437956204;4;2.66062593460083;0.25
