;|V|;D(%);ƒ;c;t(sec);α
p_hat1000-1_ratio_1_0.25;1000;24.48;1.8746011486917677;9;1.167860984802246;0.25
p_hat1000-1_ratio_2_0.25;1000;24.48;3.0987261146496814;9;1.1608059406280518;0.25
p_hat1000-1_ratio_3_0.25;1000;24.48;8.476923076923077;8;1.035252332687378;0.25
p_hat1000-1_ratio_4_0.25;1000;24.48;1.8746011486917677;9;1.1928749084472656;0.25
p_hat1000-1_ratio_5_0.25;1000;24.48;3.0987261146496814;9;1.0096659660339355;0.25
p_hat1000-1_ratio_6_0.25;1000;24.48;1.8746011486917677;9;1.1723358631134033;0.25
p_hat1000-1_ratio_7_0.25;1000;24.48;1.8746011486917677;9;1.1221120357513428;0.25
p_hat1000-1_ratio_8_0.25;1000;24.48;1.8746011486917677;9;1.2077279090881348;0.25
p_hat1000-1_ratio_9_0.25;1000;24.48;8.476923076923077;8;1.2547411918640137;0.25
p_hat1000-1_ratio_10_0.25;1000;24.48;1.8746011486917677;9;1.0673139095306396;0.25
p_hat1000-1_ratio_11_0.25;1000;24.48;1.8746011486917677;9;1.1295580863952637;0.25
p_hat1000-1_ratio_12_0.25;1000;24.48;1.8746011486917677;9;0.9361701011657715;0.25
p_hat1000-1_ratio_13_0.25;1000;24.48;2.293967093235832;9;1.035517930984497;0.25
p_hat1000-1_ratio_14_0.25;1000;24.48;3.0987261146496814;9;1.124800682067871;0.25
p_hat1000-1_ratio_15_0.25;1000;24.48;1.8746011486917677;9;1.1547231674194336;0.25
p_hat1000-1_ratio_16_0.25;1000;24.48;2.075268817204301;10;1.1807689666748047;0.25
p_hat1000-1_ratio_17_0.25;1000;24.48;1.8746011486917677;9;1.1864120960235596;0.25
p_hat1000-1_ratio_18_0.25;1000;24.48;1.8746011486917677;9;1.0969479084014893;0.25
p_hat1000-1_ratio_19_0.25;1000;24.48;1.8746011486917677;9;1.0703999996185303;0.25
p_hat1000-1_ratio_20_0.25;1000;24.48;2.075268817204301;10;1.0818300247192383;0.25
p_hat1000-1_ratio_21_0.25;1000;24.48;3.0987261146496814;9;1.1681411266326904;0.25
p_hat1000-1_ratio_22_0.25;1000;24.48;2.075268817204301;10;1.1318891048431396;0.25
p_hat1000-1_ratio_23_0.25;1000;24.48;2.075268817204301;10;1.1583819389343262;0.25
p_hat1000-1_ratio_24_0.25;1000;24.48;1.8746011486917677;9;1.2481250762939453;0.25
p_hat1000-1_ratio_25_0.25;1000;24.48;1.8746011486917677;9;1.1907069683074951;0.25
p_hat1000-1_ratio_26_0.25;1000;24.48;3.0987261146496814;9;1.1972191333770752;0.25
p_hat1000-1_ratio_27_0.25;1000;24.48;3.2058823529411766;9;1.1574058532714844;0.25
p_hat1000-1_ratio_28_0.25;1000;24.48;3.2058823529411766;9;1.1325716972351074;0.25
p_hat1000-1_ratio_29_0.25;1000;24.48;1.8746011486917677;9;1.0715882778167725;0.25
p_hat1000-1_ratio_30_0.25;1000;24.48;1.8746011486917677;9;1.0131409168243408;0.25
p_hat1000-1_ratio_31_0.25;1000;24.48;2.075268817204301;10;1.2815797328948975;0.25
p_hat1000-1_ratio_32_0.25;1000;24.48;1.8746011486917677;9;1.169100046157837;0.25
p_hat1000-1_ratio_33_0.25;1000;24.48;1.8746011486917677;9;1.14009690284729;0.25
p_hat1000-1_ratio_34_0.25;1000;24.48;2.075268817204301;10;1.1497142314910889;0.25
p_hat1000-1_ratio_35_0.25;1000;24.48;1.8746011486917677;9;1.0990557670593262;0.25
p_hat1000-1_ratio_36_0.25;1000;24.48;2.075268817204301;10;1.125762701034546;0.25
p_hat1000-1_ratio_37_0.25;1000;24.48;2.075268817204301;10;1.2808549404144287;0.25
p_hat1000-1_ratio_38_0.25;1000;24.48;1.8746011486917677;9;1.1168789863586426;0.25
p_hat1000-1_ratio_39_0.25;1000;24.48;3.0987261146496814;9;1.1572849750518799;0.25
p_hat1000-1_ratio_40_0.25;1000;24.48;1.8746011486917677;9;1.3220343589782715;0.25
p_hat1000-1_ratio_41_0.25;1000;24.48;1.8746011486917677;9;1.2025270462036133;0.25
p_hat1000-1_ratio_42_0.25;1000;24.48;3.0987261146496814;9;1.1192779541015625;0.25
p_hat1000-1_ratio_43_0.25;1000;24.48;3.0987261146496814;9;1.1021020412445068;0.25
p_hat1000-1_ratio_44_0.25;1000;24.48;2.075268817204301;10;1.1582729816436768;0.25
p_hat1000-1_ratio_45_0.25;1000;24.48;1.8746011486917677;9;1.1014108657836914;0.25
p_hat1000-1_ratio_46_0.25;1000;24.48;8.476923076923077;8;1.111471176147461;0.25
p_hat1000-1_ratio_47_0.25;1000;24.48;2.075268817204301;10;0.9774336814880371;0.25
p_hat1000-1_ratio_48_0.25;1000;24.48;1.8746011486917677;9;1.2076048851013184;0.25
p_hat1000-1_ratio_49_0.25;1000;24.48;2.075268817204301;10;1.1502418518066406;0.25
p_hat1000-1_ratio_50_0.25;1000;24.48;1.8746011486917677;9;1.134493350982666;0.25
p_hat1000-1_ratio_51_0.25;1000;24.48;2.075268817204301;10;1.1954009532928467;0.25
p_hat1000-1_ratio_52_0.25;1000;24.48;2.1368384401114207;9;1.1144640445709229;0.25
p_hat1000-1_ratio_53_0.25;1000;24.48;1.8746011486917677;9;1.065906047821045;0.25
p_hat1000-1_ratio_54_0.25;1000;24.48;3.0987261146496814;9;0.9374492168426514;0.25
p_hat1000-1_ratio_55_0.25;1000;24.48;2.293967093235832;9;1.101841926574707;0.25
p_hat1000-1_ratio_56_0.25;1000;24.48;1.8746011486917677;9;1.1788363456726074;0.25
p_hat1000-1_ratio_57_0.25;1000;24.48;3.2058823529411766;9;1.065457820892334;0.25
p_hat1000-1_ratio_58_0.25;1000;24.48;1.8746011486917677;9;1.1227240562438965;0.25
p_hat1000-1_ratio_59_0.25;1000;24.48;1.8746011486917677;9;1.2054390907287598;0.25
p_hat1000-1_ratio_60_0.25;1000;24.48;3.2058823529411766;9;1.1801910400390625;0.25
p_hat1000-1_ratio_61_0.25;1000;24.48;1.8746011486917677;9;1.1799743175506592;0.25
p_hat1000-1_ratio_62_0.25;1000;24.48;1.8746011486917677;9;1.0969691276550293;0.25
p_hat1000-1_ratio_63_0.25;1000;24.48;3.2058823529411766;9;1.0683748722076416;0.25
p_hat1000-1_ratio_64_0.25;1000;24.48;3.0987261146496814;9;1.600451946258545;0.25
p_hat1000-1_ratio_65_0.25;1000;24.48;1.8746011486917677;9;1.2737939357757568;0.25
p_hat1000-1_ratio_66_0.25;1000;24.48;2.293967093235832;9;1.2184078693389893;0.25
p_hat1000-1_ratio_67_0.25;1000;24.48;1.8746011486917677;9;1.2497611045837402;0.25
p_hat1000-1_ratio_68_0.25;1000;24.48;1.8746011486917677;9;1.5830798149108887;0.25
p_hat1000-1_ratio_69_0.25;1000;24.48;8.476923076923077;8;1.197458028793335;0.25
p_hat1000-1_ratio_70_0.25;1000;24.48;1.8746011486917677;9;1.2009251117706299;0.25
p_hat1000-1_ratio_71_0.25;1000;24.48;2.075268817204301;10;1.0067548751831055;0.25
p_hat1000-1_ratio_72_0.25;1000;24.48;1.8746011486917677;9;1.1380386352539062;0.25
p_hat1000-1_ratio_73_0.25;1000;24.48;1.8746011486917677;9;1.1206097602844238;0.25
p_hat1000-1_ratio_74_0.25;1000;24.48;1.8746011486917677;9;1.1936650276184082;0.25
p_hat1000-1_ratio_75_0.25;1000;24.48;1.8746011486917677;9;1.1137919425964355;0.25
p_hat1000-1_ratio_76_0.25;1000;24.48;1.8746011486917677;9;1.300865888595581;0.25
p_hat1000-1_ratio_77_0.25;1000;24.48;3.0987261146496814;9;0.9559192657470703;0.25
p_hat1000-1_ratio_78_0.25;1000;24.48;1.8746011486917677;9;1.0950462818145752;0.25
p_hat1000-1_ratio_79_0.25;1000;24.48;2.075268817204301;10;1.1909210681915283;0.25
p_hat1000-1_ratio_80_0.25;1000;24.48;1.8746011486917677;9;1.3297030925750732;0.25
p_hat1000-1_ratio_81_0.25;1000;24.48;1.8746011486917677;9;1.1682419776916504;0.25
p_hat1000-1_ratio_82_0.25;1000;24.48;1.8746011486917677;9;1.2466650009155273;0.25
p_hat1000-1_ratio_83_0.25;1000;24.48;1.8746011486917677;9;1.0433499813079834;0.25
p_hat1000-1_ratio_84_0.25;1000;24.48;2.0590831918505943;9;1.1004679203033447;0.25
p_hat1000-1_ratio_85_0.25;1000;24.48;8.476923076923077;8;1.3330438137054443;0.25
p_hat1000-1_ratio_86_0.25;1000;24.48;1.8746011486917677;9;1.0800058841705322;0.25
p_hat1000-1_ratio_87_0.25;1000;24.48;1.8746011486917677;9;1.129615068435669;0.25
p_hat1000-1_ratio_88_0.25;1000;24.48;1.8746011486917677;9;1.1922788619995117;0.25
p_hat1000-1_ratio_89_0.25;1000;24.48;2.293967093235832;9;1.244230031967163;0.25
p_hat1000-1_ratio_90_0.25;1000;24.48;2.293967093235832;9;1.0723657608032227;0.25
p_hat1000-1_ratio_91_0.25;1000;24.48;1.8746011486917677;9;1.1464037895202637;0.25
p_hat1000-1_ratio_92_0.25;1000;24.48;1.8746011486917677;9;1.1183910369873047;0.25
p_hat1000-1_ratio_93_0.25;1000;24.48;1.8746011486917677;9;1.1114609241485596;0.25
p_hat1000-1_ratio_94_0.25;1000;24.48;2.293967093235832;9;1.134990930557251;0.25
p_hat1000-1_ratio_95_0.25;1000;24.48;1.8746011486917677;9;1.1859700679779053;0.25
p_hat1000-1_ratio_96_0.25;1000;24.48;1.8746011486917677;9;1.1398890018463135;0.25
p_hat1000-1_ratio_97_0.25;1000;24.48;1.8746011486917677;9;1.0611138343811035;0.25
p_hat1000-1_ratio_98_0.25;1000;24.48;3.0987261146496814;9;1.0126352310180664;0.25
p_hat1000-1_ratio_99_0.25;1000;24.48;1.8746011486917677;9;1.110403060913086;0.25
p_hat1000-1_ratio_100_0.25;1000;24.48;3.0987261146496814;9;1.269728183746338;0.25
p_hat1000-1_ratio_1_0.5;1000;24.48;1.8746011486917677;9;1.0619118213653564;0.5
p_hat1000-1_ratio_2_0.5;1000;24.48;8.476923076923077;8;1.1064941883087158;0.5
p_hat1000-1_ratio_3_0.5;1000;24.48;1.8746011486917677;9;1.2082931995391846;0.5
p_hat1000-1_ratio_4_0.5;1000;24.48;1.8746011486917677;9;1.0657169818878174;0.5
p_hat1000-1_ratio_5_0.5;1000;24.48;1.8746011486917677;9;1.096830129623413;0.5
p_hat1000-1_ratio_6_0.5;1000;24.48;3.2058823529411766;9;1.065155029296875;0.5
p_hat1000-1_ratio_7_0.5;1000;24.48;2.293967093235832;9;1.0104477405548096;0.5
p_hat1000-1_ratio_8_0.5;1000;24.48;3.0987261146496814;9;1.0199570655822754;0.5
p_hat1000-1_ratio_9_0.5;1000;24.48;2.075268817204301;10;1.174543857574463;0.5
p_hat1000-1_ratio_10_0.5;1000;24.48;2.075268817204301;10;1.1547670364379883;0.5
p_hat1000-1_ratio_11_0.5;1000;24.48;1.8746011486917677;9;1.4996981620788574;0.5
p_hat1000-1_ratio_12_0.5;1000;24.48;1.8746011486917677;9;2.007352828979492;0.5
p_hat1000-1_ratio_13_0.5;1000;24.48;3.0987261146496814;9;3.2282192707061768;0.5
p_hat1000-1_ratio_14_0.5;1000;24.48;3.0987261146496814;9;1.1355891227722168;0.5
p_hat1000-1_ratio_15_0.5;1000;24.48;3.0987261146496814;9;1.0251522064208984;0.5
p_hat1000-1_ratio_16_0.5;1000;24.48;1.8746011486917677;9;1.1582610607147217;0.5
p_hat1000-1_ratio_17_0.5;1000;24.48;1.8746011486917677;9;1.048185110092163;0.5
p_hat1000-1_ratio_18_0.5;1000;24.48;3.2058823529411766;9;1.6661138534545898;0.5
p_hat1000-1_ratio_19_0.5;1000;24.48;1.8746011486917677;9;1.5172641277313232;0.5
p_hat1000-1_ratio_20_0.5;1000;24.48;1.8746011486917677;9;1.1339137554168701;0.5
p_hat1000-1_ratio_21_0.5;1000;24.48;1.8746011486917677;9;1.3551650047302246;0.5
p_hat1000-1_ratio_22_0.5;1000;24.48;3.0987261146496814;9;1.1316652297973633;0.5
