;|V|;D(%);ƒ;c;t(sec);α
p_hat500-1_ratio_1_0.25;500;25.31;1.2043010752688172;9;0.7017428874969482;0.25
p_hat500-1_ratio_2_0.25;500;25.31;1.9227642276422765;9;1.3784980773925781;0.25
p_hat500-1_ratio_3_0.25;500;25.31;1.0426666666666666;7;1.3876447677612305;0.25
p_hat500-1_ratio_4_0.25;500;25.31;1.4459930313588851;7;1.5538990497589111;0.25
p_hat500-1_ratio_5_0.25;500;25.31;1.672972972972973;10;0.6480898857116699;0.25
p_hat500-1_ratio_6_0.25;500;25.31;1.0804597701149425;3;1.7954411506652832;0.25
p_hat500-1_ratio_7_0.25;500;25.31;3.2666666666666666;3;1.8426718711853027;0.25
p_hat500-1_ratio_8_0.25;500;25.31;2.0;3;1.7902989387512207;0.25
p_hat500-1_ratio_9_0.25;500;25.31;0.5;6;0.8946630954742432;0.25
p_hat500-1_ratio_10_0.25;500;25.31;1.0658174097664543;11;1.4867310523986816;0.25
p_hat500-1_ratio_11_0.25;500;25.31;1.3862928348909658;7;0.6829979419708252;0.25
p_hat500-1_ratio_12_0.25;500;25.31;1.5980707395498392;9;1.8788509368896484;0.25
p_hat500-1_ratio_13_0.25;500;25.31;1.1051502145922747;9;0.40372514724731445;0.25
p_hat500-1_ratio_14_0.25;500;25.31;0.6666666666666666;2;0.887549877166748;0.25
p_hat500-1_ratio_15_0.25;500;25.31;1.3481012658227849;8;3.7368979454040527;0.25
p_hat500-1_ratio_16_0.25;500;25.31;1.311046511627907;10;1.068342685699463;0.25
p_hat500-1_ratio_17_0.25;500;25.31;1.0167865707434052;10;1.258805751800537;0.25
p_hat500-1_ratio_18_0.25;500;25.31;2.009771986970684;9;1.794820785522461;0.25
p_hat500-1_ratio_19_0.25;500;25.31;1.1904761904761905;10;2.0284321308135986;0.25
p_hat500-1_ratio_20_0.25;500;25.31;0.6666666666666666;2;0.9489011764526367;0.25
p_hat500-1_ratio_21_0.25;500;25.31;0.7910750507099391;10;1.6775989532470703;0.25
p_hat500-1_ratio_22_0.25;500;25.31;1.9137055837563453;6;0.2703709602355957;0.25
p_hat500-1_ratio_23_0.25;500;25.31;0.9047619047619048;3;1.7929437160491943;0.25
p_hat500-1_ratio_24_0.25;500;25.31;0.7936507936507936;8;2.722170114517212;0.25
p_hat500-1_ratio_25_0.25;500;25.31;2.411764705882353;4;2.6986827850341797;0.25
p_hat500-1_ratio_26_0.25;500;25.31;0.6666666666666666;2;0.8959989547729492;0.25
p_hat500-1_ratio_27_0.25;500;25.31;1.6643109540636043;7;1.3356878757476807;0.25
p_hat500-1_ratio_28_0.25;500;25.31;0.9964788732394366;7;1.178835153579712;0.25
p_hat500-1_ratio_29_0.25;500;25.31;1.263498920086393;9;1.7972209453582764;0.25
p_hat500-1_ratio_30_0.25;500;25.31;0.5849056603773585;4;2.6975231170654297;0.25
p_hat500-1_ratio_31_0.25;500;25.31;1.5212765957446808;8;1.271543025970459;0.25
p_hat500-1_ratio_32_0.25;500;25.31;1.798913043478261;10;1.4487359523773193;0.25
p_hat500-1_ratio_33_0.25;500;25.31;2.25;10;1.1497721672058105;0.25
p_hat500-1_ratio_34_0.25;500;25.31;0.27586206896551724;4;2.704228162765503;0.25
p_hat500-1_ratio_35_0.25;500;25.31;0.6666666666666666;2;0.8785049915313721;0.25
p_hat500-1_ratio_36_0.25;500;25.31;1.524355300859599;8;1.6069550514221191;0.25
p_hat500-1_ratio_37_0.25;500;25.31;2.4021164021164023;7;0.3379991054534912;0.25
p_hat500-1_ratio_38_0.25;500;25.31;0.5148514851485149;3;1.7735340595245361;0.25
p_hat500-1_ratio_39_0.25;500;25.31;0.8709677419354839;10;0.8453381061553955;0.25
p_hat500-1_ratio_40_0.25;500;25.31;2.5517241379310347;3;1.7657668590545654;0.25
p_hat500-1_ratio_41_0.25;500;25.31;1.628930817610063;9;0.921403169631958;0.25
p_hat500-1_ratio_42_0.25;500;25.31;0.5458937198067633;8;4.443177938461304;0.25
p_hat500-1_ratio_43_0.25;500;25.31;0.9541984732824428;4;2.650122880935669;0.25
p_hat500-1_ratio_44_0.25;500;25.31;2.056338028169014;4;2.6540720462799072;0.25
p_hat500-1_ratio_45_0.25;500;25.31;0.890728476821192;12;1.6084699630737305;0.25
p_hat500-1_ratio_46_0.25;500;25.31;0.7888631090487239;8;1.2809479236602783;0.25
p_hat500-1_ratio_47_0.25;500;25.31;0.20270270270270271;5;1.7633180618286133;0.25
p_hat500-1_ratio_48_0.25;500;25.31;0.6666666666666666;2;0.8789010047912598;0.25
p_hat500-1_ratio_49_0.25;500;25.31;5.5;3;1.7666690349578857;0.25
p_hat500-1_ratio_50_0.25;500;25.31;1.8202247191011236;4;2.6431140899658203;0.25
p_hat500-1_ratio_51_0.25;500;25.31;0.5;2;0.8875668048858643;0.25
p_hat500-1_ratio_52_0.25;500;25.31;0.7209302325581395;4;2.6487207412719727;0.25
p_hat500-1_ratio_53_0.25;500;25.31;0.5052631578947369;8;1.7717881202697754;0.25
p_hat500-1_ratio_54_0.25;500;25.31;1.0928571428571427;4;2.6486852169036865;0.25
p_hat500-1_ratio_55_0.25;500;25.31;2.2580645161290325;10;0.6932551860809326;0.25
p_hat500-1_ratio_56_0.25;500;25.31;0.8491620111731844;10;0.5615103244781494;0.25
p_hat500-1_ratio_57_0.25;500;25.31;1.25;3;1.7665989398956299;0.25
p_hat500-1_ratio_58_0.25;500;25.31;1.4303797468354431;4;2.665990114212036;0.25
p_hat500-1_ratio_59_0.25;500;25.31;0.7067348678601876;401;21.35819101333618;0.25
p_hat500-1_ratio_60_0.25;500;25.31;0.9610894941634242;9;1.012549877166748;0.25
p_hat500-1_ratio_61_0.25;500;25.31;0.7592592592592593;4;2.6470959186553955;0.25
p_hat500-1_ratio_62_0.25;500;25.31;0.9177489177489178;9;1.5723240375518799;0.25
p_hat500-1_ratio_63_0.25;500;25.31;1.2771739130434783;8;1.490290880203247;0.25
p_hat500-1_ratio_64_0.25;500;25.31;0.6467065868263473;7;2.663132905960083;0.25
p_hat500-1_ratio_65_0.25;500;25.31;2.0;3;1.75468111038208;0.25
p_hat500-1_ratio_66_0.25;500;25.31;0.9205298013245033;11;1.461899757385254;0.25
p_hat500-1_ratio_67_0.25;500;25.31;0.8666666666666667;3;1.7660529613494873;0.25
p_hat500-1_ratio_68_0.25;500;25.31;1.027190332326284;8;1.1189188957214355;0.25
p_hat500-1_ratio_69_0.25;500;25.31;0.4148936170212766;4;2.6595990657806396;0.25
p_hat500-1_ratio_70_0.25;500;25.31;1.3694779116465863;7;0.47696423530578613;0.25
p_hat500-1_ratio_71_0.25;500;25.31;3.2666666666666666;3;1.76888108253479;0.25
p_hat500-1_ratio_72_0.25;500;25.31;1.1111111111111112;8;1.0090107917785645;0.25
p_hat500-1_ratio_73_0.25;500;25.31;3.5476190476190474;6;2.648254871368408;0.25
p_hat500-1_ratio_74_0.25;500;25.31;0.9831730769230769;8;1.5026559829711914;0.25
p_hat500-1_ratio_75_0.25;500;25.31;1.0612244897959184;3;1.7584490776062012;0.25
p_hat500-1_ratio_76_0.25;500;25.31;1.7883008356545962;10;0.49472570419311523;0.25
p_hat500-1_ratio_77_0.25;500;25.31;0.43157894736842106;4;2.6374878883361816;0.25
p_hat500-1_ratio_78_0.25;500;25.31;1.1580135440180588;11;1.8965110778808594;0.25
p_hat500-1_ratio_79_0.25;500;25.31;1.139240506329114;3;1.7640960216522217;0.25
p_hat500-1_ratio_80_0.25;500;25.31;1.3127413127413128;7;0.5755040645599365;0.25
p_hat500-1_ratio_81_0.25;500;25.31;1.3544668587896254;10;1.516425371170044;0.25
p_hat500-1_ratio_82_0.25;500;25.31;8.857142857142858;3;1.7720839977264404;0.25
p_hat500-1_ratio_83_0.25;500;25.31;3.0606060606060606;4;2.650500774383545;0.25
p_hat500-1_ratio_84_0.25;500;25.31;2.3055555555555554;3;1.7655808925628662;0.25
p_hat500-1_ratio_85_0.25;500;25.31;1.5177304964539007;11;4.443644046783447;0.25
p_hat500-1_ratio_86_0.25;500;25.31;1.2836363636363637;8;0.8163940906524658;0.25
p_hat500-1_ratio_87_0.25;500;25.31;1.3858267716535433;9;1.4514708518981934;0.25
p_hat500-1_ratio_88_0.25;500;25.31;1.675;3;1.754573106765747;0.25
p_hat500-1_ratio_89_0.25;500;25.31;0.8;3;1.7762742042541504;0.25
p_hat500-1_ratio_90_0.25;500;25.31;0.8;7;0.49837493896484375;0.25
p_hat500-1_ratio_91_0.25;500;25.31;0.8;3;1.775660753250122;0.25
p_hat500-1_ratio_92_0.25;500;25.31;1.48109243697479;10;1.1302258968353271;0.25
p_hat500-1_ratio_93_0.25;500;25.31;0.13157894736842105;3;1.7680320739746094;0.25
p_hat500-1_ratio_94_0.25;500;25.31;1.620817843866171;8;0.4935767650604248;0.25
p_hat500-1_ratio_95_0.25;500;25.31;1.0887096774193548;11;1.2234971523284912;0.25
p_hat500-1_ratio_96_0.25;500;25.31;1.1917808219178083;7;1.0500638484954834;0.25
p_hat500-1_ratio_97_0.25;500;25.31;1.225;3;1.7677321434020996;0.25
p_hat500-1_ratio_98_0.25;500;25.31;1.25;3;1.7701630592346191;0.25
p_hat500-1_ratio_99_0.25;500;25.31;1.4362139917695473;11;1.614795207977295;0.25
p_hat500-1_ratio_100_0.25;500;25.31;4.5;5;1.771090030670166;0.25
p_hat500-1_ratio_1_0.5;500;25.31;0.8315217391304348;5;3.545726776123047;0.5
p_hat500-1_ratio_2_0.5;500;25.31;0.9746835443037974;3;1.7641899585723877;0.5
p_hat500-1_ratio_3_0.5;500;25.31;0.6666666666666666;2;0.8849411010742188;0.5
p_hat500-1_ratio_4_0.5;500;25.31;1.054054054054054;3;1.7651078701019287;0.5
p_hat500-1_ratio_5_0.5;500;25.31;3.4;5;3.544548749923706;0.5
p_hat500-1_ratio_6_0.5;500;25.31;0.9;3;1.7695441246032715;0.5
p_hat500-1_ratio_7_0.5;500;25.31;1.5112781954887218;9;0.8666439056396484;0.5
p_hat500-1_ratio_8_0.5;500;25.31;1.1818181818181819;3;1.7656371593475342;0.5
p_hat500-1_ratio_9_0.5;500;25.31;0.20689655172413793;3;1.7657248973846436;0.5
p_hat500-1_ratio_10_0.5;500;25.31;0.5294117647058824;3;1.7631042003631592;0.5
p_hat500-1_ratio_11_0.5;500;25.31;1.619047619047619;11;1.0985500812530518;0.5
p_hat500-1_ratio_12_0.5;500;25.31;0.43010752688172044;4;2.6437432765960693;0.5
p_hat500-1_ratio_13_0.5;500;25.31;3.972972972972973;4;2.6530940532684326;0.5
p_hat500-1_ratio_14_0.5;500;25.31;6.0;3;1.760124921798706;0.5
p_hat500-1_ratio_15_0.5;500;25.31;1.3674418604651162;7;5.348199844360352;0.5
p_hat500-1_ratio_16_0.5;500;25.31;1.1786666666666668;8;1.050351858139038;0.5
p_hat500-1_ratio_17_0.5;500;25.31;2.5517241379310347;3;1.7748191356658936;0.5
p_hat500-1_ratio_18_0.5;500;25.31;0.6666666666666666;2;0.8782510757446289;0.5
p_hat500-1_ratio_19_0.5;500;25.31;0.8215158924205379;7;1.4083309173583984;0.5
p_hat500-1_ratio_20_0.5;500;25.31;1.072289156626506;4;2.636178970336914;0.5
p_hat500-1_ratio_21_0.5;500;25.31;3.5416666666666665;3;1.7612829208374023;0.5
p_hat500-1_ratio_22_0.5;500;25.31;0.2616822429906542;5;3.52168607711792;0.5
p_hat500-1_ratio_23_0.5;500;25.31;3.6551724137931036;4;2.6536707878112793;0.5
p_hat500-1_ratio_24_0.5;500;25.31;1.4312169312169312;8;0.7255549430847168;0.5
