62	159	0										
6	11	15	16	41	43	48						
8	18	20	27	28	29	37	42	55				
4	11	43	45	62								
3	9	15	60									
1	52											
4	10	14	57	58								
6	10	14	18	55	57	58						
5	20	28	31	41	55							
6	4	21	29	38	46	60						
7	6	7	14	18	33	42	58					
5	1	3	30	43	48							
1	52											
1	34											
8	6	7	10	18	33	42	55	58				
12	1	4	17	25	34	35	38	39	41	44	51	53
7	1	19	25	41	46	56	60					
6	15	21	34	38	39	51						
9	2	7	10	14	23	26	28	32	58			
7	16	21	22	25	30	46	52					
4	2	8	31	55								
9	9	17	19	29	37	39	45	48	51			
6	19	30	34	38	46	52						
1	18											
3	37	46	52									
6	15	16	19	30	46	52						
3	18	27	28									
3	2	26	28									
5	2	8	18	26	27							
5	2	9	21	31	48							
9	11	19	22	25	36	44	46	52	53			
5	8	20	29	43	48							
1	18											
3	10	14	61									
10	13	15	17	22	35	38	39	41	44	51		
5	15	34	38	45	50							
1	30											
7	2	21	24	38	40	41	60					
11	9	15	17	22	34	35	37	41	44	46	62	
8	15	17	21	34	44	45	53	59				
2	37	58										
8	1	8	15	16	34	37	38	53				
5	2	10	14	55	58							
6	1	3	11	31	48	51						
7	15	30	34	38	39	47	54					
4	3	21	35	39								
11	9	16	19	22	24	25	30	38	51	52	60	
2	44	50										
6	1	11	21	29	31	43						
1	58											
2	35	47										
7	15	17	21	34	43	46	52					
10	5	12	19	22	24	25	30	46	51	56		
4	15	30	39	41								
2	44	62										
7	2	7	8	14	20	42	58					
2	16	52										
2	6	7										
9	6	7	10	14	18	40	42	49	55			
1	39											
5	4	9	16	37	46							
1	33											
3	3	38	54									
